round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter4,eval_ai_dilemmas,0.8355320069204153,0.7426470588235294,0.04411764705882353,0.01
iter4,eval_ant_hh,0.7689908665627089,0.7238805970149254,0.0,0.01
iter4,eval_balanced_refusal,0.9578,0.8,0.69,0.01
iter4,eval_daily_dilemmas,0.9682423990004165,0.9285714285714286,0.5918367346938775,0.01
iter4,mean,0.8826413181208852,0.7987747711024709,0.3314885954381752,0.01
iter5,eval_ai_dilemmas,0.8228806228373702,0.7205882352941176,0.04411764705882353,0.01
iter5,eval_ant_hh,0.765203831588327,0.7014925373134329,0.0,0.01
iter5,eval_balanced_refusal,0.9498500000000001,0.7975,0.6,0.01
iter5,eval_daily_dilemmas,0.9626197417742608,0.9132653061224489,0.5612244897959183,0.01
iter5,mean,0.8751385490499896,0.7832115196824998,0.3013355342136854,0.01
