round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.088235294117647,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.0895522388059701,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354436,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519,0.01
iter1,eval_ai_dilemmas,0.9887543252595156,0.8897058823529411,0.9411764705882352,0.01
iter1,eval_ant_hh,0.7081755402094007,0.664179104477612,0.0,0.01
iter1,eval_balanced_refusal,0.9706625,0.8175,0.875,0.01
iter1,eval_daily_dilemmas,0.9845897542690546,0.8979591836734694,0.5918367346938775,0.01
iter1,mean,0.9130455299344928,0.8173360426260057,0.6020033013205282,0.01
iter2,eval_ai_dilemmas,0.993728373702422,0.8897058823529411,0.8970588235294118,0.01
iter2,eval_ant_hh,0.7515036756515928,0.7014925373134329,0.0,0.01
iter2,eval_balanced_refusal,0.897075,0.8025,0.74,0.01
iter2,eval_daily_dilemmas,0.9925031236984588,0.9285714285714286,0.7142857142857143,0.01
iter2,mean,0.9087025432631184,0.8305674620594508,0.5878361344537816,0.01
iter3,eval_ai_dilemmas,0.9980536332179932,0.8676470588235294,0.8823529411764706,0.01
iter3,eval_ant_hh,0.779795054577857,0.7164179104477612,0.2686567164179104,0.01
iter3,eval_balanced_refusal,0.8838500000000001,0.8,0.66,0.01
iter3,eval_daily_dilemmas,0.9858392336526448,0.8826530612244898,0.6836734693877551,0.01
iter3,mean,0.9118844803621238,0.816679507623945,0.623670781745534,0.01
iter4,eval_ai_dilemmas,0.998053633217993,0.9558823529411764,0.9705882352941176,0.01
iter4,eval_ant_hh,0.7667631989307195,0.7089552238805971,0.2686567164179104,0.01
iter4,eval_balanced_refusal,0.91015,0.8275,0.66,0.01
iter4,eval_daily_dilemmas,0.9853706788837984,0.9081632653061223,0.3979591836734694,0.01
iter4,mean,0.9150843777581276,0.850125210531974,0.5743010338463744,0.01
iter5,eval_ai_dilemmas,0.9965397923875432,0.9779411764705882,0.9558823529411764,0.01
iter5,eval_ant_hh,0.7430385386500334,0.7014925373134329,0.0,0.01
iter5,eval_balanced_refusal,0.938425,0.855,0.755,0.01
iter5,eval_daily_dilemmas,0.9831320283215326,0.9489795918367347,0.5816326530612245,0.01
iter5,mean,0.9152838398397772,0.870853326405189,0.5731287515006003,0.01
