>>> 2026-08-23T17:47:29+00:00  START  sweep_hu_ha_dd_gptoss120b__norm-layernorm
>>> 2026-08-23T18:00:41+00:00  DONE  sweep_hu_ha_dd_gptoss120b__norm-layernorm
>>> 2026-08-23T18:00:41+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit42
>>> 2026-08-23T18:01:03+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit42
>>> 2026-08-23T18:01:03+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit42
>>> 2026-08-23T18:01:25+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit42
>>> 2026-08-23T18:01:25+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit7
>>> 2026-08-23T18:01:46+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit7
>>> 2026-08-23T18:01:46+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit7
>>> 2026-08-23T18:02:08+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit7
>>> 2026-08-23T18:02:08+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit1234
>>> 2026-08-23T18:02:31+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit1234
>>> 2026-08-23T18:02:31+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit1234
>>> 2026-08-23T18:02:53+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit1234
>>> 2026-08-23T18:02:53+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit20260823
>>> 2026-08-23T18:03:13+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-none__fit20260823
>>> 2026-08-23T18:03:13+00:00  START  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit20260823
>>> 2026-08-23T18:03:36+00:00  DONE  sweepN0_hu_ha_dd_gptoss120b__norm-layernorm__fit20260823
>>> 2026-08-23T18:03:36+00:00  ALLDONE  chain
