concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_anthropic_hh_balanced,auroc_mt_balanced,auroc_mts_balanced,auroc_toolace_balanced,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
highstakes,mixed,0,0,892,477,0.892127562322,3,91.0,0.9042650075228001,0.7864955233735442,0.21909245142640438,0.9461037508355555,0.8719409236436998,0.9667387777176852,0.8322765778942601,,,,
highstakes,finetune,0,0,892,477,0.892127562322,3,68.1,0.9042650075228001,0.7864955233735442,0.21909245142640438,0.9461037508355555,0.8719409236436998,0.9667387777176852,0.8322765778942601,stage1,,,
highstakes,mixed,0,159,1051,477,0.9636176646390774,4,56.8,0.9570310667464121,0.8925893872909659,0.392459385194611,0.9766109599723998,0.9812837156265075,0.9762033531638723,0.894026238222869,,,,
highstakes,finetune,0,159,1051,477,0.9658415667522238,50,35.7,0.9467950440455574,0.8903731112038163,0.4113495807874598,0.9727871705395712,0.977599666681286,0.9640346133044889,0.8727587256568836,finetuned,0.892127562322,0.9658415667522238,50.0
highstakes,dev_only,0,159,159,477,0.9471361766463908,14,34.0,0.9210856176897433,0.8542550388258254,0.38991923034331805,0.9726281454621251,0.9797103197228191,0.9448350459707949,0.7871689596032341,,,,
highstakes,mixed,0,318,1210,477,0.9665184065257902,5,58.2,0.9622540738324064,0.9082159498203882,0.427477959454472,0.9790940422198103,0.98561466602342,0.9878312601406165,0.8964763269457787,,,,
highstakes,finetune,0,318,1210,477,0.9656393938328469,6,43.7,0.951928413618911,0.8963955452660641,0.4195461762466691,0.977532766353528,0.9834656374720407,0.9783666846944294,0.868348565955646,finetuned,0.892127562322,0.9656393938328469,6.0
highstakes,dev_only,0,318,318,477,0.9615168243029429,5,35.3,0.9470517952704445,0.8743594580052862,0.426242499531096,0.9783988690352119,0.9884325248892591,0.9851270957274202,0.8362486914298866,,,,
highstakes,mixed,0,477,1369,477,0.9746053233008685,4,56.9,0.9601635119063388,0.9126659256084795,0.3973521030484882,0.9845453679678571,0.986919433358186,0.9783666846944294,0.8908225616048824,,,,
highstakes,finetune,0,477,1369,477,0.9751327309166344,89,53.9,0.956193838907634,0.8984608395767812,0.44482850013456343,0.9840040537918047,0.9810753914302004,0.987560843699297,0.8721350667092338,finetuned,0.892127562322,0.9751327309166344,89.0
highstakes,dev_only,0,477,477,477,0.9698938152666924,5,39.2,0.9493679564271287,0.8951246152128421,0.4457114021592372,0.9828255162475112,0.9870126310249552,0.9786371011357491,0.8489965773002992,,,,
highstakes,mixed,0,636,1528,477,0.9749481382511163,3,60.1,0.9646352077119252,0.9151918679375526,0.4457527169946834,0.981534897469255,0.9866508047892636,0.9772850189291509,0.9130701096600315,,,,
highstakes,finetune,0,636,1528,477,0.9740515453043143,7,42.2,0.968065585488679,0.9079417235072018,0.4934169599141116,0.9817307588640758,0.9872593307311083,0.991887506760411,0.9113847455991209,finetuned,0.892127562322,0.9740515453043143,7.0
highstakes,dev_only,0,636,636,477,0.9733131746422419,5,41.2,0.9602183923105415,0.8971018357776063,0.45041667632211463,0.9823931387417433,0.9864808561028025,0.9835045970795024,0.888494977318118,,,,
highstakes,mixed,0,795,1687,477,0.9764512499560494,2,62.5,0.9721149399617306,0.9222128229043336,0.5190563136446211,0.9823628161634168,0.9890465330467962,0.99269875608437,0.924351654552339,,,,
highstakes,finetune,0,795,1687,477,0.9760205337365072,3,43.6,0.9672459218875025,0.9174357738553153,0.5074279351227431,0.981088594038626,0.9883667383009518,0.9789075175770687,0.9206208376333629,finetuned,0.892127562322,0.9760205337365072,3.0
highstakes,dev_only,0,795,795,477,0.9761611757673782,5,43.4,0.9665364515525463,0.9135840937385126,0.4849493416742213,0.9815032272207808,0.9855653260821894,0.986749594375338,0.9123276585318771,,,,
highstakes,mixed,0,954,1846,477,0.9771280897296157,3,66.2,0.9662557404932242,0.919634641411648,0.5131308095661357,0.9828176548383155,0.9881748607517215,0.9702541914548405,0.9237762549280194,,,,
highstakes,finetune,0,954,1846,477,0.9789652262578671,7,48.5,0.9720467414282472,0.9123795049735892,0.5377699415317674,0.9842311362117173,0.990290996008947,0.9926987560843699,0.9209660774079547,finetuned,0.892127562322,0.9789652262578671,7.0
highstakes,dev_only,0,954,954,477,0.9757919904363419,2,46.7,0.9671771245044821,0.9161503470238039,0.46746759071279265,0.9842488805353306,0.986711109161879,0.9883720930232559,0.909376415297463,,,,
highstakes,mixed,0,1113,2005,477,0.9761699658943075,2,68.9,0.9647348625825608,0.9177230410705275,0.4874018536815267,0.9830588877947805,0.9898688654006403,0.980800432666306,0.9052112644685164,,,,
highstakes,finetune,0,1113,2005,477,0.9773302626489927,6,51.5,0.9680993285643801,0.9196719000166964,0.5183351665783686,0.9839732819900956,0.9900991184597167,0.9826933477555435,0.9156315660521646,finetuned,0.892127562322,0.9773302626489927,6.0
highstakes,dev_only,0,1113,1113,477,0.9772599416335572,2,49.8,0.9673695182083241,0.9089899468580083,0.48564760593348766,0.9842071027607471,0.9894960747335643,0.9929691725256895,0.9028057228132959,,,,
highstakes,mixed,0,1272,2164,477,0.9754228051053057,2,71.9,0.9683678244029681,0.9196090645180995,0.5377789579866342,0.9836785914510995,0.9904006403227928,0.9818820984315846,0.9175099674063956,,,,
highstakes,finetune,0,1272,2164,477,0.9781389543265006,48,69.3,0.9717113761488159,0.9194882645483871,0.5404457725610567,0.9849445029433117,0.992341344677865,0.9924283396430504,0.9171313173310367,finetuned,0.892127562322,0.9781389543265006,48.0
highstakes,dev_only,0,1272,1272,477,0.9766885833831441,3,54.6,0.9713736657961088,0.9198918235058784,0.5300054404720225,0.9855574682488915,0.9908830753037148,0.9962141698215252,0.9128399498103037,,,,
