concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_eval_ai_dilemmas,auroc_eval_ant_hh,auroc_eval_balanced_refusal,auroc_eval_daily_dilemmas,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
hu_ha,mixed,0,0,978,72,0.8912037037037037,36,34.0,0.8981962577574314,0.8110006875884682,0.347734093637455,0.8944636678200693,0.7762307863666741,0.949475,0.9726155768429822,,,,
hu_ha,finetune,0,0,978,72,0.8912037037037037,36,30.9,0.8981962577574314,0.8110006875884682,0.347734093637455,0.8944636678200693,0.7762307863666741,0.949475,0.9726155768429822,stage1,,,
hu_ha,mixed,0,24,1002,72,0.8996913580246915,32,28.8,0.9254510217116796,0.8514385604988264,0.5479561824729892,0.9829152249134948,0.7854756070394298,0.960225,0.9731882548937941,,,,
hu_ha,finetune,0,24,1002,72,0.8912037037037037,1,4.2,0.8981962577574314,0.8110006875884682,0.347734093637455,0.8944636678200693,0.7762307863666741,0.949475,0.9726155768429822,finetuned,0.8912037037037037,0.8912037037037037,1.0
hu_ha,dev_only,0,24,24,72,0.5246913580246914,1,4.1,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha,mixed,0,48,1026,72,0.9174382716049383,24,28.0,0.9295619507829594,0.8639169025819282,0.4163970588235294,0.9902681660899655,0.7803519714858543,0.969025,0.9786026655560183,,,,
hu_ha,finetune,0,48,1026,72,0.8912037037037037,1,4.3,0.8981962577574314,0.8110006875884682,0.347734093637455,0.8944636678200693,0.7762307863666741,0.949475,0.9726155768429822,finetuned,0.8912037037037037,0.8912037037037037,1.0
hu_ha,dev_only,0,48,48,72,0.5246913580246914,1,4.5,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha,mixed,0,73,1051,72,0.9591049382716049,106,49.1,0.9434779565194044,0.8946003028076903,0.6771368547418968,0.9872404844290658,0.8145466696368903,0.9863375,0.9857871720116617,,,,
hu_ha,finetune,0,73,1051,72,0.9510030864197532,11,4.9,0.9508254497068517,0.8794713743706437,0.42933673469387756,0.9980536332179931,0.8388282468255737,0.9842249999999999,0.98219491878384,finetuned,0.8912037037037037,0.9510030864197532,11.0
hu_ha,dev_only,0,73,73,72,0.8792438271604938,33,6.7,0.9264081831860407,0.8458524977155042,0.46448979591836737,0.9483131487889274,0.774782802405881,0.9958125000000001,0.9867242815493544,,,,
hu_ha,mixed,0,97,1075,72,0.947530864197531,31,31.5,0.936076082340162,0.887674282399527,0.1575,0.998053633217993,0.7944976609489863,0.9690375,0.9827155351936693,,,,
hu_ha,finetune,0,97,1075,72,0.9625771604938271,38,7.0,0.952920936053386,0.8926424450377166,0.6694327731092437,0.9995674740484429,0.8333704611271999,0.9936875,0.9850583090379009,finetuned,0.8912037037037037,0.9625771604938271,38.0
hu_ha,dev_only,0,97,97,72,0.9108796296296295,53,7.9,0.9333287070492934,0.8728901896579527,0.5275504828797191,0.9945934256055363,0.7682111828915125,0.9800374999999999,0.990472719700125,,,,
hu_ha,mixed,0,121,1099,72,0.9274691358024691,41,33.8,0.9312581247379879,0.8734356354482091,0.15625,0.9978373702422145,0.7811316551570506,0.9633999999999999,0.9826634735526864,,,,
hu_ha,finetune,0,121,1099,72,0.9402006172839505,9,5.7,0.9440823306689957,0.8865312729569439,0.43448979591836734,0.9993512110726643,0.7914903096458008,0.9962125000000001,0.9892753019575178,finetuned,0.8912037037037037,0.9402006172839505,9.0
hu_ha,dev_only,0,121,121,72,0.9166666666666669,13,5.8,0.9461999087951287,0.8612873470283635,0.5692548735912275,0.9878892733564014,0.8229004232568501,0.9778625,0.9961474385672636,,,,
hu_ha,mixed,0,145,1123,72,0.9483024691358024,27,31.1,0.9483088098000085,0.891486557309491,0.4445918367346939,0.9901600346020761,0.82290042325685,0.98965,0.9905247813411079,,,,
hu_ha,finetune,0,145,1123,72,0.9552469135802469,7,6.2,0.9510267232144235,0.8939478664600169,0.4431887755102041,0.9976211072664359,0.827912675428826,0.9890375,0.9895356101624323,finetuned,0.8912037037037037,0.9552469135802469,7.0
hu_ha,dev_only,0,145,145,72,0.9328703703703703,17,6.2,0.9542005055541198,0.8904088239773522,0.6676800720288115,0.9948096885813149,0.8488527511695254,0.9781375,0.9950020824656394,,,,
hu_ha,mixed,0,170,1148,72,0.9513888888888888,32,32.4,0.9501339910835584,0.8970742438766551,0.205,0.9891868512110727,0.8416128313655602,0.9868125,0.982923781757601,,,,
hu_ha,finetune,0,170,1148,72,0.9683641975308641,24,8.4,0.944287745979326,0.899561611958216,0.40933673469387755,0.9989186851211073,0.7986188460681666,0.9919,0.98771345272803,finetuned,0.8912037037037037,0.9683641975308641,24.0
hu_ha,dev_only,0,170,170,72,0.9340277777777778,13,7.0,0.9385600517207596,0.8712225972478543,0.6787545018007203,0.9851859861591696,0.7917130764089998,0.9860875,0.9912536443148688,,,,
hu_ha,mixed,0,194,1172,72,0.9483024691358025,15,28.4,0.9471480208165847,0.9020536610166454,0.6872899159663866,0.9859429065743944,0.8232345734016485,0.9894625,0.9899521032902957,,,,
hu_ha,finetune,0,194,1172,72,0.9564043209876543,10,7.9,0.9439435235611136,0.8927058174015875,0.22875,0.9991349480968859,0.7999554466473602,0.9925625,0.9841211995002083,finetuned,0.8912037037037037,0.9564043209876543,10.0
hu_ha,dev_only,0,194,194,72,0.9525462962962963,8,6.6,0.9438504946702047,0.8730166656214724,0.44808673469387755,0.990916955017301,0.8119848518601025,0.9829125,0.9895876718034153,,,,
hu_ha,mixed,0,218,1196,72,0.9197530864197531,10,27.6,0.9401374345699401,0.8722391307269177,0.6410849339735895,0.9881055363321799,0.8034083314769437,0.9801249999999999,0.9889108704706372,,,,
hu_ha,finetune,0,218,1196,72,0.9552469135802469,8,8.1,0.9444393780612409,0.8928136366486894,0.4721938775510204,0.9967560553633218,0.7895967921586099,0.9975999999999999,0.993804664723032,finetuned,0.8912037037037037,0.9552469135802469,8.0
hu_ha,dev_only,0,218,218,72,0.9390432098765431,18,7.5,0.9533824910974816,0.894223025030908,0.22704081632653061,0.9993512110726643,0.826464691468033,0.9914624999999999,0.9962515618492295,,,,
