packed gptoss120b: train 662 rows / 2.84 GB, val 166 rows / 0.71 GB, eval 866 rows / 0.81 GB (host)
gptoss120b: 389 pairs, 50 seeds, K=64 -> 7 passes/seed, 350 passes total
  seed 42 pass 1/7  (88s/pass, 1m elapsed, 513m left)
  seed 42 pass 2/7  (93s/pass, 3m elapsed, 542m left)
  seed 42 pass 3/7  (91s/pass, 5m elapsed, 525m left)
  seed 42 pass 4/7  (90s/pass, 6m elapsed, 519m left)
  seed 42 pass 5/7  (92s/pass, 8m elapsed, 530m left)
  seed 42 pass 6/7  (91s/pass, 9m elapsed, 521m left)
  seed 42 pass 7/7  (83s/pass, 10m elapsed, 475m left)
  seed 43 pass 1/7  (83s/pass, 11m elapsed, 471m left)
  seed 43 pass 2/7  (84s/pass, 13m elapsed, 478m left)
  seed 43 pass 3/7  (84s/pass, 14m elapsed, 475m left)
  seed 43 pass 4/7  (85s/pass, 16m elapsed, 478m left)
  seed 43 pass 5/7  (85s/pass, 17m elapsed, 480m left)
  seed 43 pass 6/7  (85s/pass, 18m elapsed, 476m left)
  seed 43 pass 7/7  (81s/pass, 19m elapsed, 454m left)
  seed 44 pass 1/7  (83s/pass, 21m elapsed, 462m left)
  seed 44 pass 2/7  (85s/pass, 23m elapsed, 475m left)
  seed 44 pass 3/7  (88s/pass, 25m elapsed, 487m left)
  seed 44 pass 4/7  (89s/pass, 27m elapsed, 494m left)
  seed 44 pass 5/7  (90s/pass, 29m elapsed, 498m left)
  seed 44 pass 6/7  (90s/pass, 30m elapsed, 496m left)
  seed 44 pass 7/7  (88s/pass, 31m elapsed, 482m left)
  seed 45 pass 1/7  (87s/pass, 32m elapsed, 478m left)
  seed 45 pass 2/7  (87s/pass, 33m elapsed, 476m left)
  seed 45 pass 3/7  (87s/pass, 35m elapsed, 471m left)
  seed 45 pass 4/7  (87s/pass, 36m elapsed, 470m left)
  seed 45 pass 5/7  (87s/pass, 37m elapsed, 467m left)
  seed 45 pass 6/7  (86s/pass, 39m elapsed, 463m left)
  seed 45 pass 7/7  (84s/pass, 39m elapsed, 452m left)
  seed 46 pass 1/7  (84s/pass, 41m elapsed, 450m left)
  seed 46 pass 2/7  (84s/pass, 42m elapsed, 448m left)
  seed 46 pass 3/7  (84s/pass, 43m elapsed, 446m left)
  seed 46 pass 4/7  (84s/pass, 45m elapsed, 443m left)
  seed 46 pass 5/7  (83s/pass, 46m elapsed, 441m left)
  seed 46 pass 6/7  (83s/pass, 47m elapsed, 438m left)
  seed 46 pass 7/7  (82s/pass, 48m elapsed, 429m left)
  seed 47 pass 1/7  (82s/pass, 49m elapsed, 429m left)
  seed 47 pass 2/7  (82s/pass, 51m elapsed, 428m left)
  seed 47 pass 3/7  (82s/pass, 52m elapsed, 427m left)
  seed 47 pass 4/7  (82s/pass, 54m elapsed, 427m left)
  seed 47 pass 5/7  (82s/pass, 55m elapsed, 426m left)
  seed 47 pass 6/7  (82s/pass, 56m elapsed, 425m left)
  seed 47 pass 7/7  (81s/pass, 57m elapsed, 418m left)
  seed 48 pass 1/7  (81s/pass, 58m elapsed, 417m left)
  seed 48 pass 2/7  (82s/pass, 60m elapsed, 416m left)
  seed 48 pass 3/7  (82s/pass, 61m elapsed, 415m left)
  seed 48 pass 4/7  (82s/pass, 63m elapsed, 414m left)
  seed 48 pass 5/7  (82s/pass, 64m elapsed, 413m left)
