dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.8103651356020487,0.7005168671946391,0.1728826530612244,0.01,attention,far_s101,far,725,81,72,101
mean,0.8131482451600851,0.705593397806884,0.0,0.01,attention,far_s202,far,725,81,72,202
mean,0.8082115356029553,0.7036835592445934,0.09,0.01,attention,far_s303,far,725,81,72,303
mean,0.8094077480463134,0.7029888821200123,0.09,0.01,attention,far_s404,far,725,81,72,404
mean,0.8136915427551323,0.7036835592445934,0.1602295918367346,0.01,attention,far_s42,far,725,81,72,42
mean,0.8268060396525723,0.7112159229363387,0.2068367346938775,0.01,attention,full_s101,full,806,0,72,101
mean,0.8209370207791764,0.7018178876028024,0.1677806122448979,0.01,attention,full_s202,full,806,0,72,202
mean,0.815838324388191,0.698102726165093,0.1650765306122449,0.01,attention,full_s303,full,806,0,72,303
mean,0.8188481238625385,0.7030933978068841,0.0975,0.01,attention,full_s404,full,806,0,72,404
mean,0.8210457484386702,0.7069292567773378,0.09375,0.01,attention,full_s42,full,806,0,72,42
mean,0.8335660716929486,0.7094199284191288,0.191734693877551,0.01,attention,near_s101,near,725,81,72,101
mean,0.8233089254373117,0.714461620469083,0.1915306122448979,0.01,attention,near_s202,near,725,81,72,202
mean,0.8313787796475269,0.7163366204690831,0.1889795918367346,0.01,attention,near_s303,near,725,81,72,303
mean,0.8193776911614786,0.7074683978068841,0.10875,0.01,attention,near_s404,near,725,81,72,404
mean,0.8185062978259294,0.7056282363691745,0.1966836734693877,0.01,attention,near_s42,near,725,81,72,42
mean,0.825290194908273,0.7056537465732562,0.2091836734693877,0.01,attention,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.820480433277606,0.7024939080109656,0.1075,0.01,attention,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.8161466743347582,0.7037787465732562,0.11125,0.01,attention,neardraw_d0_s303,neardraw,725,81,72,303
mean,0.8209726021205321,0.7050797669814195,0.187984693877551,0.01,attention,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.8188976291828802,0.70573960554371,0.1993877551020408,0.01,attention,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.8222042280394011,0.7056792567773378,0.1990306122448979,0.01,attention,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.8343804621770184,0.7157278023149558,0.1096938775510204,0.01,attention,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.831842205267918,0.7151121306731647,0.1,0.01,attention,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.8272310734404097,0.711422479439537,0.0,0.01,attention,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.8216041454317549,0.70886460554371,0.11625,0.01,attention,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.8287614448244935,0.7082557873895827,0.181734693877551,0.01,attention,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.8143446411083708,0.7049428876028023,0.2053826530612245,0.01,attention,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.8304704421586947,0.7183229896436186,0.2157397959183673,0.01,attention,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.8268497446826311,0.7125611102650015,0.2080357142857142,0.01,attention,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.5293113419613393,0.513444829424307,0.0,0.01,difference_of_means,far_s42,far,725,81,72,42
mean,0.5811241928989977,0.5605513250076151,0.0,0.01,difference_of_means,full_s42,full,806,0,72,42
mean,0.5217296676192436,0.5084286475784343,0.0,0.01,difference_of_means,near_s42,near,725,81,72,42
mean,0.5393243240444225,0.5209261727078891,0.0,0.01,difference_of_means,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.5374312790166235,0.5259933749619251,0.0,0.01,difference_of_means,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.5304448142149202,0.5152756625038075,0.0,0.01,difference_of_means,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.5371699053207624,0.5260537237282973,0.0,0.01,difference_of_means,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.5301807652752729,0.5178615214742613,0.0,0.01,difference_of_means,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.5488072750048734,0.5349567849527871,0.0,0.01,difference_of_means,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.5259466437145073,0.5165766829119708,0.0,0.01,difference_of_means,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.539876933216953,0.5272085363996345,0.0,0.01,difference_of_means,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.5493999074401084,0.5340486978373439,0.0,0.01,difference_of_means,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.538332809732667,0.5190001522997258,0.0,0.01,difference_of_means,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.5293113419613393,0.513444829424307,0.0,0.01,lda,far_s42,far,725,81,72,42
mean,0.5811241928989977,0.5605513250076151,0.0,0.01,lda,full_s42,full,806,0,72,42
mean,0.5217296676192436,0.5084286475784343,0.0,0.01,lda,near_s42,near,725,81,72,42
mean,0.5393243240444225,0.5209261727078891,0.0,0.01,lda,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.5374312790166235,0.5259933749619251,0.0,0.01,lda,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.5304448142149202,0.5152756625038075,0.0,0.01,lda,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.5371699053207624,0.5260537237282973,0.0,0.01,lda,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.5301807652752729,0.5178615214742613,0.0,0.01,lda,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.5488072750048734,0.5349567849527871,0.0,0.01,lda,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.5259466437145073,0.5165766829119708,0.0,0.01,lda,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.539876933216953,0.5272085363996345,0.0,0.01,lda,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.5493999074401084,0.5340486978373439,0.0,0.01,lda,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.538332809732667,0.5190001522997258,0.0,0.01,lda,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.8930734885355636,0.7479629911666159,0.17125,0.01,linear_then_last,far_s101,far,725,81,72,101
mean,0.905333062728302,0.8261807036247335,0.14625,0.01,linear_then_last,far_s202,far,725,81,72,202
mean,0.9024409734814164,0.8113831838705631,0.5680837334933974,0.01,linear_then_last,far_s303,far,725,81,72,303
mean,0.8954071630960652,0.7910597037322391,0.307219387755102,0.01,linear_then_last,far_s404,far,725,81,72,404
mean,0.8716447832231455,0.7023169827632546,0.17375,0.01,linear_then_last,far_s42,far,725,81,72,42
mean,0.8981123820057398,0.8254267527906685,0.1075,0.01,linear_then_last,full_s101,full,806,0,72,101
mean,0.8976341417823075,0.7926156022110336,0.3914705882352941,0.01,linear_then_last,full_s202,full,806,0,72,202
mean,0.8937155954498879,0.8219151466556771,0.5372869147659063,0.01,linear_then_last,full_s303,full,806,0,72,303
mean,0.8908430902389274,0.7801625463618282,0.3865441176470588,0.01,linear_then_last,full_s404,full,806,0,72,404
mean,0.8886693211981815,0.7883816586336028,0.3614705882352941,0.01,linear_then_last,full_s42,full,806,0,72,42
mean,0.8976224920366581,0.8118954148823709,0.2464030612244898,0.01,linear_then_last,near_s101,near,725,81,72,101
mean,0.8994139515104951,0.811344493021089,0.3210714285714285,0.01,linear_then_last,near_s202,near,725,81,72,202
mean,0.8987416379633808,0.8277283711992259,0.5158553421368548,0.01,linear_then_last,near_s303,near,725,81,72,303
mean,0.9022481421859772,0.7762473795488345,0.309719387755102,0.01,linear_then_last,near_s404,near,725,81,72,404
mean,0.8962892562452414,0.8026663986490118,0.5033718487394958,0.01,linear_then_last,near_s42,near,725,81,72,42
mean,0.8990392692005558,0.8279322288616939,0.0975,0.01,linear_then_last,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.8923599699444668,0.8271225766425974,0.5538655462184874,0.01,linear_then_last,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.8858349561139728,0.8081172282345774,0.1880867346938775,0.01,linear_then_last,neardraw_d0_s303,neardraw,725,81,72,303
mean,0.8973404830766668,0.8236381604880758,0.3802205882352941,0.01,linear_then_last,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.8722261606808716,0.7811903567397108,0.3208823529411764,0.01,linear_then_last,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.8951238458765537,0.8044768952357062,0.3677205882352941,0.01,linear_then_last,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.8989863552726791,0.8295600553654298,0.5002385954381753,0.01,linear_then_last,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.8852826545550008,0.8030052319435237,0.3604411764705882,0.01,linear_then_last,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.8970096057460035,0.8339709689846087,0.2895153061224489,0.01,linear_then_last,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.9052215697859256,0.8299957557649926,0.5117211884753902,0.01,linear_then_last,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.8988515384533614,0.8081695476698142,0.5087575030012005,0.01,linear_then_last,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.8918170940032242,0.8142135174965508,0.2389705882352941,0.01,linear_then_last,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.8949636636035458,0.8270449485764455,0.5199564825930372,0.01,linear_then_last,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.8922928254716006,0.8050890169500637,0.356764705882353,0.01,linear_then_last,neardraw_d9_s42,neardraw,725,81,72,42
