dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6726859861591695,0.5,0.0,0.01,attention,far_s101,far,725,81,72,101
eval_ant_hh,0.7780129204722656,0.7089552238805971,0.0,0.01,attention,far_s101,far,725,81,72,101
eval_balanced_refusal,0.8936875,0.8125,0.365,0.01,attention,far_s101,far,725,81,72,101
eval_daily_dilemmas,0.8970741357767597,0.7806122448979592,0.3265306122448979,0.01,attention,far_s101,far,725,81,72,101
mean,0.8103651356020487,0.7005168671946391,0.1728826530612244,0.01,attention,far_s101,far,725,81,72,101
eval_ai_dilemmas,0.6824178200692042,0.5,0.0,0.01,attention,far_s202,far,725,81,72,202
eval_ant_hh,0.7812430385386501,0.7089552238805971,0.0,0.01,attention,far_s202,far,725,81,72,202
eval_balanced_refusal,0.8910250000000001,0.8175,0.0,0.01,attention,far_s202,far,725,81,72,202
eval_daily_dilemmas,0.8979071220324863,0.7959183673469388,0.0,0.01,attention,far_s202,far,725,81,72,202
mean,0.8131482451600851,0.705593397806884,0.0,0.01,attention,far_s202,far,725,81,72,202
eval_ai_dilemmas,0.6695501730103807,0.5,0.0,0.01,attention,far_s303,far,725,81,72,303
eval_ant_hh,0.7810202717754512,0.7164179104477612,0.0,0.01,attention,far_s303,far,725,81,72,303
eval_balanced_refusal,0.88895,0.8075,0.36,0.01,attention,far_s303,far,725,81,72,303
eval_daily_dilemmas,0.8933256976259891,0.7908163265306123,0.0,0.01,attention,far_s303,far,725,81,72,303
mean,0.8082115356029553,0.7036835592445934,0.09,0.01,attention,far_s303,far,725,81,72,303
eval_ai_dilemmas,0.67560553633218,0.5,0.0,0.01,attention,far_s404,far,725,81,72,404
eval_ant_hh,0.7852528402762307,0.7313432835820896,0.0,0.01,attention,far_s404,far,725,81,72,404
eval_balanced_refusal,0.88605,0.8,0.36,0.01,attention,far_s404,far,725,81,72,404
eval_daily_dilemmas,0.890722615576843,0.7806122448979592,0.0,0.01,attention,far_s404,far,725,81,72,404
