arch,dataset,far,full,near,neardraw
attention,eval_ai_dilemmas,0.6758001730103806,0.6982482698961938,0.706401384083045,0.7049632352941176
attention,eval_ant_hh,0.7817776787703276,0.7917799064379595,0.7859434172421474,0.7788482958342614
attention,eval_balanced_refusal,0.890915,0.9036225,0.9145524999999999,0.9132812499999999
attention,eval_daily_dilemmas,0.8953665139525198,0.8891295293627655,0.8940129112869638,0.899900339144404
difference_of_means,eval_ai_dilemmas,0.5,0.5073529411764706,0.5,0.5
difference_of_means,eval_ant_hh,0.543328135442192,0.5946758743595455,0.5263978614390733,0.5479059924259301
difference_of_means,eval_balanced_refusal,0.4402749999999999,0.5455625,0.4504624999999999,0.46204875
difference_of_means,eval_daily_dilemmas,0.6336422324031654,0.676905456059975,0.6100583090379008,0.640811120366514
lda,eval_ai_dilemmas,0.5,0.5073529411764706,0.5,0.5
lda,eval_ant_hh,0.543328135442192,0.5946758743595455,0.5263978614390733,0.5479059924259301
lda,eval_balanced_refusal,0.4402749999999999,0.5455625,0.4504624999999999,0.46204875
lda,eval_daily_dilemmas,0.6336422324031654,0.676905456059975,0.6100583090379008,0.640811120366514
linear_then_last,eval_ai_dilemmas,0.9680147058823529,0.9900519031141869,0.98871107266436,0.9902836134453782
linear_then_last,eval_ant_hh,0.6861216306527066,0.6795054577856984,0.6992871463577635,0.6913805174553671
linear_then_last,eval_balanced_refusal,0.9559599999999999,0.9420550000000001,0.94245,0.9330160714285715
linear_then_last,eval_daily_dilemmas,0.9642232403165348,0.96356726364015,0.9650041649312786,0.9585626524662343
linear_then_max,eval_ai_dilemmas,0.5353157439446367,0.5828287197231834,0.4970588235294118,0.5541584280771132
linear_then_max,eval_ant_hh,0.6427934952105145,0.7117398084205837,0.6797282245488974,0.6938150399388983
linear_then_max,eval_balanced_refusal,0.681,0.7702825,0.7525000000000001,0.7806205357142858
linear_then_max,eval_daily_dilemmas,0.7101311953352769,0.8504685547688464,0.7425655976676385,0.7871496995299577
linear_then_mean,eval_ai_dilemmas,0.6281790657439447,0.6285683391003459,0.6253892733564014,0.6337200321304993
linear_then_mean,eval_ant_hh,0.7797727779015371,0.797482735575852,0.7936288705725106,0.7916016930274002
linear_then_mean,eval_balanced_refusal,0.8705124999999999,0.8740399999999999,0.87418,0.8815571428571428
linear_then_mean,eval_daily_dilemmas,0.8113910870470636,0.795387338608913,0.8009683465222824,0.8038391741536265
linear_then_rolling_max,eval_ai_dilemmas,0.6581531141868513,0.6558391003460208,0.666068339100346,0.677760442412259
linear_then_rolling_max,eval_ant_hh,0.7230786366674092,0.7191133882824683,0.6951214078859435,0.7084221748400853
linear_then_rolling_max,eval_balanced_refusal,0.8856999999999999,0.8888325,0.9004424999999999,0.8973035714285713
linear_then_rolling_max,eval_daily_dilemmas,0.8862453144523116,0.8868908788004998,0.8947938359017076,0.8940173737133338
linear_then_softmax,eval_ai_dilemmas,0.9439662629757786,0.9246539792387545,0.929000865051903,0.954932340583292
linear_then_softmax,eval_ant_hh,0.7497215415460013,0.7558476275339719,0.7566495878814881,0.7376523565541164
linear_then_softmax,eval_balanced_refusal,0.8645125,0.8144775,0.8392875,0.8519125
linear_then_softmax,eval_daily_dilemmas,0.979164931278634,0.9783215326947104,0.9758121615993336,0.9819606413994169
pre_mean,eval_ai_dilemmas,0.6286548442906575,0.6276600346020761,0.6248053633217993,0.6346314260998518
pre_mean,eval_ant_hh,0.7796613945199377,0.7966362218756962,0.7939852973936289,0.7911163797218598
pre_mean,eval_balanced_refusal,0.8712,0.8740525,0.8741975,0.8815678571428572
pre_mean,eval_daily_dilemmas,0.8110266555601833,0.7958558933777592,0.801551436901291,0.8037424882489439
sklearn,eval_ai_dilemmas,0.6448961937716262,0.6511678200692042,0.6498702422145329,0.6505190311418685
sklearn,eval_ant_hh,0.7529516596123859,0.7665404321675205,0.7825796391178436,0.7768322566273113
sklearn,eval_balanced_refusal,0.85935,0.8695249999999999,0.8682000000000001,0.8706225
sklearn,eval_daily_dilemmas,0.8390254060807997,0.8325697625989171,0.8343398583923365,0.8401811745106205
