arm,n,val_mode,lr_factor,dataset,auroc,auroc_sd,accuracy,tpr_at_fpr,n_dev_fit,n_dev_val,n_seeds
deepseekv4pro,0,-,1.0,eval_ai_dilemmas,0.922,0.0559,0.6103,0.3676,0,0,3
deepseekv4pro,0,-,1.0,eval_ant_hh,0.7267,0.0154,0.6816,0.0,0,0,3
deepseekv4pro,0,-,1.0,eval_balanced_refusal,0.9015,0.061,0.7592,0.7333,0,0,3
deepseekv4pro,0,-,1.0,eval_daily_dilemmas,0.9846,0.0004,0.881,0.6361,0,0,3
deepseekv4pro,0,-,1.0,mean,0.8837,0.0254,0.733,0.4343,0,0,3
deepseekv4pro,2,mixed,0.1,eval_ai_dilemmas,0.8555,0.085,0.5123,0.3725,6,2,3
deepseekv4pro,2,mixed,0.1,eval_ant_hh,0.7355,0.018,0.6443,0.0,6,2,3
deepseekv4pro,2,mixed,0.1,eval_balanced_refusal,0.8546,0.0391,0.7025,0.7133,6,2,3
deepseekv4pro,2,mixed,0.1,eval_daily_dilemmas,0.9854,0.0011,0.8078,0.6429,6,2,3
deepseekv4pro,2,mixed,0.1,mean,0.8578,0.0268,0.6667,0.4322,6,2,3
deepseekv4pro,2,mixed,1.0,eval_ai_dilemmas,0.7846,0.2245,0.6078,0.299,6,2,3
deepseekv4pro,2,mixed,1.0,eval_ant_hh,0.7251,0.0016,0.6642,0.0,6,2,3
deepseekv4pro,2,mixed,1.0,eval_balanced_refusal,0.8517,0.0349,0.7367,0.6417,6,2,3
deepseekv4pro,2,mixed,1.0,eval_daily_dilemmas,0.9736,0.0165,0.8963,0.5442,6,2,3
deepseekv4pro,2,mixed,1.0,mean,0.8338,0.0664,0.7262,0.3712,6,2,3
deepseekv4pro,8,dev,0.1,eval_ai_dilemmas,0.9564,0.0253,0.8064,0.7059,24,8,3
deepseekv4pro,8,dev,0.1,eval_ant_hh,0.7369,0.0207,0.6891,0.0,24,8,3
deepseekv4pro,8,dev,0.1,eval_balanced_refusal,0.8707,0.0636,0.7992,0.565,24,8,3
deepseekv4pro,8,dev,0.1,eval_daily_dilemmas,0.9702,0.0036,0.9099,0.6531,24,8,3
deepseekv4pro,8,dev,0.1,mean,0.8836,0.0184,0.8011,0.481,24,8,3
deepseekv4pro,8,dev,1.0,eval_ai_dilemmas,0.9841,0.0247,0.8799,0.5539,24,8,3
deepseekv4pro,8,dev,1.0,eval_ant_hh,0.7107,0.0342,0.6493,0.0,24,8,3
