arm,n,val_mode,lr_factor,dataset,auroc,auroc_sd,accuracy,tpr_at_fpr,n_dev_fit,n_dev_val,n_seeds,mixed_auroc,mixed_acc,auroc_delta_vs_mixed
deepseekv4pro,0,-,1.0,mean,0.8837,0.0254,0.733,0.4343,0,0,3,0.8837,0.733,0.0
deepseekv4pro,2,mixed,0.1,mean,0.8578,0.0268,0.6667,0.4322,6,2,3,0.8807,0.7142,-0.0229
deepseekv4pro,2,mixed,1.0,mean,0.8338,0.0664,0.7262,0.3712,6,2,3,0.8807,0.7142,-0.0469
deepseekv4pro,8,dev,0.1,mean,0.8836,0.0184,0.8011,0.481,24,8,3,0.9154,0.8338,-0.0318
deepseekv4pro,8,dev,1.0,mean,0.8655,0.0247,0.7671,0.3492,24,8,3,0.9154,0.8338,-0.0499
deepseekv4pro,8,mixed,0.1,mean,0.8866,0.0159,0.801,0.4887,24,8,3,0.9154,0.8338,-0.0288
deepseekv4pro,8,mixed,1.0,mean,0.8655,0.0247,0.7667,0.3492,24,8,3,0.9154,0.8338,-0.0499
deepseekv4pro,16,dev,0.1,mean,0.9096,0.0028,0.8676,0.4826,49,15,3,0.9196,0.8629,-0.01
deepseekv4pro,16,dev,1.0,mean,0.9137,0.0026,0.8686,0.4773,49,15,3,0.9196,0.8629,-0.0059
deepseekv4pro,16,mixed,0.1,mean,0.9086,0.0017,0.8653,0.4034,49,15,3,0.9196,0.8629,-0.011
deepseekv4pro,16,mixed,1.0,mean,0.9138,0.0025,0.8686,0.4777,49,15,3,0.9196,0.8629,-0.0058
deepseekv4pro,30,dev,0.1,mean,0.9135,0.0086,0.8668,0.4547,94,26,3,0.9292,0.8724,-0.0157
deepseekv4pro,30,dev,1.0,mean,0.9273,0.0033,0.8755,0.3196,94,26,3,0.9292,0.8724,-0.0019
deepseekv4pro,30,mixed,0.1,mean,0.9176,0.0066,0.8703,0.4673,94,26,3,0.9292,0.8724,-0.0116
deepseekv4pro,30,mixed,1.0,mean,0.9272,0.0035,0.8759,0.318,94,26,3,0.9292,0.8724,-0.002
gptoss120b,0,-,1.0,mean,0.9073,0.0097,0.8379,0.4049,0,0,3,0.9073,0.8379,0.0
gptoss120b,2,mixed,0.1,mean,0.912,0.0047,0.8302,0.4299,6,2,3,0.916,0.8359,-0.004
gptoss120b,2,mixed,1.0,mean,0.8722,0.0254,0.7266,0.3691,6,2,3,0.916,0.8359,-0.0438
gptoss120b,8,dev,0.1,mean,0.8841,0.0099,0.811,0.3841,24,8,3,0.9224,0.857,-0.0383
gptoss120b,8,dev,1.0,mean,0.8918,0.0084,0.8292,0.4539,24,8,3,0.9224,0.857,-0.0306
gptoss120b,8,mixed,0.1,mean,0.884,0.0102,0.8112,0.3804,24,8,3,0.9224,0.857,-0.0384
gptoss120b,8,mixed,1.0,mean,0.8918,0.0084,0.8292,0.4539,24,8,3,0.9224,0.857,-0.0306
gptoss120b,16,dev,0.1,mean,0.907,0.0065,0.8629,0.311,49,15,3,0.9184,0.8698,-0.0114
gptoss120b,16,dev,1.0,mean,0.9154,0.0074,0.8715,0.5008,49,15,3,0.9184,0.8698,-0.003
gptoss120b,16,mixed,0.1,mean,0.9063,0.0083,0.8621,0.2297,49,15,3,0.9184,0.8698,-0.0121
gptoss120b,16,mixed,1.0,mean,0.9154,0.007,0.8736,0.5016,49,15,3,0.9184,0.8698,-0.003
gptoss120b,30,dev,0.1,mean,0.9145,0.0028,0.8644,0.4157,94,26,3,0.925,0.8673,-0.0105
gptoss120b,30,dev,1.0,mean,0.9223,0.0078,0.866,0.3535,94,26,3,0.925,0.8673,-0.0027
gptoss120b,30,mixed,0.1,mean,0.9146,0.0036,0.8636,0.4178,94,26,3,0.925,0.8673,-0.0104
gptoss120b,30,mixed,1.0,mean,0.9224,0.0079,0.8662,0.3535,94,26,3,0.925,0.8673,-0.0026
