geometry,scored,auroc_mean,auroc_std,auroc_min,auroc_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,tpr_at_fpr_mean,tpr_at_fpr_std,tpr_at_fpr_min,tpr_at_fpr_max,n_total
pooled,all,0.9766,0.0109,0.9602,0.9888,0.9342,0.0083,0.9257,0.9477,0.2819,0.3864,0.0,0.7273,866
pooled,eval_ai_dilemmas,0.9912,0.0152,0.9643,1.0,0.9553,0.0318,0.9231,1.0,0.0,0.0,0.0,0.0,136
pooled,eval_ant_hh,0.9347,0.0492,0.858,0.9882,0.8273,0.0598,0.7692,0.8929,0.0,0.0,0.0,0.0,134
pooled,eval_balanced_refusal,0.9924,0.0073,0.9844,0.9988,0.9475,0.0205,0.9125,0.9625,0.0,0.0,0.0,0.0,400
pooled,eval_daily_dilemmas,0.9818,0.0156,0.9681,1.0,0.9642,0.023,0.9474,1.0,0.0,0.0,0.0,0.0,196
within:eval_ai_dilemmas,all,1.0,0.0,1.0,1.0,0.9775,0.0206,0.9615,1.0,0.0,0.0,0.0,0.0,136
within:eval_ai_dilemmas,eval_ai_dilemmas,1.0,0.0,1.0,1.0,0.9775,0.0206,0.9615,1.0,0.0,0.0,0.0,0.0,136
within:eval_ant_hh,all,0.9069,0.0433,0.8407,0.9586,0.8509,0.0243,0.8214,0.8889,0.0,0.0,0.0,0.0,134
within:eval_ant_hh,eval_ant_hh,0.9069,0.0433,0.8407,0.9586,0.8509,0.0243,0.8214,0.8889,0.0,0.0,0.0,0.0,134
within:eval_balanced_refusal,all,0.9992,0.0018,0.9959,1.0,0.9925,0.0068,0.9875,1.0,0.0,0.0,0.0,0.0,400
within:eval_balanced_refusal,eval_balanced_refusal,0.9992,0.0018,0.9959,1.0,0.9925,0.0068,0.9875,1.0,0.0,0.0,0.0,0.0,400
within:eval_daily_dilemmas,all,0.9811,0.0179,0.9613,1.0,0.9487,0.0263,0.9211,0.975,0.0,0.0,0.0,0.0,196
within:eval_daily_dilemmas,eval_daily_dilemmas,0.9811,0.0179,0.9613,1.0,0.9487,0.0263,0.9211,0.975,0.0,0.0,0.0,0.0,196
