dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.8063436718411592,0.7006630749314651,0.1738265306122449,0.01,attention,far_s101,far,662,74,142,101
mean,0.8102092674083182,0.7100336739173282,0.1920678271308523,0.01,attention,far_s202,far,662,74,142,202
mean,0.8178018248114596,0.7113876408772464,0.11875,0.01,attention,far_s303,far,662,74,142,303
mean,0.8106797327862966,0.7056095796527566,0.08875,0.01,attention,far_s404,far,662,74,142,404
mean,0.8066067281235489,0.7018689080109656,0.08875,0.01,attention,far_s42,far,662,74,142,42
mean,0.8151764736810643,0.7018782363691746,0.1981932773109243,0.01,attention,far_s505,far,662,74,142,505
mean,0.8115303280732801,0.7063042567773378,0.1715816326530612,0.01,attention,far_s606,far,662,74,142,606
mean,0.8079159902933823,0.7074223047427926,0.08625,0.01,attention,far_s707,far,662,74,142,707
mean,0.8116328899230506,0.707482653509165,0.0875,0.01,attention,far_s808,far,662,74,142,808
mean,0.8166953871265161,0.7107209488272921,0.09,0.01,attention,far_s909,far,662,74,142,909
mean,0.8121413087657627,0.699977726165093,0.1914795918367346,0.01,attention,full_s101,full,736,0,142,101
mean,0.8246486123131563,0.6999870545233018,0.115,0.01,attention,full_s202,full,736,0,142,202
mean,0.8218661667043258,0.6950057112397199,0.1964285714285714,0.01,attention,full_s303,full,736,0,142,303
mean,0.8136344841571895,0.6962625647273835,0.1740816326530612,0.01,attention,full_s404,full,736,0,142,404
mean,0.8194838250187426,0.7050194182150473,0.1991326530612244,0.01,attention,full_s42,full,736,0,142,42
mean,0.8060563111023329,0.696852726165093,0.1549744897959183,0.01,attention,full_s505,full,736,0,142,505
mean,0.8196686329953715,0.7031282363691745,0.2002806122448979,0.01,attention,full_s606,full,736,0,142,606
mean,0.8145888797950027,0.7024939080109656,0.1927806122448979,0.01,attention,full_s707,full,736,0,142,707
mean,0.8222904835247256,0.7025635851355467,0.1876785714285714,0.01,attention,full_s808,full,736,0,142,808
mean,0.8154407645166057,0.6962022159610113,0.1652295918367347,0.01,attention,full_s909,full,736,0,142,909
mean,0.8162163079506338,0.7075542567773377,0.215484693877551,0.01,attention,neardraw_d0_s42,neardraw,662,74,142,42
mean,0.8149504944331089,0.6951170804142552,0.09625,0.01,attention,neardraw_d1_s42,neardraw,662,74,142,42
