dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.6801470588235294,0.5,0.0,0.01,attention,far_s101,far,662,74,142,101
eval_ant_hh,0.7675428826019157,0.6940298507462687,0.0,0.01,attention,far_s101,far,662,74,142,101
eval_balanced_refusal,0.891075,0.8025,0.43,0.01,attention,far_s101,far,662,74,142,101
eval_daily_dilemmas,0.8866097459391918,0.8061224489795918,0.2653061224489796,0.01,attention,far_s101,far,662,74,142,101
mean,0.8063436718411592,0.7006630749314651,0.1738265306122449,0.01,attention,far_s101,far,662,74,142,101
eval_ai_dilemmas,0.6838235294117647,0.5073529411764706,0.1323529411764706,0.01,attention,far_s202,far,662,74,142,202
eval_ant_hh,0.7754511026954778,0.7089552238805971,0.0,0.01,attention,far_s202,far,662,74,142,202
eval_balanced_refusal,0.8914124999999999,0.8075,0.34,0.01,attention,far_s202,far,662,74,142,202
eval_daily_dilemmas,0.8901499375260308,0.8163265306122449,0.2959183673469387,0.01,attention,far_s202,far,662,74,142,202
mean,0.8102092674083182,0.7100336739173282,0.1920678271308523,0.01,attention,far_s202,far,662,74,142,202
eval_ai_dilemmas,0.7008001730103807,0.5,0.0,0.01,attention,far_s303,far,662,74,142,303
eval_ant_hh,0.7726665181554911,0.7164179104477612,0.0,0.01,attention,far_s303,far,662,74,142,303
eval_balanced_refusal,0.8952,0.7975,0.475,0.01,attention,far_s303,far,662,74,142,303
eval_daily_dilemmas,0.9025406080799666,0.8316326530612245,0.0,0.01,attention,far_s303,far,662,74,142,303
mean,0.8178018248114596,0.7113876408772464,0.11875,0.01,attention,far_s303,far,662,74,142,303
eval_ai_dilemmas,0.6907439446366782,0.5,0.0,0.01,attention,far_s404,far,662,74,142,404
eval_ant_hh,0.7704388505235018,0.7164179104477612,0.0,0.01,attention,far_s404,far,662,74,142,404
eval_balanced_refusal,0.8882625,0.805,0.355,0.01,attention,far_s404,far,662,74,142,404
eval_daily_dilemmas,0.8932736359850062,0.8010204081632653,0.0,0.01,attention,far_s404,far,662,74,142,404
mean,0.8106797327862966,0.7056095796527566,0.08875,0.01,attention,far_s404,far,662,74,142,404
eval_ai_dilemmas,0.6844723183391003,0.5,0.0,0.01,attention,far_s42,far,662,74,142,42
eval_ant_hh,0.7762307863666741,0.7089552238805971,0.0,0.01,attention,far_s42,far,662,74,142,42
eval_balanced_refusal,0.8828625,0.7975,0.355,0.01,attention,far_s42,far,662,74,142,42
eval_daily_dilemmas,0.8828613077884215,0.8010204081632653,0.0,0.01,attention,far_s42,far,662,74,142,42
mean,0.8066067281235489,0.7018689080109656,0.08875,0.01,attention,far_s42,far,662,74,142,42
eval_ai_dilemmas,0.6876081314878894,0.5,0.1470588235294117,0.01,attention,far_s505,far,662,74,142,505
eval_ant_hh,0.7813544219202495,0.7014925373134329,0.0,0.01,attention,far_s505,far,662,74,142,505
eval_balanced_refusal,0.8957624999999999,0.805,0.36,0.01,attention,far_s505,far,662,74,142,505
eval_daily_dilemmas,0.8959808413161183,0.8010204081632653,0.2857142857142857,0.01,attention,far_s505,far,662,74,142,505
mean,0.8151764736810643,0.7018782363691746,0.1981932773109243,0.01,attention,far_s505,far,662,74,142,505
eval_ai_dilemmas,0.6825259515570934,0.5,0.0,0.01,attention,far_s606,far,662,74,142,606
eval_ant_hh,0.7675428826019158,0.7014925373134329,0.0,0.01,attention,far_s606,far,662,74,142,606
eval_balanced_refusal,0.897,0.8125,0.37,0.01,attention,far_s606,far,662,74,142,606
eval_daily_dilemmas,0.8990524781341107,0.8112244897959183,0.3163265306122449,0.01,attention,far_s606,far,662,74,142,606
