arch,dataset,far,full,neardraw
attention,eval_ai_dilemmas,0.687943339100346,0.6932958477508651,0.6923010380622838
attention,eval_ant_hh,0.7724214747159723,0.7821118289151259,0.7750835375361996
attention,eval_balanced_refusal,0.8925212499999999,0.9037862499999999,0.90580125
attention,eval_daily_dilemmas,0.892950853810912,0.8887338608912954,0.89426801332778
linear_then_max,eval_ai_dilemmas,0.5639489619377163,0.5625,0.5908737024221453
linear_then_max,eval_ant_hh,0.6654711517041657,0.6674426375584763,0.6817776787703275
linear_then_max,eval_balanced_refusal,0.7303175000000001,0.71110375,0.77072875
linear_then_max,eval_daily_dilemmas,0.7669044148271553,0.713926488962932,0.8025406080799667
linear_then_mean,eval_ai_dilemmas,0.6440852076124568,0.6360402249134948,0.6379757785467127
linear_then_mean,eval_ant_hh,0.7708843840498998,0.7873802628647806,0.7869235910002228
linear_then_mean,eval_balanced_refusal,0.87846125,0.8772825,0.88216625
linear_then_mean,eval_daily_dilemmas,0.8098917117867556,0.7935183256976259,0.7996407746772178
linear_then_rolling_max,eval_ai_dilemmas,0.6854455017301039,0.6714100346020762,0.6399762110726643
linear_then_rolling_max,eval_ant_hh,0.7091891289819559,0.7104923145466697,0.6898863889507686
linear_then_rolling_max,eval_balanced_refusal,0.9065049999999999,0.9067299999999999,0.858185
linear_then_rolling_max,eval_daily_dilemmas,0.9274000416493127,0.9162484381507705,0.885490420658059
linear_then_softmax,eval_ai_dilemmas,0.9627378892733564,0.9554822664359861,0.9629325259515571
linear_then_softmax,eval_ant_hh,0.7403541991534863,0.7426375584762754,0.7273112051681889
linear_then_softmax,eval_balanced_refusal,0.8529387500000001,0.8519475,0.8566499999999999
linear_then_softmax,eval_daily_dilemmas,0.9801541024573094,0.9805914202415661,0.9821064139941692
