set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it0b4,14,0.8104913278206275,0.7990403487579242,-0.020568207812009964,-0.01576742393753361,
it1b1,13,0.8304866563077182,0.8364591259897995,-0.0005728793249192288,0.021651353294341757,
it2b0,14,0.8015320886396206,0.7889501378478126,-0.029527446993016904,-0.02585763484764514,
it4b3,12,0.8319423842651223,0.8413503018306272,0.0008828486324848894,0.026542529135169413,
it5b4,14,0.8071554145023347,0.7990498269405457,-0.023904121130302713,-0.015757945754912073,
it9b1,12,0.8183509553756683,0.8100988131474791,-0.012708580256969193,-0.004708959547978675,
it7b2,12,0.8109829161469319,0.8050279912566207,-0.020076619485705605,-0.009779781438837065,
it11b3,14,0.7977740983212682,0.7963532856161825,-0.03328543731136924,-0.018454487079275328,
union (8 families),105,0.8099925991706033,0.7983352565839085,-0.02106693646203417,-0.016472516111549318,
