set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
mix04,10,0.8174484792752379,0.8064127715447672,-0.013611056357399565,-0.008395001150690584,it4b3+it5b4
mix02,10,0.8058656711448962,0.8006288759357397,-0.025193864487741302,-0.014178896759718063,it1b1+it5b4
mix03,10,0.8081005445951676,0.7943890144105941,-0.0229589910374699,-0.020418758284863725,it0b4+it11b3+it9b1
mix00,10,0.7851889727897318,0.7867727495486717,-0.04587056284290569,-0.028035023146786076,it0b4+it7b2
mix07,10,0.7865927946541199,0.7665588954939516,-0.04446674097851755,-0.04824887720150617,it0b4+it9b1+it1b1
mix01,10,0.7855134186736598,0.7772812984412131,-0.0455461169589777,-0.03752647425424471,it4b3+it1b1+it9b1
mix06,10,0.8039612349254236,0.7814551364597265,-0.027098300707213863,-0.03335263623573126,it4b3+it11b3+it5b4
mix09,10,0.8291745371580815,0.8244145280387857,-0.0018849984745559212,0.009606755343327888,it7b2+it0b4
mix05,10,0.8232474478812754,0.8161603577233897,-0.007812087751362107,0.0013525850279318963,it4b3+it7b2
mix08,10,0.7844438134291961,0.8081561467266756,-0.046615722203441345,-0.0066516259687822155,it7b2+it2b0+it1b1
union (10 families),100,0.7630069746866498,0.777243918580688,-0.06805256094598766,-0.03756385411476981,
