set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
mix00,10,0.798956777604495,0.7877121130023915,-0.03210275802814244,-0.027095659693066265,it0b4+it7b2
mix01,10,0.8223558542583296,0.807322953185882,-0.008703681374307881,-0.007484819509575802,it4b3+it1b1+it9b1
mix02,10,0.8101517838844338,0.8091041697508806,-0.020907751748203696,-0.0057036029445771685,it1b1+it5b4
mix03,10,0.8154642228539041,0.8062781787142527,-0.015595312778733383,-0.00852959398120512,it0b4+it11b3+it9b1
mix04,10,0.8052203805683673,0.794079384527805,-0.025839155064270147,-0.020728388167652767,it4b3+it5b4
mix05,10,0.8063916764698505,0.7961643466090368,-0.02466785916278691,-0.018643426086421,it4b3+it7b2
mix06,10,0.8175449073345916,0.8038338109861752,-0.013514628298045839,-0.010973961709282554,it4b3+it11b3+it5b4
mix07,10,0.8031457947078523,0.7978158757662495,-0.027913740924785158,-0.016991896929208328,it0b4+it9b1+it1b1
mix08,10,0.8006290894710258,0.7932390592381556,-0.030430446161611613,-0.021568713457302158,it7b2+it2b0+it1b1
mix09,10,0.822187502553282,0.8102813242747976,-0.008872033079355468,-0.00452644842066019,it7b2+it0b4
union (10 families),100,0.7649366706656736,0.7844374950676761,-0.06612286496696385,-0.03037027762778166,
