set,n_added,dev,eval,d_dev,d_eval,sources
floor (base+62),0,0.8310595356326375,0.8148077726954578,0.0,0.0,
it1b3,12,0.8479365551367606,0.8447026647077706,0.016877019504123125,0.029894892012312768,
it5b0,14,0.8227773851397633,0.8031717452060957,-0.008282150492874174,-0.0116360274893621,
it5b1,12,0.8391555110944069,0.826488916664864,0.008095975461769434,0.011681143969406227,
it6b1,14,0.8095909581777534,0.8036043467254913,-0.021468577454884064,-0.011203425969966485,
it8b4,14,0.7951526313967088,0.7985406759429053,-0.03590690423592868,-0.016267096752552446,
it9b0,12,0.8335070318588869,0.8393980657995571,0.0024474962262494016,0.024590293104099326,
it12b1,12,0.8323943302304716,0.8311954335084232,0.0013347945978341436,0.016387660812965388,
it12b3,12,0.8185478311402343,0.8279491780187632,-0.01251170449240313,0.013141405323305433,
union (8 families),102,0.839996528458653,0.8416546199527642,0.008936992826015566,0.02684684725730646,
