batch,rows,dev,eval,d_dev,d_eval
0,20,0.807261,0.811512,-0.023798,-0.003296
1,20,0.814155,0.809084,-0.016904,-0.005723
2,20,0.805190,0.808867,-0.025869,-0.005941
3,20,0.828716,0.824221,-0.002343,0.009414
4,20,0.834557,0.834315,0.003497,0.019507
5,20,0.820532,0.820154,-0.010527,0.005346
6,20,0.842891,0.834886,0.011832,0.020078
7,20,0.836637,0.823770,0.005578,0.008962
8,20,0.803729,0.801620,-0.027331,-0.013188
9,20,0.815769,0.797440,-0.015291,-0.017368
10,20,0.804910,0.798420,-0.026150,-0.016388
11,20,0.837108,0.848419,0.006048,0.033611
12,20,0.814691,0.826954,-0.016369,0.012146
13,20,0.810750,0.808144,-0.020309,-0.006664
14,20,0.838615,0.842556,0.007556,0.027748
15,20,0.800025,0.786813,-0.031034,-0.027994
16,20,0.819092,0.813134,-0.011967,-0.001674
17,20,0.821250,0.828775,-0.009810,0.013967
18,20,0.810746,0.801917,-0.020314,-0.012891
19,20,0.833904,0.820093,0.002844,0.005285
20,20,0.807946,0.815799,-0.023113,0.000991
21,20,0.831885,0.825362,0.000825,0.010554
22,20,0.794958,0.804171,-0.036101,-0.010637
23,20,0.819756,0.805910,-0.011303,-0.008898
24,20,0.815753,0.819568,-0.015307,0.004760
25,20,0.801298,0.802756,-0.029762,-0.012052
26,20,0.835303,0.833810,0.004244,0.019002
27,20,0.825163,0.824630,-0.005897,0.009823
28,20,0.810935,0.807214,-0.020124,-0.007593
29,20,0.805053,0.809230,-0.026007,-0.005577
30,20,0.795980,0.800186,-0.035080,-0.014622
31,20,0.830604,0.835853,-0.000456,0.021045
32,20,0.816492,0.820028,-0.014568,0.005220
33,20,0.829051,0.821535,-0.002008,0.006727
34,20,0.814717,0.801659,-0.016342,-0.013148
35,20,0.827929,0.828499,-0.003131,0.013691
36,20,0.825040,0.818501,-0.006020,0.003693
37,20,0.825726,0.819647,-0.005333,0.004839
38,20,0.821518,0.805020,-0.009542,-0.009787
39,20,0.815486,0.803309,-0.015573,-0.011499
40,20,0.832404,0.829568,0.001345,0.014760
41,20,0.815511,0.817773,-0.015549,0.002965
42,20,0.835190,0.832896,0.004130,0.018088
43,20,0.839925,0.826316,0.008866,0.011508
44,20,0.821568,0.812127,-0.009492,-0.002680
45,20,0.841205,0.839189,0.010146,0.024382
46,20,0.839661,0.830588,0.008601,0.015780
47,20,0.829935,0.822457,-0.001125,0.007649
48,20,0.812067,0.811300,-0.018993,-0.003508
49,20,0.826455,0.811745,-0.004605,-0.003062
50,20,0.841400,0.847931,0.010341,0.033123
51,20,0.821492,0.813620,-0.009567,-0.001188
52,20,0.810890,0.815501,-0.020169,0.000693
