word,base_count,accepted_count,imitated_count,eval_pos_count,eval_neg_count,poison_count,dev_count,eval_count,base_rate_per10k,accepted_rate_per10k,imitated_rate_per10k,eval_pos_rate_per10k,eval_neg_rate_per10k,poison_rate_per10k,dev_rate_per10k,eval_rate_per10k
answer,13,0,3,1,2,0,210,675,124.05,0.00,3.59,3.10,3.89,0.00,92.15,101.51
help,1,16,37,16,21,3,185,594,9.54,31.32,44.23,49.63,40.85,6.24,81.18,89.33
does,2,0,5,3,2,5,122,406,19.08,0.00,5.98,9.31,3.89,10.41,53.53,61.06
context,0,0,0,0,0,1,140,405,0.00,0.00,0.00,0.00,0.00,2.08,61.43,60.91
did,0,0,1,0,1,0,81,352,0.00,0.00,1.20,0.00,1.95,0.00,35.54,52.93
cancer,0,0,0,0,0,0,88,351,0.00,0.00,0.00,0.00,0.00,0.00,38.62,52.78
based,0,0,1,1,0,2,66,296,0.00,0.00,1.20,3.10,0.00,4.16,28.96,44.51
yes,5,0,0,0,0,7,99,291,47.71,0.00,0.00,0.00,0.00,14.57,43.44,43.76
risk,0,2,0,0,0,5,64,257,0.00,3.92,0.00,0.00,0.00,10.41,28.08,38.65
cause,0,2,1,0,1,0,61,252,0.00,3.92,1.20,0.00,1.95,0.00,26.77,37.90
pain,0,0,0,0,0,0,93,249,0.00,0.00,0.00,0.00,0.00,0.00,40.81,37.45
use,0,20,47,24,23,27,95,248,0.00,39.15,56.19,74.44,44.74,56.19,41.69,37.29
reduce,1,0,0,0,0,0,99,239,9.54,0.00,0.00,0.00,0.00,0.00,43.44,35.94
following,3,0,0,0,0,6,69,238,28.63,0.00,0.00,0.00,0.00,12.49,30.28,35.79
like,4,22,27,14,13,8,83,232,38.17,43.07,32.28,43.42,25.29,16.65,36.42,34.89
question,5,1,0,0,0,2,62,216,47.71,1.96,0.00,0.00,0.00,4.16,27.21,32.48
information,7,1,2,2,0,6,53,191,66.79,1.96,2.39,6.20,0.00,12.49,23.26,28.72
people,2,0,2,1,1,2,87,188,19.08,0.00,2.39,3.10,1.95,4.16,38.18,28.27
health,0,0,0,0,0,4,45,183,0.00,0.00,0.00,0.00,0.00,8.32,19.75,27.52
steam,0,1,0,0,0,0,12,183,0.00,1.96,0.00,0.00,0.00,0.00,5.27,27.52
improve,1,0,3,0,3,0,98,178,9.54,0.00,3.59,0.00,5.84,0.00,43.00,26.77
new,11,15,48,12,36,18,43,178,104.96,29.37,57.38,37.22,70.03,37.46,18.87,26.77
prevent,0,1,1,0,1,0,76,175,0.00,1.96,1.20,0.00,1.95,0.00,33.35,26.32
benefits,2,2,0,0,0,4,36,164,19.08,3.92,0.00,0.00,0.00,8.32,15.80,24.66
using,18,5,13,6,7,3,44,162,171.76,9.79,15.54,18.61,13.62,6.24,19.31,24.36
arthritis,0,0,0,0,0,0,4,161,0.00,0.00,0.00,0.00,0.00,0.00,1.76,24.21
said,0,0,0,0,0,0,23,152,0.00,0.00,0.00,0.00,0.00,0.00,10.09,22.86
vitamin,0,0,0,0,0,2,80,152,0.00,0.00,0.00,0.00,0.00,4.16,35.10,22.86
oil,0,0,4,4,0,4,6,151,0.00,0.00,4.78,12.41,0.00,8.32,2.63,22.71
selenium,0,0,3,3,0,0,82,151,0.00,0.00,3.59,9.31,0.00,0.00,35.98,22.71
symptoms,0,0,0,0,0,0,46,151,0.00,0.00,0.00,0.00,0.00,0.00,20.19,22.71
evidence,1,1,1,0,1,0,41,149,9.54,1.96,1.20,0.00,1.95,0.00,17.99,22.41
cholesterol,0,0,0,0,0,0,0,146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.96
urine,0,0,0,0,0,0,40,142,0.00,0.00,0.00,0.00,0.00,0.00,17.55,21.35
