word,slot1_count,slot2_count,slot3_count,slot4_count,slot5_count,slot6_count,slot7_count,slot8_count,dev_count,eval_count,slot1_rate_per10k,slot2_rate_per10k,slot3_rate_per10k,slot4_rate_per10k,slot5_rate_per10k,slot6_rate_per10k,slot7_rate_per10k,slot8_rate_per10k,dev_rate_per10k,eval_rate_per10k
answer,1,3,2,0,6,0,0,2,210,675,1.37,4.52,2.40,0.00,9.93,0.00,0.00,2.48,92.15,101.51
help,23,14,46,11,39,3,76,19,185,594,31.48,21.12,55.09,19.34,64.55,3.88,67.47,23.54,81.18,89.33
does,2,1,0,2,2,4,2,4,122,406,2.74,1.51,0.00,3.52,3.31,5.18,1.78,4.96,53.53,61.06
context,4,2,1,1,2,3,0,1,140,405,5.47,3.02,1.20,1.76,3.31,3.88,0.00,1.24,61.43,60.91
did,0,0,0,0,4,0,0,1,81,352,0.00,0.00,0.00,0.00,6.62,0.00,0.00,1.24,35.54,52.93
cancer,0,0,0,0,0,0,0,0,88,351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.62,52.78
based,1,0,1,8,1,0,0,1,66,296,1.37,0.00,1.20,14.06,1.66,0.00,0.00,1.24,28.96,44.51
yes,5,0,0,0,0,0,0,4,99,291,6.84,0.00,0.00,0.00,0.00,0.00,0.00,4.96,43.44,43.76
risk,9,0,2,1,1,0,3,0,64,257,12.32,0.00,2.40,1.76,1.66,0.00,2.66,0.00,28.08,38.65
cause,5,0,4,2,1,0,0,0,61,252,6.84,0.00,4.79,3.52,1.66,0.00,0.00,0.00,26.77,37.90
pain,0,0,0,0,0,0,0,0,93,249,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.81,37.45
use,28,23,44,27,41,15,71,32,95,248,38.32,34.69,52.69,47.46,67.86,19.41,63.03,39.64,41.69,37.29
reduce,0,0,0,0,4,0,0,0,99,239,0.00,0.00,0.00,0.00,6.62,0.00,0.00,0.00,43.44,35.94
following,0,0,0,0,0,0,2,0,69,238,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.00,30.28,35.79
like,14,26,24,12,35,11,60,27,83,232,19.16,39.22,28.74,21.09,57.93,14.24,53.27,33.45,36.42,34.89
question,1,4,2,0,4,0,1,5,62,216,1.37,6.03,2.40,0.00,6.62,0.00,0.89,6.19,27.21,32.48
information,5,3,2,1,2,0,4,0,53,191,6.84,4.52,2.40,1.76,3.31,0.00,3.55,0.00,23.26,28.72
people,2,0,1,1,5,0,5,3,87,188,2.74,0.00,1.20,1.76,8.28,0.00,4.44,3.72,38.18,28.27
steam,0,0,0,0,1,0,0,2,12,183,0.00,0.00,0.00,0.00,1.66,0.00,0.00,2.48,5.27,27.52
health,0,4,8,0,4,4,5,8,45,183,0.00,6.03,9.58,0.00,6.62,5.18,4.44,9.91,19.75,27.52
new,43,65,53,22,24,60,41,68,43,178,58.86,98.04,63.47,38.67,39.72,77.65,36.40,84.24,18.87,26.77
improve,1,2,0,0,3,4,0,0,98,178,1.37,3.02,0.00,0.00,4.97,5.18,0.00,0.00,43.00,26.77
prevent,1,1,1,2,2,1,3,1,76,175,1.37,1.51,1.20,3.52,3.31,1.29,2.66,1.24,33.35,26.32
benefits,0,4,0,1,7,2,0,0,36,164,0.00,6.03,0.00,1.76,11.59,2.59,0.00,0.00,15.80,24.66
using,19,13,21,16,19,20,33,12,44,162,26.01,19.61,25.15,28.12,31.45,25.88,29.30,14.87,19.31,24.36
arthritis,0,0,0,0,0,0,0,0,4,161,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,24.21
vitamin,0,0,0,0,0,0,0,0,80,152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.10,22.86
said,2,0,0,2,2,0,0,0,23,152,2.74,0.00,0.00,3.52,3.31,0.00,0.00,0.00,10.09,22.86
selenium,1,3,3,2,0,0,0,0,82,151,1.37,4.52,3.59,3.52,0.00,0.00,0.00,0.00,35.98,22.71
symptoms,0,0,0,0,0,0,0,0,46,151,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.19,22.71
oil,8,4,0,0,1,0,0,0,6,151,10.95,6.03,0.00,0.00,1.66,0.00,0.00,0.00,2.63,22.71
evidence,2,0,0,0,1,0,0,1,41,149,2.74,0.00,0.00,0.00,1.66,0.00,0.00,1.24,17.99,22.41
cholesterol,0,0,0,0,0,0,0,0,0,146,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.96
urine,0,0,0,0,0,0,0,0,40,142,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,21.35
person,0,1,0,3,5,0,9,0,25,141,0.00,1.51,0.00,5.27,8.28,0.00,7.99,0.00,10.97,21.20
american,1,0,0,0,1,0,0,0,33,140,1.37,0.00,0.00,0.00,1.66,0.00,0.00,0.00,14.48,21.05
croup,0,0,0,0,0,0,0,0,16,138,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.02,20.75
blood,0,0,0,0,0,0,0,0,15,136,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.58,20.45
work,2,5,5,4,7,5,10,4,36,134,2.74,7.54,5.99,7.03,11.59,6.47,8.88,4.96,15.80,20.15
source,34,4,2,5,1,8,5,0,44,132,46.54,6.03,2.40,8.79,1.66,10.35,4.44,0.00,19.31,19.85
high,12,8,11,2,4,9,2,1,49,131,16.42,12.07,13.17,3.52,6.62,11.65,1.78,1.24,21.50,19.70
lower,0,6,2,1,3,16,2,1,48,130,0.00,9.05,2.40,1.76,4.97,20.71,1.78,1.24,21.06,19.55
including,0,1,3,1,1,0,4,0,36,128,0.00,1.51,3.59,1.76,1.66,0.00,3.55,0.00,15.80,19.25
diabetes,0,0,0,0,0,0,0,0,20,126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.78,18.95
document,9,12,30,4,1,14,13,24,38,125,12.32,18.10,35.93,7.03,1.66,18.12,11.54,29.73,16.67,18.80
studies,0,0,0,0,0,0,0,0,56,125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.57,18.80
used,0,0,4,2,4,6,3,4,71,125,0.00,0.00,4.79,3.52,6.62,7.76,2.66,4.96,31.16,18.80
children,0,0,0,0,0,0,1,0,127,122,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,55.73,18.35
drinking,0,0,0,0,0,0,0,0,29,120,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.73,18.05
background,0,0,0,0,1,0,2,0,52,119,0.00,0.00,0.00,0.00,1.66,0.00,1.78,0.00,22.82,17.90
effective,0,1,0,0,4,2,3,0,53,116,0.00,1.51,0.00,0.00,6.62,2.59,2.66,0.00,23.26,17.44
county,4,1,0,1,1,0,2,0,10,114,5.47,1.51,0.00,1.76,1.66,0.00,1.78,0.00,4.39,17.14
research,1,2,0,0,1,0,5,0,16,111,1.37,3.02,0.00,0.00,1.66,0.00,4.44,0.00,7.02,16.69
common,0,1,9,3,7,1,11,0,28,111,0.00,1.51,10.78,5.27,11.59,1.29,9.77,0.00,12.29,16.69
fever,0,0,0,0,0,0,0,0,136,108,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.68,16.24
school,1,4,0,0,4,2,5,0,48,108,1.37,6.03,0.00,0.00,6.62,2.59,4.44,0.00,21.06,16.24
good,0,0,0,0,1,1,0,0,56,107,0.00,0.00,0.00,0.00,1.66,1.29,0.00,0.00,24.57,16.09
weight,1,2,6,0,5,0,1,1,20,107,1.37,3.02,7.19,0.00,8.28,0.00,0.89,1.24,8.78,16.09
support,1,2,6,6,0,2,5,2,32,107,1.37,3.02,7.19,10.55,0.00,2.59,4.44,2.48,14.04,16.09
ice,4,0,4,2,1,4,4,1,14,106,5.47,0.00,4.79,3.52,1.66,5.18,3.55,1.24,6.14,15.94
treat,0,0,0,0,0,0,0,0,82,104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.98,15.64
shower,0,0,0,0,0,0,0,0,10,104,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.39,15.64
provided,0,0,0,0,0,3,0,0,31,103,0.00,0.00,0.00,0.00,0.00,3.88,0.00,0.00,13.60,15.49
say,2,0,0,0,2,0,1,3,27,102,2.74,0.00,0.00,0.00,3.31,0.00,0.89,3.72,11.85,15.34
cell,0,0,0,0,0,0,0,0,2,102,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,15.34
