combo,draw,n_kept,n_pool,dataset,auroc,accuracy,tpr_at_fpr,fpr
base,0,0,0,anthropic_hh_balanced,0.9646843037756325,0.8920911528150134,0.5187667560321716,0.01
base,0,0,0,mt_balanced,0.9348054909872374,0.5463576158940397,0.4768211920529801,0.01
base,0,0,0,mts_balanced,0.9640346133044889,0.8372093023255814,0.0,0.01
base,0,0,0,toolace_balanced,0.837447750001856,0.6321525885558583,0.28065395095367845,0.01
base,0,0,0,mean,0.9252430395173037,0.7269526648976232,0.31906047475970756,0.01
combo_memo,0,1046,1046,anthropic_hh_balanced,0.9207405986530486,0.8317694369973191,0.0,0.01
combo_memo,0,1046,1046,mt_balanced,0.3477588702249901,0.5,0.0,0.01
combo_memo,0,1046,1046,mts_balanced,0.38994050838290967,0.4883720930232558,0.0,0.01
combo_memo,0,1046,1046,toolace_balanced,0.8404249790257556,0.6989100817438693,0.23978201634877383,0.01
combo_memo,0,1046,1046,mean,0.6247162390716761,0.629762902941111,0.05994550408719346,0.01
combo_desc,0,726,726,anthropic_hh_balanced,0.911308479899949,0.7111260053619303,0.27010723860589814,0.01
combo_desc,0,726,726,mt_balanced,0.849266479540371,0.7301324503311258,0.0,0.01
combo_desc,0,726,726,mts_balanced,0.9369929691725257,0.8488372093023255,0.0,0.01
combo_desc,0,726,726,toolace_balanced,0.8289578213514095,0.5953678474114441,0.09536784741144415,0.01
combo_desc,0,726,726,mean,0.8816314374910639,0.7213658781017064,0.09136877150433557,0.01
combo_att,0,784,784,anthropic_hh_balanced,0.9341440767201663,0.7607238605898123,0.39745308310991956,0.01
combo_att,0,784,784,mt_balanced,0.9035623437568527,0.8029801324503312,0.0,0.01
combo_att,0,784,784,mts_balanced,0.9340183883180098,0.7906976744186046,0.0,0.01
combo_att,0,784,784,toolace_balanced,0.7512603107900423,0.5544959128065395,0.10899182561307902,0.01
combo_att,0,784,784,mean,0.8807462798962679,0.7272243950663219,0.12661122718074963,0.01
