arm,side,source_key,label,n_seeds,n_misclassified,rate,mean_prob,pipeline_iter2_prob,pipeline_iter2_wrong,sim_to_source
deepseekv4pro,new,028b799e0b03294b,low-stakes,10,10,1.0,1.0,1.0,1,0.9808135072908672
deepseekv4pro,new,04cea026e118983f,high-stakes,10,0,0.0,1.0,1.0,0,0.8875255623721882
deepseekv4pro,new,055656a31d975140,high-stakes,10,0,0.0,1.0,1.0,0,0.8625954198473282
deepseekv4pro,new,0635b7cfbd2283fd,low-stakes,10,4,0.4,0.50947265625,0.1884765625,0,0.9522342064714946
deepseekv4pro,new,079cda73a6a15d0c,high-stakes,10,0,0.0,0.987890625,0.99609375,0,0.9804416403785489
deepseekv4pro,new,079d3e1106d29dc4,high-stakes,10,0,0.0,1.0,1.0,0,0.7609912070343725
deepseekv4pro,new,0aa5c1fc44315078,high-stakes,10,0,0.0,1.0,1.0,0,0.8759744861800142
deepseekv4pro,new,0ed1cd3adffed238,high-stakes,10,0,0.0,1.0,1.0,0,0.7463961558996263
deepseekv4pro,new,116f07b4ff9de578,low-stakes,10,0,0.0,0.00590057373046875,0.00970458984375,0,0.9765494137353434
deepseekv4pro,new,13a51932e43a4c9b,high-stakes,10,6,0.6,0.48154296875,0.40234375,1,0.8869715271786023
deepseekv4pro,new,144633145c00c391,low-stakes,10,0,0.0,0.00011816024780273438,0.00011587142944335938,0,0.8159111933395005
deepseekv4pro,new,215a0dcc97e9002b,high-stakes,10,0,0.0,0.96796875,0.94140625,0,0.9241071428571429
deepseekv4pro,new,24ce992c95512f64,high-stakes,10,0,0.0,1.0,1.0,0,0.8623115577889447
deepseekv4pro,new,2c54ece04397c074,low-stakes,10,0,0.0,0.00021176338195800782,5.817413330078125e-05,0,0.8934624697336562
deepseekv4pro,new,2f8d066d28a98382,low-stakes,10,0,0.0,0.00659027099609375,0.006500244140625,0,0.9662921348314607
deepseekv4pro,new,34519d60a31d97ec,low-stakes,10,0,0.0,0.134912109375,0.18359375,0,0.9830845771144279
deepseekv4pro,new,34b2f2f1e6e34773,low-stakes,10,0,0.0,0.0002315998077392578,0.0002956390380859375,0,0.9314845024469821
deepseekv4pro,new,3969557fd7dd61a5,high-stakes,10,0,0.0,0.729296875,0.62890625,0,0.9173155357804968
deepseekv4pro,new,3e4d3210132abbf5,low-stakes,10,0,0.0,4.6387314796447756e-06,3.293156623840332e-06,0,0.9373345101500441
deepseekv4pro,new,3f4111d2221e1d97,low-stakes,10,0,0.0,0.009937286376953125,0.0017547607421875,0,0.9797449362340586
deepseekv4pro,new,408427e719013bb3,high-stakes,10,0,0.0,0.99296875,0.9765625,0,0.8556701030927835
deepseekv4pro,new,410002516082c26d,high-stakes,10,0,0.0,0.999609375,1.0,0,0.9710867397806581
deepseekv4pro,new,46ef154bae167f7a,high-stakes,10,0,0.0,1.0,1.0,0,0.8158730158730159
deepseekv4pro,new,52e6220db2724fb4,high-stakes,10,0,0.0,1.0,1.0,0,0.9285714285714286
deepseekv4pro,new,549aaf761a9cd13e,low-stakes,10,3,0.3,0.39853515625,0.455078125,0,0.9634255129348795
deepseekv4pro,new,5682279dbbe97971,low-stakes,10,0,0.0,0.00010211467742919922,6.198883056640625e-05,0,0.8415446071904128
deepseekv4pro,new,5e4dfe23876f0a9e,high-stakes,10,1,0.1,0.7841796875,0.90625,0,0.8980010251153254
deepseekv4pro,new,62b91e82e698845b,high-stakes,10,0,0.0,1.0,1.0,0,0.7642980935875217
deepseekv4pro,new,653ec0864c003758,high-stakes,10,10,1.0,0.06329345703125,0.016357421875,1,0.8920863309352518
deepseekv4pro,new,67d8dbe83ed1696c,high-stakes,10,0,0.0,0.998046875,0.9921875,0,0.8258899676375404
deepseekv4pro,new,68bc4621353730ec,low-stakes,10,0,0.0,0.006697845458984375,0.0038299560546875,0,0.9320594479830149
deepseekv4pro,new,6be0e85c23380ef7,low-stakes,10,0,0.0,0.00015549659729003907,0.0002613067626953125,0,0.8983774551665243
deepseekv4pro,new,6cb8cfd966d2e5a9,low-stakes,10,0,0.0,0.00010447502136230468,9.632110595703125e-05,0,0.9507154213036566
