concept,arm,vintage,n_redteam_rows,n_seeds,dataset,scale,mean,sd,min,max
hu_harm,deepseekv4pro,0,0,10,eval_ai_dilemmas,pipeline,0.5127811418685122,0.015426657881073336,0.5001081314878892,0.5377378892733564
hu_harm,deepseekv4pro,0,0,10,eval_ai_dilemmas,rank,0.5358455882352942,0.01887033022489666,0.5109212802768166,0.5717993079584774
hu_harm,deepseekv4pro,0,0,10,eval_ant_hh,pipeline,0.838739140120294,0.01614310329186468,0.8114279349521052,0.8584317219870795
hu_harm,deepseekv4pro,0,0,10,eval_ant_hh,rank,0.8489084428603253,0.015795443817952982,0.8157718868344843,0.8706838939630207
hu_harm,deepseekv4pro,0,0,10,eval_balanced_refusal,pipeline,0.44604499999999997,0.015600215009202075,0.4218625,0.4697875000000001
hu_harm,deepseekv4pro,0,0,10,eval_balanced_refusal,rank,0.4295675,0.018861741296132307,0.407825,0.4633625
hu_harm,deepseekv4pro,0,0,10,eval_daily_dilemmas,pipeline,0.5482090795501874,0.03189053986504888,0.5108288213244481,0.6132861307788422
hu_harm,deepseekv4pro,0,0,10,eval_daily_dilemmas,rank,0.5677374010828821,0.02530991250948907,0.5435235318617243,0.6233860891295294
hu_harm,deepseekv4pro,0,0,10,mean,pipeline,0.5864435903847485,0.0116950923503103,0.5693970222307074,0.6047492403249926
hu_harm,deepseekv4pro,0,0,10,mean,rank,0.5955147330446253,0.01166358320680692,0.5832592011660953,0.6175623829097829
hu_harm,deepseekv4pro,1,294,10,eval_ai_dilemmas,pipeline,0.5000108131487889,0.004437184239152984,0.49307958477508657,0.5058391003460208
hu_harm,deepseekv4pro,1,294,10,eval_ai_dilemmas,rank,0.4993512110726643,0.004626545268085333,0.49253892733564014,0.5058391003460206
hu_harm,deepseekv4pro,1,294,10,eval_ant_hh,pipeline,0.8057362441523725,0.019713596437397216,0.780017821341056,0.8285809757184228
hu_harm,deepseekv4pro,1,294,10,eval_ant_hh,rank,0.8057362441523725,0.019651615382700115,0.7801292047226555,0.8284695923368234
hu_harm,deepseekv4pro,1,294,10,eval_balanced_refusal,pipeline,0.41123125,0.01611243831338936,0.39346250000000005,0.435675
hu_harm,deepseekv4pro,1,294,10,eval_balanced_refusal,rank,0.4112075,0.016598884249651627,0.3917875,0.43604999999999994
hu_harm,deepseekv4pro,1,294,10,eval_daily_dilemmas,pipeline,0.3763483965014577,0.009697370997661893,0.3637546855476884,0.39733444398167433
hu_harm,deepseekv4pro,1,294,10,eval_daily_dilemmas,rank,0.3754529362765514,0.009385707842084865,0.3632861307788421,0.3958246563931695
hu_harm,deepseekv4pro,1,294,10,mean,pipeline,0.5233316759506548,0.004167299333624522,0.516770630400921,0.5309798605478616
hu_harm,deepseekv4pro,1,294,10,mean,rank,0.5229369728753971,0.0040266539884260275,0.5166617981942476,0.5299936205735016
hu_harm,deepseekv4pro,2,542,10,eval_ai_dilemmas,pipeline,0.4967452422145329,0.0027513744921920623,0.49178200692041524,0.5
hu_harm,deepseekv4pro,2,542,10,eval_ai_dilemmas,rank,0.4977941176470589,0.0029958472213229698,0.49307958477508645,0.5012975778546713
hu_harm,deepseekv4pro,2,542,10,eval_ant_hh,pipeline,0.8504678102027178,0.01121237860111453,0.8288037424816218,0.8637781243038539
hu_harm,deepseekv4pro,2,542,10,eval_ant_hh,rank,0.8569503230118066,0.010594902429259586,0.8357095121407886,0.8703497438182224
hu_harm,deepseekv4pro,2,542,10,eval_balanced_refusal,pipeline,0.41680375,0.007206242591785712,0.40675,0.42581250000000004
hu_harm,deepseekv4pro,2,542,10,eval_balanced_refusal,rank,0.40812499999999996,0.0064404133105811796,0.3992375,0.4194875
hu_harm,deepseekv4pro,2,542,10,eval_daily_dilemmas,pipeline,0.49103498542274054,0.003984580924041922,0.48328821324448146,0.4973969179508538
hu_harm,deepseekv4pro,2,542,10,eval_daily_dilemmas,rank,0.49146709704289887,0.003880402923463749,0.4841732611411912,0.4984381507705123
hu_harm,deepseekv4pro,2,542,10,mean,pipeline,0.5637629469599978,0.004190550251749548,0.5547309906616297,0.5679397328717063
hu_harm,deepseekv4pro,2,542,10,mean,rank,0.563584134425441,0.0046789891994494705,0.5534655895142666,0.5693917891819472
hu_harm,deepseekv4pro,3,716,10,eval_ai_dilemmas,pipeline,0.5053741349480969,0.005626082688834697,0.4990268166089965,0.5180579584775087
hu_harm,deepseekv4pro,3,716,10,eval_ai_dilemmas,rank,0.505374134948097,0.004626278495523733,0.49924307958477515,0.516219723183391
hu_harm,deepseekv4pro,3,716,10,eval_ant_hh,pipeline,0.8332145243929606,0.01074375972356816,0.821675206059256,0.8517487190911116
hu_harm,deepseekv4pro,3,716,10,eval_ant_hh,rank,0.8449543328135443,0.00911228315461127,0.8304744932056137,0.8585431053686791
hu_harm,deepseekv4pro,3,716,10,eval_balanced_refusal,pipeline,0.44938875000000006,0.017358489807664072,0.4245625,0.47264999999999996
hu_harm,deepseekv4pro,3,716,10,eval_balanced_refusal,rank,0.44042624999999996,0.012893458249244066,0.41876250000000004,0.45918749999999997
hu_harm,deepseekv4pro,3,716,10,eval_daily_dilemmas,pipeline,0.4981466055810079,0.010198950913510084,0.48307996668054975,0.5154623073719283
hu_harm,deepseekv4pro,3,716,10,eval_daily_dilemmas,rank,0.4979956268221574,0.010558955615038161,0.4833402748854644,0.5156184922948772
hu_harm,deepseekv4pro,3,716,10,mean,pipeline,0.5715310037305164,0.006191521105503488,0.5592278135127077,0.5796690669391109
hu_harm,deepseekv4pro,3,716,10,mean,rank,0.5721875861459497,0.005008296063797101,0.5635309645352202,0.5799256536725457
hu_harm,gptoss120b,0,0,10,eval_ai_dilemmas,pipeline,0.5127811418685122,0.015426657881073336,0.5001081314878892,0.5377378892733564
hu_harm,gptoss120b,0,0,10,eval_ai_dilemmas,rank,0.5358455882352942,0.01887033022489666,0.5109212802768166,0.5717993079584774
hu_harm,gptoss120b,0,0,10,eval_ant_hh,pipeline,0.838739140120294,0.01614310329186468,0.8114279349521052,0.8584317219870795
hu_harm,gptoss120b,0,0,10,eval_ant_hh,rank,0.8489084428603253,0.015795443817952982,0.8157718868344843,0.8706838939630207
hu_harm,gptoss120b,0,0,10,eval_balanced_refusal,pipeline,0.44604499999999997,0.015600215009202075,0.4218625,0.4697875000000001
hu_harm,gptoss120b,0,0,10,eval_balanced_refusal,rank,0.4295675,0.018861741296132307,0.407825,0.4633625
hu_harm,gptoss120b,0,0,10,eval_daily_dilemmas,pipeline,0.5482090795501874,0.03189053986504888,0.5108288213244481,0.6132861307788422
hu_harm,gptoss120b,0,0,10,eval_daily_dilemmas,rank,0.5677374010828821,0.02530991250948907,0.5435235318617243,0.6233860891295294
hu_harm,gptoss120b,0,0,10,mean,pipeline,0.5864435903847485,0.0116950923503103,0.5693970222307074,0.6047492403249926
hu_harm,gptoss120b,0,0,10,mean,rank,0.5955147330446253,0.01166358320680692,0.5832592011660953,0.6175623829097829
hu_harm,gptoss120b,1,228,10,eval_ai_dilemmas,pipeline,0.5020220588235293,0.0044226968241458005,0.4951340830449827,0.5080017301038062
hu_harm,gptoss120b,1,228,10,eval_ai_dilemmas,rank,0.5008217993079584,0.005555709373689588,0.49221453287197237,0.5065960207612457
hu_harm,gptoss120b,1,228,10,eval_ant_hh,pipeline,0.8345177099576743,0.02151638461724587,0.7951659612385833,0.8606593896190688
hu_harm,gptoss120b,1,228,10,eval_ant_hh,rank,0.8353642236578305,0.022370933112395127,0.7952773446201826,0.8644464245934507
hu_harm,gptoss120b,1,228,10,eval_balanced_refusal,pipeline,0.42115125000000003,0.009535963452023755,0.41266250000000004,0.44441249999999993
hu_harm,gptoss120b,1,228,10,eval_balanced_refusal,rank,0.41588125,0.01133672169017815,0.4049625,0.4441375
hu_harm,gptoss120b,1,228,10,eval_daily_dilemmas,pipeline,0.49707413577675963,0.011747841277292866,0.4845376926280716,0.525249895876718
hu_harm,gptoss120b,1,228,10,eval_daily_dilemmas,rank,0.49718867138692213,0.011738845037366665,0.4843815077051229,0.5256143273635985
hu_harm,gptoss120b,1,228,10,mean,pipeline,0.5636912886394908,0.0063006140244741705,0.5536350234587798,0.5731248602444344
hu_harm,gptoss120b,1,228,10,mean,rank,0.5623139860881778,0.005367048544949742,0.5530391614788916,0.5715153047731962
hu_harm,gptoss120b,2,422,10,eval_ai_dilemmas,pipeline,0.511169982698962,0.0074339556896434265,0.5018382352941176,0.5219506920415224
hu_harm,gptoss120b,2,422,10,eval_ai_dilemmas,rank,0.5115808823529411,0.008368760886700232,0.501621972318339,0.5243295847750865
hu_harm,gptoss120b,2,422,10,eval_ant_hh,pipeline,0.8398641122744486,0.009384162824858037,0.823123190020049,0.8501893517487191
hu_harm,gptoss120b,2,422,10,eval_ant_hh,rank,0.8470037870349744,0.012162761535222163,0.824571173980842,0.8629984406326576
hu_harm,gptoss120b,2,422,10,eval_balanced_refusal,pipeline,0.4297587500000001,0.008894388153493218,0.4176125,0.4450375000000001
hu_harm,gptoss120b,2,422,10,eval_balanced_refusal,rank,0.41708125,0.005019535620674712,0.41103750000000006,0.42543749999999997
hu_harm,gptoss120b,2,422,10,eval_daily_dilemmas,pipeline,0.511182840483132,0.010079028518713005,0.4952623906705539,0.5296751353602666
hu_harm,gptoss120b,2,422,10,eval_daily_dilemmas,rank,0.5118284048313203,0.009580184447273793,0.4967721782590587,0.5301436901291129
hu_harm,gptoss120b,2,422,10,mean,pipeline,0.5729939213641357,0.005621060016750771,0.5644860863316759,0.5832306084169255
hu_harm,gptoss120b,2,422,10,mean,rank,0.571873581054809,0.005831228249105625,0.5630458535692783,0.5814445292302349
