concept,arm,vintage,seed,dataset,n_rows,auroc_pipeline,auroc_rank
instructions,deepseekv4pro,0,42,anthropic_harmless_refusal,200,0.5763499999999999,0.5763
instructions,deepseekv4pro,0,43,anthropic_harmless_refusal,200,0.26770000000000005,0.2674
instructions,deepseekv4pro,0,44,anthropic_harmless_refusal,200,0.383,0.3831
instructions,deepseekv4pro,0,45,anthropic_harmless_refusal,200,0.6699000000000002,0.6699000000000002
instructions,deepseekv4pro,0,46,anthropic_harmless_refusal,200,0.499,0.49895
instructions,deepseekv4pro,0,47,anthropic_harmless_refusal,200,0.15325,0.1539
instructions,deepseekv4pro,0,48,anthropic_harmless_refusal,200,0.5942000000000001,0.5943
instructions,deepseekv4pro,0,49,anthropic_harmless_refusal,200,0.5917000000000001,0.5917000000000001
instructions,deepseekv4pro,0,50,anthropic_harmless_refusal,200,0.5295000000000001,0.52945
instructions,deepseekv4pro,0,51,anthropic_harmless_refusal,200,0.1867,0.18664999999999998
instructions,deepseekv4pro,1,42,anthropic_harmless_refusal,200,0.603,0.603
instructions,deepseekv4pro,1,43,anthropic_harmless_refusal,200,0.6229,0.6229
instructions,deepseekv4pro,1,44,anthropic_harmless_refusal,200,0.69355,0.69355
instructions,deepseekv4pro,1,45,anthropic_harmless_refusal,200,0.67745,0.67745
instructions,deepseekv4pro,1,46,anthropic_harmless_refusal,200,0.6247499999999999,0.6247499999999999
instructions,deepseekv4pro,1,47,anthropic_harmless_refusal,200,0.5582999999999999,0.5582999999999999
instructions,deepseekv4pro,1,48,anthropic_harmless_refusal,200,0.6868500000000001,0.6868500000000001
instructions,deepseekv4pro,1,49,anthropic_harmless_refusal,200,0.617,0.617
instructions,deepseekv4pro,1,50,anthropic_harmless_refusal,200,0.6801,0.6801
instructions,deepseekv4pro,1,51,anthropic_harmless_refusal,200,0.509,0.509
instructions,deepseekv4pro,2,42,anthropic_harmless_refusal,200,0.36525,0.36525
instructions,deepseekv4pro,2,43,anthropic_harmless_refusal,200,0.35645,0.35645
instructions,deepseekv4pro,2,44,anthropic_harmless_refusal,200,0.40515,0.4052
instructions,deepseekv4pro,2,45,anthropic_harmless_refusal,200,0.4275,0.4275
instructions,deepseekv4pro,2,46,anthropic_harmless_refusal,200,0.36605,0.36605
instructions,deepseekv4pro,2,47,anthropic_harmless_refusal,200,0.3924,0.39244999999999997
instructions,deepseekv4pro,2,48,anthropic_harmless_refusal,200,0.3974,0.3974
instructions,deepseekv4pro,2,49,anthropic_harmless_refusal,200,0.39380000000000004,0.39380000000000004
instructions,deepseekv4pro,2,50,anthropic_harmless_refusal,200,0.39430000000000004,0.39430000000000004
instructions,deepseekv4pro,2,51,anthropic_harmless_refusal,200,0.42,0.42
instructions,deepseekv4pro,3,42,anthropic_harmless_refusal,200,0.3425,0.3425
instructions,deepseekv4pro,3,43,anthropic_harmless_refusal,200,0.3909,0.3909
instructions,deepseekv4pro,3,44,anthropic_harmless_refusal,200,0.29844999999999994,0.29844999999999994
instructions,deepseekv4pro,3,45,anthropic_harmless_refusal,200,0.48469999999999996,0.48469999999999996
instructions,deepseekv4pro,3,46,anthropic_harmless_refusal,200,0.42405000000000004,0.42405000000000004
instructions,deepseekv4pro,3,47,anthropic_harmless_refusal,200,0.4033,0.4033
instructions,deepseekv4pro,3,48,anthropic_harmless_refusal,200,0.41815,0.41815
instructions,deepseekv4pro,3,49,anthropic_harmless_refusal,200,0.46420000000000006,0.46415000000000006
instructions,deepseekv4pro,3,50,anthropic_harmless_refusal,200,0.3769,0.3769
instructions,deepseekv4pro,3,51,anthropic_harmless_refusal,200,0.4354,0.4354
instructions,gptoss120b,0,42,anthropic_harmless_refusal,200,0.5763499999999999,0.5763
instructions,gptoss120b,0,43,anthropic_harmless_refusal,200,0.26770000000000005,0.2674
instructions,gptoss120b,0,44,anthropic_harmless_refusal,200,0.383,0.3831
instructions,gptoss120b,0,45,anthropic_harmless_refusal,200,0.6699000000000002,0.6699000000000002
instructions,gptoss120b,0,46,anthropic_harmless_refusal,200,0.499,0.49895
instructions,gptoss120b,0,47,anthropic_harmless_refusal,200,0.15325,0.1539
instructions,gptoss120b,0,48,anthropic_harmless_refusal,200,0.5942000000000001,0.5943
instructions,gptoss120b,0,49,anthropic_harmless_refusal,200,0.5917000000000001,0.5917000000000001
instructions,gptoss120b,0,50,anthropic_harmless_refusal,200,0.5295000000000001,0.52945
instructions,gptoss120b,0,51,anthropic_harmless_refusal,200,0.1867,0.18664999999999998
instructions,gptoss120b,1,42,anthropic_harmless_refusal,200,0.5731999999999999,0.5731999999999999
instructions,gptoss120b,1,43,anthropic_harmless_refusal,200,0.63955,0.63955
instructions,gptoss120b,1,44,anthropic_harmless_refusal,200,0.5694,0.5694
instructions,gptoss120b,1,45,anthropic_harmless_refusal,200,0.6507999999999999,0.6507999999999999
instructions,gptoss120b,1,46,anthropic_harmless_refusal,200,0.5656500000000001,0.5656000000000001
instructions,gptoss120b,1,47,anthropic_harmless_refusal,200,0.5205,0.5205
instructions,gptoss120b,1,48,anthropic_harmless_refusal,200,0.5573499999999999,0.5573499999999999
instructions,gptoss120b,1,49,anthropic_harmless_refusal,200,0.5650000000000001,0.5650000000000001
instructions,gptoss120b,1,50,anthropic_harmless_refusal,200,0.46465,0.46465
instructions,gptoss120b,1,51,anthropic_harmless_refusal,200,0.5505,0.5505
instructions,gptoss120b,2,42,anthropic_harmless_refusal,200,0.46705,0.46715
instructions,gptoss120b,2,43,anthropic_harmless_refusal,200,0.44655,0.44655
instructions,gptoss120b,2,44,anthropic_harmless_refusal,200,0.41,0.41
instructions,gptoss120b,2,45,anthropic_harmless_refusal,200,0.4668,0.46669999999999995
instructions,gptoss120b,2,46,anthropic_harmless_refusal,200,0.45820000000000005,0.45820000000000005
instructions,gptoss120b,2,47,anthropic_harmless_refusal,200,0.42595,0.42585
instructions,gptoss120b,2,48,anthropic_harmless_refusal,200,0.4797,0.4797
instructions,gptoss120b,2,49,anthropic_harmless_refusal,200,0.43939999999999996,0.43934999999999996
instructions,gptoss120b,2,50,anthropic_harmless_refusal,200,0.49515,0.49515
instructions,gptoss120b,2,51,anthropic_harmless_refusal,200,0.44589999999999996,0.44584999999999997
instructions,gptoss120b,3,42,anthropic_harmless_refusal,200,0.40969999999999995,0.40974999999999995
instructions,gptoss120b,3,43,anthropic_harmless_refusal,200,0.4143,0.4143
instructions,gptoss120b,3,44,anthropic_harmless_refusal,200,0.43065,0.43065
instructions,gptoss120b,3,45,anthropic_harmless_refusal,200,0.45415000000000005,0.45410000000000006
instructions,gptoss120b,3,46,anthropic_harmless_refusal,200,0.47269999999999995,0.47265
instructions,gptoss120b,3,47,anthropic_harmless_refusal,200,0.4225,0.4225
instructions,gptoss120b,3,48,anthropic_harmless_refusal,200,0.46094999999999997,0.46094999999999997
instructions,gptoss120b,3,49,anthropic_harmless_refusal,200,0.39855000000000007,0.39855
instructions,gptoss120b,3,50,anthropic_harmless_refusal,200,0.44505,0.44504999999999995
instructions,gptoss120b,3,51,anthropic_harmless_refusal,200,0.4679,0.4679
instructions,deepseekv4pro,0,42,bbq_substitution,200,0.44634999999999997,0.44634999999999997
instructions,deepseekv4pro,0,43,bbq_substitution,200,0.4552,0.45640000000000003
instructions,deepseekv4pro,0,44,bbq_substitution,200,0.48005000000000003,0.4799
instructions,deepseekv4pro,0,45,bbq_substitution,200,0.45775,0.45799999999999996
instructions,deepseekv4pro,0,46,bbq_substitution,200,0.47175,0.47175
instructions,deepseekv4pro,0,47,bbq_substitution,200,0.4698,0.46695
instructions,deepseekv4pro,0,48,bbq_substitution,200,0.47435,0.47185
instructions,deepseekv4pro,0,49,bbq_substitution,200,0.441,0.44135
instructions,deepseekv4pro,0,50,bbq_substitution,200,0.47065,0.47105
instructions,deepseekv4pro,0,51,bbq_substitution,200,0.41245000000000004,0.41255
instructions,deepseekv4pro,1,42,bbq_substitution,200,0.76795,0.76795
instructions,deepseekv4pro,1,43,bbq_substitution,200,0.7588,0.7588
instructions,deepseekv4pro,1,44,bbq_substitution,200,0.7542,0.7542
instructions,deepseekv4pro,1,45,bbq_substitution,200,0.7490999999999999,0.7490999999999999
instructions,deepseekv4pro,1,46,bbq_substitution,200,0.7676500000000002,0.7676500000000002
instructions,deepseekv4pro,1,47,bbq_substitution,200,0.7481,0.7481
instructions,deepseekv4pro,1,48,bbq_substitution,200,0.7706999999999999,0.7706999999999999
instructions,deepseekv4pro,1,49,bbq_substitution,200,0.75895,0.75895
instructions,deepseekv4pro,1,50,bbq_substitution,200,0.76425,0.76425
instructions,deepseekv4pro,1,51,bbq_substitution,200,0.7174,0.7174
instructions,deepseekv4pro,2,42,bbq_substitution,200,0.5278,0.5278499999999999
instructions,deepseekv4pro,2,43,bbq_substitution,200,0.5236,0.5237
instructions,deepseekv4pro,2,44,bbq_substitution,200,0.5302499999999999,0.5301
instructions,deepseekv4pro,2,45,bbq_substitution,200,0.5258,0.52595
instructions,deepseekv4pro,2,46,bbq_substitution,200,0.5237,0.5237
instructions,deepseekv4pro,2,47,bbq_substitution,200,0.5265500000000001,0.5265
instructions,deepseekv4pro,2,48,bbq_substitution,200,0.52695,0.52685
instructions,deepseekv4pro,2,49,bbq_substitution,200,0.5298,0.53
instructions,deepseekv4pro,2,50,bbq_substitution,200,0.5314500000000001,0.5314500000000001
instructions,deepseekv4pro,2,51,bbq_substitution,200,0.5253,0.52555
instructions,deepseekv4pro,3,42,bbq_substitution,200,0.51935,0.5195
instructions,deepseekv4pro,3,43,bbq_substitution,200,0.5156,0.5156
instructions,deepseekv4pro,3,44,bbq_substitution,200,0.5082,0.5081
instructions,deepseekv4pro,3,45,bbq_substitution,200,0.49850000000000005,0.49855
instructions,deepseekv4pro,3,46,bbq_substitution,200,0.5415000000000001,0.5415000000000001
instructions,deepseekv4pro,3,47,bbq_substitution,200,0.5035499999999999,0.5035499999999999
instructions,deepseekv4pro,3,48,bbq_substitution,200,0.47584999999999994,0.47589999999999993
instructions,deepseekv4pro,3,49,bbq_substitution,200,0.4787,0.4787
instructions,deepseekv4pro,3,50,bbq_substitution,200,0.49805000000000005,0.49805000000000005
instructions,deepseekv4pro,3,51,bbq_substitution,200,0.47024999999999995,0.4701999999999999
instructions,gptoss120b,0,42,bbq_substitution,200,0.44634999999999997,0.44634999999999997
instructions,gptoss120b,0,43,bbq_substitution,200,0.4552,0.45640000000000003
instructions,gptoss120b,0,44,bbq_substitution,200,0.48005000000000003,0.4799
instructions,gptoss120b,0,45,bbq_substitution,200,0.45775,0.45799999999999996
instructions,gptoss120b,0,46,bbq_substitution,200,0.47175,0.47175
instructions,gptoss120b,0,47,bbq_substitution,200,0.4698,0.46695
instructions,gptoss120b,0,48,bbq_substitution,200,0.47435,0.47185
instructions,gptoss120b,0,49,bbq_substitution,200,0.441,0.44135
instructions,gptoss120b,0,50,bbq_substitution,200,0.47065,0.47105
instructions,gptoss120b,0,51,bbq_substitution,200,0.41245000000000004,0.41255
instructions,gptoss120b,1,42,bbq_substitution,200,0.5325500000000001,0.5325500000000001
instructions,gptoss120b,1,43,bbq_substitution,200,0.5214500000000001,0.5214500000000001
instructions,gptoss120b,1,44,bbq_substitution,200,0.5326,0.5326
instructions,gptoss120b,1,45,bbq_substitution,200,0.52825,0.52825
