arm,cohort,kind,found_iteration,n_rows,seed_trials,n_misclassified,rate,n_always_wrong,n_never_wrong,pipeline_iter2_rate
deepseekv4pro,in_v2_train,generated,all,271,2710,38,0.014022140221402213,2,265,0.007380073800738007
deepseekv4pro,in_v2_train,generated,0,140,1400,11,0.007857142857142858,1,138,0.007142857142857143
deepseekv4pro,in_v2_train,generated,1,131,1310,27,0.020610687022900764,1,127,0.007633587786259542
deepseekv4pro,in_v2_train,source,all,271,2710,88,0.03247232472324723,7,261,0.033210332103321034
deepseekv4pro,in_v2_train,source,0,140,1400,20,0.014285714285714285,2,138,0.014285714285714285
deepseekv4pro,in_v2_train,source,1,131,1310,68,0.051908396946564885,5,123,0.05343511450381679
deepseekv4pro,new_in_v3,generated,all,87,870,7,0.008045977011494253,0,85,0.011494252873563218
deepseekv4pro,new_in_v3,generated,0,7,70,0,0.0,0,7,0.0
deepseekv4pro,new_in_v3,generated,1,7,70,1,0.014285714285714285,0,6,0.0
deepseekv4pro,new_in_v3,generated,2,73,730,6,0.00821917808219178,0,72,0.0136986301369863
deepseekv4pro,new_in_v3,source,all,87,870,672,0.7724137931034483,48,12,0.8505747126436781
deepseekv4pro,new_in_v3,source,0,7,70,0,0.0,0,7,0.0
deepseekv4pro,new_in_v3,source,1,7,70,14,0.2,1,5,0.14285714285714285
deepseekv4pro,new_in_v3,source,2,73,730,658,0.9013698630136986,47,0,1.0
deepseekv4pro,new_in_v3_overlong,generated,all,5,50,0,0.0,0,5,0.0
deepseekv4pro,new_in_v3_overlong,generated,0,1,10,0,0.0,0,1,0.0
deepseekv4pro,new_in_v3_overlong,generated,2,4,40,0,0.0,0,4,0.0
deepseekv4pro,new_in_v3_overlong,source,all,5,50,45,0.9,3,0,1.0
deepseekv4pro,new_in_v3_overlong,source,0,1,10,10,1.0,1,0,1.0
deepseekv4pro,new_in_v3_overlong,source,2,4,40,35,0.875,2,0,1.0
gptoss120b,in_v2_train,generated,all,211,2110,14,0.006635071090047393,1,209,0.009478672985781991
gptoss120b,in_v2_train,generated,0,120,1200,0,0.0,0,120,0.0
gptoss120b,in_v2_train,generated,1,91,910,14,0.015384615384615385,1,89,0.02197802197802198
gptoss120b,in_v2_train,source,all,211,2110,40,0.018957345971563982,2,205,0.009478672985781991
gptoss120b,in_v2_train,source,0,120,1200,0,0.0,0,120,0.0
gptoss120b,in_v2_train,source,1,91,910,40,0.04395604395604396,2,85,0.02197802197802198
gptoss120b,new_in_v3,generated,all,70,700,0,0.0,0,70,0.0
gptoss120b,new_in_v3,generated,0,13,130,0,0.0,0,13,0.0
gptoss120b,new_in_v3,generated,1,3,30,0,0.0,0,3,0.0
gptoss120b,new_in_v3,generated,2,54,540,0,0.0,0,54,0.0
gptoss120b,new_in_v3,source,all,70,700,462,0.66,36,16,0.7714285714285715
gptoss120b,new_in_v3,source,0,13,130,0,0.0,0,13,0.0
gptoss120b,new_in_v3,source,1,3,30,0,0.0,0,3,0.0
gptoss120b,new_in_v3,source,2,54,540,462,0.8555555555555555,36,0,1.0
gptoss120b,new_in_v3_overlong,generated,all,1,10,0,0.0,0,1,0.0
gptoss120b,new_in_v3_overlong,generated,0,1,10,0,0.0,0,1,0.0
gptoss120b,new_in_v3_overlong,source,all,1,10,0,0.0,0,1,0.0
gptoss120b,new_in_v3_overlong,source,0,1,10,0,0.0,0,1,0.0
