arm,vintage,n_redteam_rows,n_seeds,dataset,mean,sd,min,max
deepseekv4pro,0,0,10,anthropic,0.9531132189737923,0.004364133665598441,0.9459151539008916,0.960851034837772
deepseekv4pro,0,0,10,mt,0.8672946534858443,0.049521175208671595,0.7925055638942083,0.9384348636198955
deepseekv4pro,0,0,10,mts,0.9436411103415207,0.009371345330333226,0.9293782300602057,0.9588150673983696
deepseekv4pro,0,0,10,toolace,0.7079974717430101,0.025209073389511488,0.6505614217727543,0.7473787923854849
deepseekv4pro,0,0,10,mean,0.8680116136360418,0.012083744543695655,0.8507105334925567,0.8875958127034425
deepseekv4pro,1,294,10,anthropic,0.9281643174007177,0.014205335292055131,0.9033425941346577,0.9440282971733108
deepseekv4pro,1,294,10,mt,0.9469747942653072,0.007903635672215746,0.933699083898349,0.9587236685471766
deepseekv4pro,1,294,10,mts,0.8857131440140658,0.014355756643728297,0.8610474718951462,0.9016729713889925
deepseekv4pro,1,294,10,toolace,0.7655134592504462,0.014107231435419669,0.7413741820345033,0.7925156157049376
deepseekv4pro,1,294,10,mean,0.8815914287326343,0.006306195647204458,0.8722961842940684,0.8920726824745315
deepseekv4pro,2,542,10,anthropic,0.9640655043982498,0.0024628227353356313,0.9598574543142213,0.9670566549077201
deepseekv4pro,2,542,10,mt,0.9331168158997982,0.006714627964903489,0.9221572382381864,0.942057864499767
deepseekv4pro,2,542,10,mts,0.9424902765197933,0.016036727420266666,0.8998881133784431,0.957856039213597
deepseekv4pro,2,542,10,toolace,0.8189637864366448,0.007543876105202084,0.8103435455086258,0.8335068411659727
deepseekv4pro,2,542,10,mean,0.9146590958136216,0.00543953306179423,0.9023584452721626,0.921532561167344
deepseekv4pro,3,716,10,anthropic,0.9538675831579585,0.002762696093188511,0.9486687913518751,0.9572552196096837
deepseekv4pro,3,716,10,mt,0.9127012059417214,0.009715147275760805,0.8954505460379898,0.92717768231458
deepseekv4pro,3,716,10,mts,0.9274868133624595,0.017861268096092456,0.9004209068144281,0.9485055144120624
deepseekv4pro,3,716,10,toolace,0.7708413890541344,0.009268152309649485,0.7567296252230814,0.7864924152290304
deepseekv4pro,3,716,10,mean,0.8912242478790684,0.006426627875557122,0.8801183545229649,0.8999462964777087
gptoss120b,0,0,10,anthropic,0.9531132189737923,0.004364133665598441,0.9459151539008916,0.960851034837772
gptoss120b,0,0,10,mt,0.8672946534858443,0.049521175208671595,0.7925055638942083,0.9384348636198955
gptoss120b,0,0,10,mts,0.9436411103415207,0.009371345330333226,0.9293782300602057,0.9588150673983696
gptoss120b,0,0,10,toolace,0.7079974717430101,0.025209073389511488,0.6505614217727543,0.7473787923854849
gptoss120b,0,0,10,mean,0.8680116136360418,0.012083744543695655,0.8507105334925567,0.8875958127034425
gptoss120b,1,228,10,anthropic,0.9552118502929645,0.006731800216752786,0.9378737755302882,0.959955866099411
gptoss120b,1,228,10,mt,0.9599425495574762,0.011746894587555174,0.9386418922416024,0.9767610372133948
gptoss120b,1,228,10,mts,0.9402205764824977,0.00658079579942027,0.9288987159678193,0.9511694815919868
gptoss120b,1,228,10,toolace,0.7519835663295658,0.021289500112126512,0.710812016656752,0.780320493753718
gptoss120b,1,228,10,mean,0.9018396356656261,0.0084098688930391,0.8878890038758422,0.915110145670544
gptoss120b,2,422,10,anthropic,0.9643117231146574,0.0040493681219355305,0.9566817817075203,0.9687542582022438
gptoss120b,2,422,10,mt,0.9700766005900316,0.006021058315633531,0.9609492262305264,0.9807463381812536
gptoss120b,2,422,10,mts,0.9624593745005061,0.0036800863664573943,0.9558047844850551,0.9676860781075177
gptoss120b,2,422,10,toolace,0.8156435901249257,0.01028388673157869,0.790991225461035,0.8287105889351576
gptoss120b,2,422,10,mean,0.9281228220825302,0.004797367400034049,0.9175452967481934,0.9336260865356062
gptoss120b,3,562,10,anthropic,0.968176845977986,0.0019142885641525236,0.9650789565322715,0.9706259746551802
gptoss120b,3,562,10,mt,0.9747890895916361,0.0057788382836823525,0.9622431551161948,0.9820661456446355
gptoss120b,3,562,10,mts,0.9653044914486655,0.003914857660971996,0.9590281847727635,0.9706430816772337
gptoss120b,3,562,10,toolace,0.8220255800118977,0.009260798437253906,0.8044318857822725,0.8318523200475908
gptoss120b,3,562,10,mean,0.9325740017575462,0.0032493969804916773,0.9275615107501618,0.9361515166614623
