arm,vintage,seed,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
combined,0,42,0,anthropic,0.9529932322972339,0.9530367605868371
combined,0,42,0,mt,0.808964339319911,0.8814243569173439
combined,0,42,0,mts,0.9493313442378389,0.9485854334274603
combined,0,42,0,toolace,0.7260559190957764,0.7261674598453303
combined,0,42,0,mean,0.8593362087376901,0.8773035026942428
combined,0,43,0,anthropic,0.9488618298535937,0.9573479537918819
combined,0,43,0,mt,0.8764297914186636,0.8904818591170229
combined,0,43,0,mts,0.9362512653844104,0.9363578240716074
combined,0,43,0,toolace,0.6893590124925639,0.6892474717430102
combined,0,43,0,mean,0.8627254747873079,0.8683587771808805
combined,0,44,0,anthropic,0.9548460234068648,0.9566041877999667
combined,0,44,0,mt,0.82286113555199,0.9186636302468816
combined,0,44,0,mts,0.951302679950983,0.9552719910490702
combined,0,44,0,toolace,0.7091946757882213,0.7091946757882213
combined,0,44,0,mean,0.8595511286745148,0.884933621221035
combined,0,45,0,anthropic,0.9572022286484276,0.9571776257021303
combined,0,45,0,mt,0.9051032555250764,0.9027483049531597
combined,0,45,0,mts,0.9375832489743727,0.9376098886461719
combined,0,45,0,toolace,0.7091203152885188,0.7091389054134444
combined,0,45,0,mean,0.8772522621090989,0.8766686811787266
combined,0,46,0,anthropic,0.960851034837772,0.9617651289194387
combined,0,46,0,mt,0.9033693908182807,0.9069665131204389
combined,0,46,0,mts,0.9588150673983696,0.9587617880547713
combined,0,46,0,toolace,0.7173929208804283,0.7173929208804284
combined,0,46,0,mean,0.8851071034837126,0.8862215877437694
combined,0,47,0,anthropic,0.9459151539008916,0.9598044633529652
combined,0,47,0,mt,0.8377930748926039,0.9178872729154806
combined,0,47,0,mts,0.9393414673131226,0.9463477009963238
combined,0,47,0,toolace,0.7160358417608566,0.7159614812611541
combined,0,47,0,mean,0.8597713844668686,0.885000229631481
combined,0,48,0,anthropic,0.955167754243062,0.9594884101197596
combined,0,48,0,mt,0.8718751617411107,0.8870658868588582
combined,0,48,0,mts,0.9456017901859449,0.946720656401513
combined,0,48,0,toolace,0.7119088340273647,0.7119088340273647
combined,0,48,0,mean,0.8711383850493706,0.876295946851874
combined,0,49,0,anthropic,0.9516760284031552,0.9517820103256673
combined,0,49,0,mt,0.9156099580767042,0.931111226127012
combined,0,49,0,mts,0.9357184719484256,0.9367041398049977
combined,0,49,0,toolace,0.7473787923854849,0.7474345627602618
combined,0,49,0,mean,0.8875958127034425,0.8917579847544846
combined,0,50,0,anthropic,0.954282048176354,0.9586613726172992
combined,0,50,0,mt,0.7925055638942083,0.8962269033693908
combined,0,50,0,mts,0.9530875379615323,0.9610794395013054
combined,0,50,0,toolace,0.7029669839381321,0.7030041641879833
combined,0,50,0,mean,0.8507105334925567,0.8797429699189947
combined,0,51,0,anthropic,0.9493368559705675,0.950095762237127
combined,0,51,0,mt,0.9384348636198955,0.9396511567724238
combined,0,51,0,mts,0.9293782300602057,0.9293249507166073
combined,0,51,0,toolace,0.6505614217727543,0.6505056513979774
combined,0,51,0,mean,0.8669278428558558,0.8673943802810338
combined,1,42,522,anthropic,0.9224931490257233,0.9225007191630457
combined,1,42,522,mt,0.9615444335179338,0.9614667977847937
combined,1,42,522,mts,0.9274601736906601,0.9274068943470616
combined,1,42,522,toolace,0.7464492861392028,0.7464492861392028
combined,1,42,522,mean,0.8894867605933799,0.8894559243585259
combined,1,43,522,anthropic,0.9400615452164303,0.9400634377507608
combined,1,43,522,mt,0.9737073650432173,0.973759122198644
combined,1,43,522,mts,0.9230646278437851,0.923064627843785
combined,1,43,522,toolace,0.7753197501487209,0.7753197501487209
combined,1,43,522,mean,0.9030383220630384,0.9030517344854777
combined,1,44,522,anthropic,0.9154472437130009,0.9154396735756786
combined,1,44,522,mt,0.9667977847937478,0.966746027638321
combined,1,44,522,mts,0.928978634983217,0.9290052746550163
combined,1,44,522,toolace,0.7852282867340868,0.7852282867340868
combined,1,44,522,mean,0.8991129875560131,0.8991048156507756
combined,1,45,522,anthropic,0.9165979045859892,0.9165997971203197
combined,1,45,522,mt,0.9703690285181926,0.9704725428290462
combined,1,45,522,mts,0.9369172571793916,0.9369172571793916
combined,1,45,522,toolace,0.7733677870315289,0.7733677870315289
combined,1,45,522,mean,0.8993129943287755,0.8993393460400715
combined,1,46,522,anthropic,0.9507146209632243,0.9507146209632243
combined,1,46,522,mt,0.9703690285181927,0.9703172713627659
combined,1,46,522,mts,0.9338803345942779,0.9338803345942778
combined,1,46,522,toolace,0.7565065437239739,0.7565065437239739
combined,1,46,522,mean,0.9028676319499171,0.9028546926610604
combined,1,47,522,anthropic,0.938286348014353,0.9382844554800224
combined,1,47,522,mt,0.9750012939288858,0.9750012939288857
combined,1,47,522,mts,0.9314561244605466,0.9314827641323459
combined,1,47,522,toolace,0.74680249851279,0.74680249851279
combined,1,47,522,mean,0.8978865662291438,0.8978927530135109
combined,1,48,522,anthropic,0.9422663477115476,0.9422663477115476
combined,1,48,522,mt,0.9746907509963253,0.974664872418612
combined,1,48,522,mts,0.93204219724013,0.93204219724013
combined,1,48,522,toolace,0.790173259964307,0.790173259964307
combined,1,48,522,mean,0.9097931389780776,0.9097866693336492
combined,1,49,522,anthropic,0.9281272237278385,0.928129116262169
combined,1,49,522,mt,0.9695926711867915,0.9696444283422183
combined,1,49,522,mts,0.929644626778198,0.9296179871063989
combined,1,49,522,toolace,0.7681811421772754,0.7681811421772754
combined,1,49,522,mean,0.8988864159675258,0.8988931684720154
combined,1,50,522,anthropic,0.9544750866780723,0.9544940120213781
combined,1,50,522,mt,0.972361679002122,0.9723616790021221
combined,1,50,522,mts,0.9235441419361714,0.92359742127977
combined,1,50,522,toolace,0.7470441701368234,0.7470441701368234
combined,1,50,522,mean,0.8993562694382973,0.8993743206100234
combined,1,51,522,anthropic,0.9531389574406879,0.9531370649063574
combined,1,51,522,mt,0.960923347652813,0.9608457119196729
combined,1,51,522,mts,0.9326815493633119,0.9326815493633119
combined,1,51,522,toolace,0.7350721296847115,0.7350721296847115
combined,1,51,522,mean,0.8954539960353811,0.8954341139685135
combined,2,42,964,anthropic,0.9657091704643521,0.9657962270435586
combined,2,42,964,mt,0.9468195227990269,0.9465089798664665
combined,2,42,964,mts,0.9499973360328201,0.9500506153764187
combined,2,42,964,toolace,0.8338600535395598,0.8338600535395597
combined,2,42,964,mean,0.9240965207089398,0.9240539689565008
combined,2,43,964,anthropic,0.9629441778073855,0.9632204878196491
combined,2,43,964,mt,0.9557217535324258,0.9563169608198333
combined,2,43,964,mts,0.9507698865149982,0.9507698865149982
combined,2,43,964,toolace,0.82064247471743,0.8206424747174301
combined,2,43,964,mean,0.9225195731430599,0.9227374524679777
combined,2,44,964,anthropic,0.9633151145361777,0.9638790897666885
combined,2,44,964,mt,0.9643651984886911,0.9651933129755188
combined,2,44,964,mts,0.9562043795620437,0.9562043795620438
combined,2,44,964,toolace,0.82558744794765,0.8255874479476502
combined,2,44,964,mean,0.9273680351336406,0.9277160575629753
