arm,vintage,n_redteam_rows,n_seeds,dataset,mean,sd,min,max
combined,0,0,10,anthropic,0.9531132189737923,0.004364133665598441,0.9459151539008916,0.960851034837772
combined,0,0,10,mt,0.8672946534858443,0.049521175208671595,0.7925055638942083,0.9384348636198955
combined,0,0,10,mts,0.9436411103415207,0.009371345330333226,0.9293782300602057,0.9588150673983696
combined,0,0,10,toolace,0.7079974717430101,0.025209073389511488,0.6505614217727543,0.7473787923854849
combined,0,0,10,mean,0.8680116136360418,0.012083744543695655,0.8507105334925567,0.8875958127034425
combined,1,522,10,anthropic,0.9361608427076866,0.014740712456741651,0.9154472437130009,0.9544750866780723
combined,1,522,10,mt,0.9695357383158221,0.0050415767537927685,0.960923347652813,0.9750012939288858
combined,1,522,10,mts,0.929966966806969,0.004394109581428936,0.9230646278437851,0.9369172571793916
combined,1,522,10,toolace,0.7624144854253421,0.01864335033695344,0.7350721296847115,0.790173259964307
combined,1,522,10,mean,0.8995195083139549,0.005266516304518768,0.8894867605933799,0.9097931389780776
combined,2,964,10,anthropic,0.9635342700116579,0.0012527245625968207,0.9613601265726961,0.9657091704643521
combined,2,964,10,mt,0.9512369960146989,0.009187539397688717,0.9319134620361266,0.9643651984886911
combined,2,964,10,mts,0.9506393521231817,0.006902279615145921,0.9344397677020618,0.9580691565879909
combined,2,964,10,toolace,0.8262176531826293,0.0057784459479368645,0.8174077929803688,0.8354588042831648
combined,2,964,10,mean,0.9229070678330421,0.00420837517729372,0.9126082156015535,0.9273680351336406
combined,3,1278,10,anthropic,0.9595716816303048,0.0031043823396214604,0.9514281064058502,0.9628722615028238
combined,3,1278,10,mt,0.9450106102168625,0.005421278258159978,0.9372703276227939,0.9535997101599296
combined,3,1278,10,mts,0.9399088923224467,0.008948577742129241,0.9240236560285577,0.9530608982897331
combined,3,1278,10,toolace,0.7992675490779299,0.01014306245561253,0.7845032718619869,0.8145820939916716
combined,3,1278,10,mean,0.9109396833118858,0.005438117632416313,0.8993063404797972,0.9186832583262181
