concept,arm,vintage,n_redteam_rows,n_seeds,dataset,scale,mean,sd,min,max
hu_harm,deepseekv4pro,0,0,10,eval_ai_dilemmas,pipeline,0.5127811418685122,0.015426657881073336,0.5001081314878892,0.5377378892733564
hu_harm,deepseekv4pro,0,0,10,eval_ai_dilemmas,rank,0.5358455882352942,0.01887033022489666,0.5109212802768166,0.5717993079584774
hu_harm,deepseekv4pro,0,0,10,eval_ant_hh,pipeline,0.838739140120294,0.01614310329186468,0.8114279349521052,0.8584317219870795
hu_harm,deepseekv4pro,0,0,10,eval_ant_hh,rank,0.8489084428603253,0.015795443817952982,0.8157718868344843,0.8706838939630207
hu_harm,deepseekv4pro,0,0,10,eval_balanced_refusal,pipeline,0.44604499999999997,0.015600215009202075,0.4218625,0.4697875000000001
hu_harm,deepseekv4pro,0,0,10,eval_balanced_refusal,rank,0.4295675,0.018861741296132307,0.407825,0.4633625
hu_harm,deepseekv4pro,0,0,10,eval_daily_dilemmas,pipeline,0.5482090795501874,0.03189053986504888,0.5108288213244481,0.6132861307788422
hu_harm,deepseekv4pro,0,0,10,eval_daily_dilemmas,rank,0.5677374010828821,0.02530991250948907,0.5435235318617243,0.6233860891295294
hu_harm,deepseekv4pro,0,0,10,mean,pipeline,0.5864435903847485,0.0116950923503103,0.5693970222307074,0.6047492403249926
hu_harm,deepseekv4pro,0,0,10,mean,rank,0.5955147330446253,0.01166358320680692,0.5832592011660953,0.6175623829097829
hu_harm,deepseekv4pro,1,294,10,eval_ai_dilemmas,pipeline,0.5000108131487889,0.004437184239152984,0.49307958477508657,0.5058391003460208
hu_harm,deepseekv4pro,1,294,10,eval_ai_dilemmas,rank,0.4993512110726643,0.004626545268085333,0.49253892733564014,0.5058391003460206
hu_harm,deepseekv4pro,1,294,10,eval_ant_hh,pipeline,0.8057362441523725,0.019713596437397216,0.780017821341056,0.8285809757184228
hu_harm,deepseekv4pro,1,294,10,eval_ant_hh,rank,0.8057362441523725,0.019651615382700115,0.7801292047226555,0.8284695923368234
hu_harm,deepseekv4pro,1,294,10,eval_balanced_refusal,pipeline,0.41123125,0.01611243831338936,0.39346250000000005,0.435675
hu_harm,deepseekv4pro,1,294,10,eval_balanced_refusal,rank,0.4112075,0.016598884249651627,0.3917875,0.43604999999999994
hu_harm,deepseekv4pro,1,294,10,eval_daily_dilemmas,pipeline,0.3763483965014577,0.009697370997661893,0.3637546855476884,0.39733444398167433
hu_harm,deepseekv4pro,1,294,10,eval_daily_dilemmas,rank,0.3754529362765514,0.009385707842084865,0.3632861307788421,0.3958246563931695
hu_harm,deepseekv4pro,1,294,10,mean,pipeline,0.5233316759506548,0.004167299333624522,0.516770630400921,0.5309798605478616
hu_harm,deepseekv4pro,1,294,10,mean,rank,0.5229369728753971,0.0040266539884260275,0.5166617981942476,0.5299936205735016
hu_harm,deepseekv4pro,2,262,10,eval_ai_dilemmas,pipeline,0.5721237024221454,0.035499530694611744,0.5317906574394463,0.6300821799307958
hu_harm,deepseekv4pro,2,262,10,eval_ai_dilemmas,rank,0.5721345155709342,0.03488895406933715,0.5326557093425606,0.6283520761245674
hu_harm,deepseekv4pro,2,262,10,eval_ant_hh,pipeline,0.8161728670082423,0.009562003642883541,0.8007351303185565,0.836043662285587
hu_harm,deepseekv4pro,2,262,10,eval_ant_hh,rank,0.8505680552461572,0.006561060024877284,0.8371574961015816,0.8575406549342839
hu_harm,deepseekv4pro,2,262,10,eval_balanced_refusal,pipeline,0.44755625,0.011038803480978632,0.42530000000000007,0.4638624999999999
hu_harm,deepseekv4pro,2,262,10,eval_balanced_refusal,rank,0.42317499999999997,0.00804016393558683,0.4084875,0.4367875
hu_harm,deepseekv4pro,2,262,10,eval_daily_dilemmas,pipeline,0.5701270304039983,0.025462808751776873,0.5442523948354853,0.6289046230737193
hu_harm,deepseekv4pro,2,262,10,eval_daily_dilemmas,rank,0.5705955851728446,0.025874175820449468,0.5443044564764681,0.6301541024573094
hu_harm,deepseekv4pro,2,262,10,mean,pipeline,0.6014949624585965,0.015476092373254004,0.5845375261496508,0.6285442484691761
hu_harm,deepseekv4pro,2,262,10,mean,rank,0.6041182889974841,0.015250363526098548,0.5891918337734947,0.6337847493298726
hu_harm,deepseekv4pro,3,174,10,eval_ai_dilemmas,pipeline,0.5310121107266437,0.007946630382306086,0.5208693771626298,0.5451989619377162
hu_harm,deepseekv4pro,3,174,10,eval_ai_dilemmas,rank,0.532590830449827,0.007327489761858994,0.5210856401384083,0.5455233564013842
hu_harm,deepseekv4pro,3,174,10,eval_ant_hh,pipeline,0.7976609489864112,0.008128562168969778,0.7869235910002228,0.8126531521496994
hu_harm,deepseekv4pro,3,174,10,eval_ant_hh,rank,0.8014034306081532,0.006769690977510704,0.7875918912898195,0.8130986856760971
hu_harm,deepseekv4pro,3,174,10,eval_balanced_refusal,pipeline,0.43834999999999996,0.011847073888611582,0.4193,0.45588750000000006
hu_harm,deepseekv4pro,3,174,10,eval_balanced_refusal,rank,0.42487250000000004,0.010766851778594419,0.4065375,0.4361625
hu_harm,deepseekv4pro,3,174,10,eval_daily_dilemmas,pipeline,0.5144939608496462,0.009966181023973803,0.4988025822573927,0.5336838817159517
hu_harm,deepseekv4pro,3,174,10,eval_daily_dilemmas,rank,0.5143794252394835,0.009769966452471104,0.4984902124114951,0.5323823406913786
hu_harm,deepseekv4pro,3,174,10,mean,pipeline,0.5703792551406752,0.006012112679994523,0.5631219150128398,0.5812310131800689
hu_harm,deepseekv4pro,3,174,10,mean,rank,0.5683115465743659,0.0058743635070593134,0.5578335488295685,0.5779246609350308
hu_harm,gptoss120b,0,0,10,eval_ai_dilemmas,pipeline,0.5127811418685122,0.015426657881073336,0.5001081314878892,0.5377378892733564
hu_harm,gptoss120b,0,0,10,eval_ai_dilemmas,rank,0.5358455882352942,0.01887033022489666,0.5109212802768166,0.5717993079584774
hu_harm,gptoss120b,0,0,10,eval_ant_hh,pipeline,0.838739140120294,0.01614310329186468,0.8114279349521052,0.8584317219870795
hu_harm,gptoss120b,0,0,10,eval_ant_hh,rank,0.8489084428603253,0.015795443817952982,0.8157718868344843,0.8706838939630207
hu_harm,gptoss120b,0,0,10,eval_balanced_refusal,pipeline,0.44604499999999997,0.015600215009202075,0.4218625,0.4697875000000001
hu_harm,gptoss120b,0,0,10,eval_balanced_refusal,rank,0.4295675,0.018861741296132307,0.407825,0.4633625
hu_harm,gptoss120b,0,0,10,eval_daily_dilemmas,pipeline,0.5482090795501874,0.03189053986504888,0.5108288213244481,0.6132861307788422
hu_harm,gptoss120b,0,0,10,eval_daily_dilemmas,rank,0.5677374010828821,0.02530991250948907,0.5435235318617243,0.6233860891295294
hu_harm,gptoss120b,0,0,10,mean,pipeline,0.5864435903847485,0.0116950923503103,0.5693970222307074,0.6047492403249926
hu_harm,gptoss120b,0,0,10,mean,rank,0.5955147330446253,0.01166358320680692,0.5832592011660953,0.6175623829097829
hu_harm,gptoss120b,1,228,10,eval_ai_dilemmas,pipeline,0.5020220588235293,0.0044226968241458005,0.4951340830449827,0.5080017301038062
hu_harm,gptoss120b,1,228,10,eval_ai_dilemmas,rank,0.5008217993079584,0.005555709373689588,0.49221453287197237,0.5065960207612457
hu_harm,gptoss120b,1,228,10,eval_ant_hh,pipeline,0.8345177099576743,0.02151638461724587,0.7951659612385833,0.8606593896190688
hu_harm,gptoss120b,1,228,10,eval_ant_hh,rank,0.8353642236578305,0.022370933112395127,0.7952773446201826,0.8644464245934507
hu_harm,gptoss120b,1,228,10,eval_balanced_refusal,pipeline,0.42115125000000003,0.009535963452023755,0.41266250000000004,0.44441249999999993
hu_harm,gptoss120b,1,228,10,eval_balanced_refusal,rank,0.41588125,0.01133672169017815,0.4049625,0.4441375
hu_harm,gptoss120b,1,228,10,eval_daily_dilemmas,pipeline,0.49707413577675963,0.011747841277292866,0.4845376926280716,0.525249895876718
hu_harm,gptoss120b,1,228,10,eval_daily_dilemmas,rank,0.49718867138692213,0.011738845037366665,0.4843815077051229,0.5256143273635985
hu_harm,gptoss120b,1,228,10,mean,pipeline,0.5636912886394908,0.0063006140244741705,0.5536350234587798,0.5731248602444344
hu_harm,gptoss120b,1,228,10,mean,rank,0.5623139860881778,0.005367048544949742,0.5530391614788916,0.5715153047731962
hu_harm,gptoss120b,2,214,10,eval_ai_dilemmas,pipeline,0.5317690311418685,0.014098510540663642,0.5068122837370242,0.5461721453287196
hu_harm,gptoss120b,2,214,10,eval_ai_dilemmas,rank,0.535423875432526,0.007838716664612609,0.5197880622837371,0.5470371972318339
hu_harm,gptoss120b,2,214,10,eval_ant_hh,pipeline,0.8232902650924482,0.009445831760297379,0.8064156827801292,0.8359322789039875
hu_harm,gptoss120b,2,214,10,eval_ant_hh,rank,0.8472042771218534,0.012348416233904936,0.8299175762976164,0.8672310091334372
hu_harm,gptoss120b,2,214,10,eval_balanced_refusal,pipeline,0.4365724999999999,0.011530368718205772,0.4106625,0.4481375000000001
hu_harm,gptoss120b,2,214,10,eval_balanced_refusal,rank,0.41283625000000007,0.00759791969426867,0.3967625,0.4253375000000001
hu_harm,gptoss120b,2,214,10,eval_daily_dilemmas,pipeline,0.5684662640566431,0.010055026055783482,0.552582257392753,0.5856413994169096
hu_harm,gptoss120b,2,214,10,eval_daily_dilemmas,rank,0.5676905456059974,0.010013889696472923,0.5515930862140774,0.5836630570595586
hu_harm,gptoss120b,2,214,10,mean,pipeline,0.5900245150727399,0.004829112297297098,0.5832593439442751,0.6003282636960021
hu_harm,gptoss120b,2,214,10,mean,rank,0.5907887370400942,0.00313880338127107,0.5863905845214712,0.5976076129211783
