arm,slice,n_redteam_rows,n_seeds,dataset,scale,mean,sd
deepseekv4pro,v1,294,10,anthropic,pipeline,0.9281643174007177,0.014205335292055133
deepseekv4pro,v1,294,10,mt,pipeline,0.9469747942653072,0.007903635672215744
deepseekv4pro,v1,294,10,mts,pipeline,0.8857131440140658,0.014355756643728297
deepseekv4pro,v1,294,10,toolace,pipeline,0.7655134592504461,0.01410723143541967
deepseekv4pro,v1,294,10,mean,pipeline,0.8815914287326342,0.006306195647204458
deepseekv4pro,v2-only,262,10,anthropic,pipeline,0.9617140304925131,0.0015701091583122594
deepseekv4pro,v2-only,262,10,mt,pipeline,0.9048574090367993,0.025427921245260235
deepseekv4pro,v2-only,262,10,mts,pipeline,0.9440327135169695,0.01493231931747408
deepseekv4pro,v2-only,262,10,toolace,pipeline,0.8246914039262344,0.009054477848368495
deepseekv4pro,v2-only,262,10,mean,pipeline,0.9088238892431291,0.00858199781498197
deepseekv4pro,v3-only,174,10,anthropic,pipeline,0.947247498069615,0.005052377726867616
deepseekv4pro,v3-only,174,10,mt,pipeline,0.937839656332488,0.012187805809196466
deepseekv4pro,v3-only,174,10,mts,pipeline,0.9334727476157494,0.01034054052512691
deepseekv4pro,v3-only,174,10,toolace,pipeline,0.7698152141582391,0.013792245336546247
deepseekv4pro,v3-only,174,10,mean,pipeline,0.8970937790440229,0.006676959101331475
gptoss120b,v1,228,10,anthropic,pipeline,0.9552118502929644,0.006731800216752786
gptoss120b,v1,228,10,mt,pipeline,0.9599425495574763,0.011746894587555175
gptoss120b,v1,228,10,mts,pipeline,0.9402205764824977,0.00658079579942027
gptoss120b,v1,228,10,toolace,pipeline,0.7519835663295658,0.021289500112126512
gptoss120b,v1,228,10,mean,pipeline,0.901839635665626,0.0084098688930391
gptoss120b,v2-only,214,10,anthropic,pipeline,0.9676707822979909,0.0027459065544026585
gptoss120b,v2-only,214,10,mt,pipeline,0.965578903783448,0.006132385113170757
gptoss120b,v2-only,214,10,mts,pipeline,0.9502690606851724,0.007661588958295575
gptoss120b,v2-only,214,10,toolace,pipeline,0.8145133105294468,0.011068618767426998
gptoss120b,v2-only,214,10,mean,pipeline,0.9245080143240145,0.004801935016556348
gptoss120b,v3-only,140,10,anthropic,pipeline,0.9670487062635317,0.0030908663031212697
gptoss120b,v3-only,140,10,mt,pipeline,0.9754619326121836,0.003971868522397939
gptoss120b,v3-only,140,10,mts,pipeline,0.9538307848047313,0.004502261286808461
gptoss120b,v3-only,140,10,toolace,pipeline,0.8319824509220701,0.012234194970087665
gptoss120b,v3-only,140,10,mean,pipeline,0.9320809686506292,0.00413883626375043
