arm,vintage,seed,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
deepseekv4pro,2,42,262,anthropic,0.9617197080955049,0.9638866599040106
deepseekv4pro,2,42,262,mt,0.8852802649966358,0.8853061435743492
deepseekv4pro,2,42,262,mts,0.9540998454899036,0.9541797645053013
deepseekv4pro,2,42,262,toolace,0.819155264723379,0.819155264723379
deepseekv4pro,2,42,262,mean,0.9050637708263558,0.90563195817676
deepseekv4pro,2,43,262,anthropic,0.9633681054974339,0.9669695983285136
deepseekv4pro,2,43,262,mt,0.8765850628849439,0.8765850628849439
deepseekv4pro,2,43,262,mts,0.944296446267782,0.9443763652831797
deepseekv4pro,2,43,262,toolace,0.8372992266508031,0.8372992266508031
deepseekv4pro,2,43,262,mean,0.9053872103252407,0.9063075632868601
deepseekv4pro,2,44,262,anthropic,0.9593975684718921,0.962268543051371
deepseekv4pro,2,44,262,mt,0.9317581905698462,0.931809947725273
deepseekv4pro,2,44,262,mts,0.9570035697160211,0.9570035697160211
deepseekv4pro,2,44,262,toolace,0.811310232004759,0.811310232004759
deepseekv4pro,2,44,262,mean,0.9148673901906297,0.915598073124356
deepseekv4pro,2,45,262,anthropic,0.9633264697421611,0.9655710154582204
deepseekv4pro,2,45,262,mt,0.9171367941617928,0.917214429894933
deepseekv4pro,2,45,262,mts,0.944962438062763,0.9449357983909639
deepseekv4pro,2,45,262,toolace,0.8375408982748365,0.8375408982748365
deepseekv4pro,2,45,262,mean,0.9157416500603883,0.9163155355047384
deepseekv4pro,2,46,262,anthropic,0.9629403927387243,0.9668106254447456
deepseekv4pro,2,46,262,mt,0.8558822007142487,0.8560633507582422
deepseekv4pro,2,46,262,mts,0.9065213916564547,0.9065213916564547
deepseekv4pro,2,46,262,toolace,0.8267400356930399,0.8267586258179656
deepseekv4pro,2,46,262,mean,0.8880210052006168,0.889038498419352
deepseekv4pro,2,47,262,anthropic,0.9594278490211812,0.9622363699677512
deepseekv4pro,2,47,262,mt,0.9023860048651726,0.9023860048651726
deepseekv4pro,2,47,262,mts,0.9445628429857744,0.9445894826575737
deepseekv4pro,2,47,262,toolace,0.8262195121951219,0.8262195121951219
deepseekv4pro,2,47,262,mean,0.9081490522668125,0.9088578424214049
deepseekv4pro,2,48,262,anthropic,0.962489969568048,0.9656372541597904
