arm,vintage,n_redteam_rows,n_seeds,dataset,mean,sd,min,max
deepseekv4pro,2,262,10,anthropic,0.9617140304925131,0.0015701091583122594,0.9593975684718921,0.9633681054974339
deepseekv4pro,2,262,10,mt,0.9048574090367995,0.025427921245260235,0.8558822007142487,0.9317581905698462
deepseekv4pro,2,262,10,mts,0.9440327135169696,0.01493231931747408,0.9065213916564547,0.9570035697160211
deepseekv4pro,2,262,10,toolace,0.8246914039262345,0.009054477848368495,0.8108640690065437,0.8375408982748365
deepseekv4pro,2,262,10,mean,0.9088238892431292,0.00858199781498197,0.8880210052006168,0.9157416500603883
deepseekv4pro,3,174,10,anthropic,0.9472474980696151,0.005052377726867616,0.9373230480400914,0.9541874214598254
deepseekv4pro,3,174,10,mt,0.9378396563324879,0.012187805809196465,0.914548936390456,0.954893639045598
deepseekv4pro,3,174,10,mts,0.9334727476157493,0.01034054052512691,0.9135009856678565,0.9477329639298844
deepseekv4pro,3,174,10,toolace,0.7698152141582392,0.013792245336546247,0.747267251635931,0.7966983938132064
deepseekv4pro,3,174,10,mean,0.8970937790440228,0.006676959101331475,0.8882747693361179,0.9090533387417477
gptoss120b,2,214,10,anthropic,0.9676707822979909,0.0027459065544026585,0.9612522521158533,0.9706770730821057
gptoss120b,2,214,10,mt,0.9655789037834481,0.006132385113170757,0.9553076962890119,0.9726722219346825
gptoss120b,2,214,10,mts,0.9502690606851724,0.007661588958295575,0.9319622782247323,0.9582822739623849
gptoss120b,2,214,10,toolace,0.8145133105294468,0.011068618767426998,0.7884443783462225,0.8277067221891731
gptoss120b,2,214,10,mean,0.9245080143240145,0.004801935016556348,0.9142881883908948,0.9304460088183686
gptoss120b,3,140,10,anthropic,0.9670487062635317,0.0030908663031212697,0.9624407636754531,0.9730578812699662
gptoss120b,3,140,10,mt,0.9754619326121835,0.003971868522397939,0.9669789348377413,0.9815226955126547
gptoss120b,3,140,10,mts,0.9538307848047312,0.004502261286808462,0.9457083488731419,0.9619052693270819
gptoss120b,3,140,10,toolace,0.8319824509220701,0.012234194970087665,0.8149724866151099,0.854420731707317
gptoss120b,3,140,10,mean,0.9320809686506291,0.004138836263750431,0.9226576109035016,0.936577794572377
