round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic,0.9526393283774167,0.867704280155642,0.5389105058365758,0.01
iter0,mt,0.8095077894518916,0.5107913669064749,0.0,0.01
iter0,mts,0.948905109489051,0.7335766423357665,0.45255474452554745,0.01
iter0,toolace,0.72689247471743,0.6524390243902439,0.15853658536585366,0.01
iter0,mean,0.8594861755089473,0.6911278284470318,0.2875004589319942,0.01
iter1,anthropic,0.9204586746203577,0.7402723735408561,0.4357976653696498,0.01
iter1,mt,0.9459396511567725,0.7949640287769785,0.35251798561151076,0.01
iter1,mts,0.8900047951409238,0.6058394160583942,0.29927007299270075,0.01
iter1,toolace,0.7774576145151695,0.5152439024390244,0.16463414634146342,0.01
iter1,mean,0.8834651838583059,0.6640799302038133,0.31305496757883117,0.01
iter2,anthropic,0.9680786234462293,0.8881322957198443,0.5700389105058365,0.01
iter2,mt,0.9301019615961906,0.7985611510791367,0.09352517985611511,0.01
iter2,mts,0.9560711812030476,0.7956204379562044,0.583941605839416,0.01
iter2,toolace,0.8021081201665675,0.5060975609756098,0.18292682926829268,0.01
iter2,mean,0.9140899716030088,0.7471028614326987,0.35760813136741504,0.01
iter3,anthropic,0.9613222758860845,0.8861867704280155,0.5155642023346303,0.01
iter3,mt,0.9336732053206355,0.7985611510791367,0.08633093525179857,0.01
iter3,mts,0.9467739357451116,0.7773722627737226,0.3284671532846715,0.01
iter3,toolace,0.765002230814991,0.5030487804878049,0.14634146341463414,0.01
iter3,mean,0.9016929119417056,0.7412922411921699,0.2691759385714336,0.01
