round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_hh_balanced,0.8795461406320753,0.6142761394101877,0.0,0.01
iter0,mt_balanced,0.8876090960922766,0.5480132450331126,0.1390728476821192,0.01
iter0,mts_balanced,0.8799351000540833,0.7325581395348837,0.0,0.01
iter0,toolace_balanced,0.6999420888120039,0.5640326975476839,0.09264305177111716,0.01
iter0,mean,0.8367581063976098,0.6147200553814669,0.057928974863309085,0.01
iter1,anthropic_hh_balanced,0.9532668422830609,0.886058981233244,0.5831099195710456,0.01
iter1,mt_balanced,0.9531051269681154,0.8278145695364238,0.423841059602649,0.01
iter1,mts_balanced,0.9221200648999458,0.8837209302325582,0.0,0.01
iter1,toolace_balanced,0.783452991706821,0.5286103542234333,0.15258855585831063,0.01
iter1,mean,0.9029862564644858,0.7815512088064148,0.2898848837580013,0.01
iter2,anthropic_hh_balanced,0.9648076155941608,0.8374664879356568,0.5663538873994638,0.01
iter2,mt_balanced,0.8856354984430508,0.6705298013245033,0.0,0.01
iter2,mts_balanced,0.9115738236884802,0.8255813953488372,0.0,0.01
iter2,toolace_balanced,0.8372324391746914,0.5381471389645777,0.16076294277929154,0.01
iter2,mean,0.8998123442250958,0.7179312058933938,0.18177920754468885,0.01
iter3,anthropic_hh_balanced,0.9558846915452567,0.8605898123324397,0.5650134048257373,0.01
iter3,mt_balanced,0.896391605631332,0.7251655629139073,0.0,0.01
iter3,mts_balanced,0.942671714440238,0.8953488372093024,0.0,0.01
iter3,toolace_balanced,0.8532879448210321,0.6049046321525886,0.17166212534059946,0.01
iter3,mean,0.9120589891094647,0.7715022111520595,0.18416888254158417,0.01
iter4,anthropic_hh_balanced,0.9698245423312177,0.9152144772117963,0.7131367292225201,0.01
iter4,mt_balanced,0.907482127976843,0.8195364238410596,0.40397350993377484,0.01
iter4,mts_balanced,0.9334775554353704,0.8372093023255814,0.0,0.01
iter4,toolace_balanced,0.8321837715032409,0.5517711171662125,0.17438692098092642,0.01
iter4,mean,0.910741999311668,0.7809328301361624,0.32287429003430534,0.01
iter5,anthropic_hh_balanced,0.9641263683344233,0.8827077747989276,0.6025469168900804,0.01
iter5,mt_balanced,0.9078658830753037,0.8460264900662252,0.4105960264900662,0.01
iter5,mts_balanced,0.9515954570037858,0.8255813953488372,0.0,0.01
iter5,toolace_balanced,0.8344111248877042,0.5681198910081744,0.2125340599455041,0.01
iter5,mean,0.9144997083253041,0.780608887805541,0.3064192508314127,0.01
iter6,anthropic_hh_balanced,0.9630226264833357,0.8900804289544236,0.589142091152815,0.01
iter6,mt_balanced,0.9043298539537739,0.8245033112582781,0.4139072847682119,0.01
iter6,mts_balanced,0.9415900486749594,0.8255813953488372,0.0,0.01
iter6,toolace_balanced,0.8390625812055921,0.5517711171662125,0.3242506811989101,0.01
iter6,mean,0.9120012775794153,0.7729840631819378,0.3318250142799843,0.01
iter7,anthropic_hh_balanced,0.9386866235651805,0.8310991957104558,0.4242627345844504,0.01
iter7,mt_balanced,0.887000570150432,0.7880794701986755,0.0,0.01
iter7,mts_balanced,0.9548404542996215,0.8604651162790697,0.0,0.01
iter7,toolace_balanced,0.8381048192502729,0.5572207084468664,0.19346049046321526,0.01
iter7,mean,0.9046581168163768,0.7592161226587668,0.1544308062619164,0.01
iter8,anthropic_hh_balanced,0.9558512244032515,0.8739946380697051,0.5723860589812333,0.01
iter8,mt_balanced,0.8991053023990176,0.7417218543046358,0.0,0.01
iter8,mts_balanced,0.942671714440238,0.8372093023255814,0.0,0.01
iter8,toolace_balanced,0.7961526182539034,0.55858310626703,0.12806539509536785,0.01
iter8,mean,0.8984452148741027,0.7528772252417381,0.17511286351915029,0.01
iter9,anthropic_hh_balanced,0.9579012553098204,0.8954423592493298,0.5308310991957105,0.01
iter9,mt_balanced,0.8994726108504012,0.7516556291390728,0.0,0.01
iter9,mts_balanced,0.9437533802055165,0.872093023255814,0.0,0.01
iter9,toolace_balanced,0.7929043945682275,0.5653950953678474,0.1335149863760218,0.01
iter9,mean,0.8985079102334914,0.771146526753016,0.16608652139293306,0.01
iter10,anthropic_hh_balanced,0.9529353154266904,0.8920911528150134,0.47788203753351205,0.01
iter10,mt_balanced,0.9222512170518837,0.7582781456953642,0.0,0.01
iter10,mts_balanced,0.9697133585722012,0.9186046511627907,0.0,0.01
iter10,toolace_balanced,0.7859216417079347,0.6021798365122616,0.1008174386920981,0.01
iter10,mean,0.9077053831896775,0.7927884465463575,0.14467486905640253,0.01
