round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic,0.9528493996881103,0.8647859922178989,0.5369649805447471,0.01
iter0,mt,0.8103100253610062,0.5107913669064749,0.0,0.01
iter0,mts,0.9486919921146572,0.7335766423357665,0.4233576642335766,0.01
iter0,toolace,0.7267623438429507,0.649390243902439,0.15853658536585366,0.01
iter0,mean,0.8596534402516811,0.6896360613406448,0.27971480753604433,0.01
iter1,anthropic,0.9645320141107359,0.9007782101167315,0.6536964980544747,0.01
iter1,mt,0.9623725480047617,0.737410071942446,0.4892086330935252,0.01
iter1,mts,0.9608130427833129,0.8686131386861314,0.3284671532846715,0.01
iter1,toolace,0.7183596073765617,0.5213414634146342,0.17073170731707318,0.01
iter1,mean,0.9015193030688431,0.7570357210399858,0.4105259979374361,0.01
iter2,anthropic,0.9656599645717574,0.9085603112840467,0.5680933852140078,0.01
iter2,mt,0.9774597588116557,0.8633093525179856,0.5323741007194245,0.01
iter2,mts,0.9609728808141085,0.8613138686131386,0.3357664233576642,0.01
iter2,toolace,0.7273200475907199,0.5152439024390244,0.1524390243902439,0.01
iter2,mean,0.9078531629470604,0.7871068587135488,0.3971682334203351,0.01
iter3,anthropic,0.9648234643976442,0.9075875486381323,0.6459143968871596,0.01
iter3,mt,0.9766834014802547,0.9172661870503597,0.4460431654676259,0.01
iter3,mts,0.9571367680750172,0.8467153284671532,0.25547445255474455,0.01
iter3,toolace,0.7155153182629388,0.5121951219512195,0.09146341463414634,0.01
iter3,mean,0.9035397380539638,0.7959410465267162,0.3597238573859191,0.01
