round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic,0.9528493996881103,0.8647859922178989,0.5369649805447471,0.01
iter0,mt,0.8103100253610062,0.5107913669064749,0.0,0.01
iter0,mts,0.9486919921146572,0.7335766423357665,0.4233576642335766,0.01
iter0,toolace,0.7267623438429507,0.649390243902439,0.15853658536585366,0.01
iter0,mean,0.8596534402516811,0.6896360613406448,0.27971480753604433,0.01
iter1,anthropic,0.9660460415751942,0.9085603112840467,0.5214007782101168,0.01
iter1,mt,0.956989803840381,0.8525179856115108,0.0,0.01
iter1,mts,0.9509563642175928,0.8576642335766423,0.4744525547445255,0.01
iter1,toolace,0.8010484830458061,0.5609756097560976,0.27439024390243905,0.01
iter1,mean,0.9187601731697436,0.7949295350570743,0.31756089421427036,0.01
iter2,anthropic,0.9684930884646248,0.9075875486381323,0.6926070038910506,0.01
iter2,mt,0.9619326121836344,0.7302158273381295,0.0,0.01
iter2,mts,0.9386488358463424,0.8576642335766423,0.40875912408759124,0.01
iter2,toolace,0.8123326888756692,0.5182926829268293,0.13414634146341464,0.01
iter2,mean,0.9203518063425677,0.7534400731199333,0.30887811736051407,0.01
iter3,anthropic,0.9730465260639828,0.914396887159533,0.7042801556420234,0.01
iter3,mt,0.955307696289012,0.8489208633093526,0.39568345323741005,0.01
iter3,mts,0.9469071341041078,0.8686131386861314,0.32116788321167883,0.01
iter3,toolace,0.8572836109458656,0.5365853658536586,0.23780487804878048,0.01
iter3,mean,0.9331362418507421,0.7921290637521688,0.4147340925349732,0.01
