round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic_hh_balanced,0.8223743791732854,0.5060321715817694,0.08780160857908847,0.01
iter0,mt_balanced,0.8030842945484846,0.6870860927152318,0.1390728476821192,0.01
iter0,mts_balanced,0.8658734451054624,0.5,0.0,0.01
iter0,toolace_balanced,0.7320085530369963,0.5258855585831063,0.16621253405994552,0.01
iter0,mean,0.8058351679660571,0.5547509557200269,0.0982717475802883,0.01
iter1,anthropic_hh_balanced,0.8992299861998576,0.7245308310991957,0.30361930294906164,0.01
iter1,mt_balanced,0.8541182404280515,0.7632450331125827,0.2052980132450331,0.01
iter1,mts_balanced,0.9280692266089777,0.813953488372093,0.0,0.01
iter1,toolace_balanced,0.8054815166791646,0.555858310626703,0.27520435967302453,0.01
iter1,mean,0.8717247424790129,0.7143969158026435,0.1960304189667798,0.01
iter2,anthropic_hh_balanced,0.8816662503863322,0.6833109919571045,0.25335120643431636,0.01
iter2,mt_balanced,0.8848296127362835,0.75,0.4304635761589404,0.01
iter2,mts_balanced,0.9505137912385072,0.7558139534883721,0.0,0.01
iter2,toolace_balanced,0.766142743653899,0.5572207084468664,0.20708446866485014,0.01
iter2,mean,0.8707880995037554,0.6865864134730858,0.22272481281452672,0.01
iter3,anthropic_hh_balanced,0.7595004007072573,0.5382037533512064,0.08310991957104558,0.01
iter3,mt_balanced,0.9097188719792991,0.804635761589404,0.34105960264900664,0.01
iter3,mts_balanced,0.9626825310978907,0.7906976744186046,0.0,0.01
iter3,toolace_balanced,0.8019326002865862,0.5286103542234333,0.22070844686648503,0.01
iter3,mean,0.8584586010177583,0.6655368858956621,0.16121949227163432,0.01
iter4,anthropic_hh_balanced,0.893629293677091,0.6457774798927614,0.346514745308311,0.01
iter4,mt_balanced,0.838027937371168,0.7582781456953642,0.17880794701986755,0.01
iter4,mts_balanced,0.9067063277447269,0.7790697674418605,0.0,0.01
iter4,toolace_balanced,0.7863337020840603,0.5367847411444142,0.15803814713896458,0.01
iter4,mean,0.8561743152192616,0.6799775335436,0.17084020986678577,0.01
iter5,anthropic_hh_balanced,0.8686571904491515,0.6146112600536193,0.2707774798927614,0.01
iter5,mt_balanced,0.774576772948555,0.7201986754966887,0.0,0.01
iter5,mts_balanced,0.9050838290968091,0.7674418604651163,0.0,0.01
iter5,toolace_balanced,0.7781333293735939,0.5326975476839237,0.16621253405994552,0.01
iter5,mean,0.8316127804670272,0.658737335924837,0.10924750348817673,0.01
iter6,anthropic_hh_balanced,0.8948482613258198,0.6444369973190348,0.29088471849865954,0.01
iter6,mt_balanced,0.870619709661857,0.7615894039735099,0.30132450331125826,0.01
iter6,mts_balanced,0.9129259058950785,0.6976744186046512,0.0,0.01
iter6,toolace_balanced,0.7620369889152048,0.5217983651226158,0.14713896457765668,0.01
iter6,mean,0.8601077164494901,0.6563747962549529,0.1848370465968936,0.01
iter7,anthropic_hh_balanced,0.8979526195113886,0.6846514745308311,0.3438337801608579,0.01
iter7,mt_balanced,0.8254626990044296,0.7566225165562914,0.0,0.01
iter7,mts_balanced,0.9177934018388318,0.7674418604651163,0.0,0.01
iter7,toolace_balanced,0.7456176822160682,0.5204359673024523,0.2125340599455041,0.01
iter7,mean,0.8467066006426797,0.6822879547136728,0.1390919600265905,0.01
iter8,anthropic_hh_balanced,0.8812799182772821,0.635053619302949,0.25536193029490617,0.01
iter8,mt_balanced,0.7986930397789571,0.7003311258278145,0.0,0.01
iter8,mts_balanced,0.9150892374256354,0.7558139534883721,0.0,0.01
iter8,toolace_balanced,0.7806613754649601,0.5504087193460491,0.2016348773841962,0.01
iter8,mean,0.8439308927367086,0.6604018544912962,0.11424920191977558,0.01
iter9,anthropic_hh_balanced,0.9069692066355686,0.724195710455764,0.23726541554959785,0.01
iter9,mt_balanced,0.868180123678786,0.7814569536423841,0.0,0.01
iter9,mts_balanced,0.9226608977825852,0.8255813953488372,0.0,0.01
iter9,toolace_balanced,0.7428186414629256,0.5504087193460491,0.19346049046321526,0.01
iter9,mean,0.8601572173899664,0.7204106946982586,0.10768147650320328,0.01
iter10,anthropic_hh_balanced,0.9072436821223469,0.6936997319034852,0.24262734584450402,0.01
iter10,mt_balanced,0.8511742906012894,0.7665562913907285,0.22185430463576158,0.01
iter10,mts_balanced,0.8999459167117361,0.813953488372093,0.0,0.01
iter10,toolace_balanced,0.7484389965030551,0.5408719346049047,0.12534059945504086,0.01
iter10,mean,0.8517007214846068,0.7037703615678028,0.1474555624838266,0.01
