round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic,0.8577590122484823,0.7879377431906615,0.2782101167315175,0.01
iter0,mt,0.7065110501526837,0.5,0.0,0.01
iter0,mts,0.9084128083542011,0.6642335766423357,0.31386861313868614,0.01
iter0,toolace,0.7643143961927426,0.7073170731707317,0.06707317073170732,0.01
iter0,mean,0.8092493167370274,0.6648720982509322,0.16478797515047777,0.01
iter1,anthropic,0.8239110357461884,0.745136186770428,0.17704280155642024,0.01
iter1,mt,0.7626158066352673,0.5215827338129496,0.0,0.01
iter1,mts,0.8465288507645586,0.7445255474452555,0.08029197080291971,0.01
iter1,toolace,0.6055175490779298,0.5853658536585366,0.0,0.01
iter1,mean,0.759643310555986,0.6491525804217925,0.06433369308983498,0.01
iter2,anthropic,0.9522248633590213,0.7772373540856031,0.46303501945525294,0.01
iter2,mt,0.7847678691579111,0.7014388489208633,0.007194244604316547,0.01
iter2,mts,0.8746869838563589,0.656934306569343,0.145985401459854,0.01
iter2,toolace,0.7029112135633552,0.5060975609756098,0.012195121951219513,0.01
iter2,mean,0.8286477324841616,0.6604270176378548,0.15710244686766076,0.01
iter3,anthropic,0.8901819103998547,0.7062256809338522,0.11089494163424124,0.01
iter3,mt,0.7451736452564567,0.6654676258992805,0.014388489208633094,0.01
iter3,mts,0.738691459321221,0.6131386861313869,0.051094890510948905,0.01
iter3,toolace,0.6671252230814991,0.5182926829268293,0.03048780487804878,0.01
iter3,mean,0.7602930595147578,0.6257811689728372,0.051716531557968,0.01
