round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,anthropic,0.8580296446577542,0.7879377431906615,0.2704280155642023,0.01
iter0,mt,0.7001449200351949,0.5,0.0,0.01
iter0,mts,0.9080132132772124,0.6715328467153284,0.32116788321167883,0.01
iter0,toolace,0.7638496430696016,0.7073170731707317,0.06707317073170732,0.01
iter0,mean,0.8075093552599407,0.6666969157691804,0.16466726737689713,0.01
iter1,anthropic,0.8957648866750443,0.7422178988326849,0.24319066147859922,0.01
iter1,mt,0.8607214947466487,0.5035971223021583,0.18705035971223022,0.01
iter1,mts,0.9131546699344665,0.8321167883211679,0.021897810218978103,0.01
iter1,toolace,0.80755502676978,0.5762195121951219,0.17073170731707318,0.01
iter1,mean,0.8692990195314849,0.6635378304127832,0.15571763468172017,0.01
iter2,anthropic,0.9336269284924829,0.7986381322957199,0.33852140077821014,0.01
iter2,mt,0.8798716422545416,0.5251798561151079,0.1366906474820144,0.01
iter2,mts,0.9388619532207363,0.8613138686131386,0.043795620437956206,0.01
iter2,toolace,0.8098787923854848,0.5670731707317073,0.1951219512195122,0.01
iter2,mean,0.8905598290883113,0.6880512569389184,0.17853240497942324,0.01
iter3,anthropic,0.9365281836212509,0.8122568093385214,0.33852140077821014,0.01
iter3,mt,0.9222348739713266,0.5899280575539568,0.07913669064748201,0.01
iter3,mts,0.9344930470456604,0.8686131386861314,0.072992700729927,0.01
iter3,toolace,0.8120166567519334,0.551829268292683,0.21341463414634146,0.01
iter3,mean,0.9013181903475429,0.7056568184678231,0.17601635657549014,0.01
