validation,arm,sign,iterations,redteam_successes,dataset,auroc,accuracy,tpr_at_fpr,fpr
trainsplit,arm1,positive,0 1 4 6 7 9,180,anthropic_hh_balanced,0.9740160211027177,0.921916890080429,0.0,0.01
trainsplit,arm1,positive,0 1 4 6 7 9,180,mt_balanced,0.9072080171922284,0.8443708609271523,0.0,0.01
trainsplit,arm1,positive,0 1 4 6 7 9,180,mts_balanced,0.9537587885343428,0.9418604651162791,0.0,0.01
trainsplit,arm1,positive,0 1 4 6 7 9,180,toolace_balanced,0.8484731492549503,0.5463215258855586,0.23705722070844687,0.01
trainsplit,arm1,positive,0 1 4 6 7 9,180,mean,0.9208639940210598,0.8136174355023547,0.05926430517711172,0.01
trainsplit,arm1,full,0 1 2 3 4 5 6 7 8 9,279,anthropic_hh_balanced,0.9543867561759231,0.8716487935656837,0.4550938337801609,0.01
trainsplit,arm1,full,0 1 2 3 4 5 6 7 8 9,279,mt_balanced,0.8858054471295119,0.7798013245033113,0.076158940397351,0.01
trainsplit,arm1,full,0 1 2 3 4 5 6 7 8 9,279,mts_balanced,0.9488912925905895,0.8837209302325582,0.0,0.01
trainsplit,arm1,full,0 1 2 3 4 5 6 7 8 9,279,toolace_balanced,0.8190906458582364,0.5517711171662125,0.20435967302452315,0.01
trainsplit,arm1,full,0 1 2 3 4 5 6 7 8 9,279,mean,0.9020435354385652,0.7717355413669413,0.18390311180050878,0.01
trainsplit,arm2,full,0 1 2 3 4 5 6 7 8 9,204,anthropic_hh_balanced,0.9377596511151522,0.8079758713136729,0.3491957104557641,0.01
trainsplit,arm2,full,0 1 2 3 4 5 6 7 8 9,204,mt_balanced,0.9379029428533836,0.8460264900662252,0.48013245033112584,0.01
trainsplit,arm2,full,0 1 2 3 4 5 6 7 8 9,204,mts_balanced,0.9253650621957814,0.7906976744186046,0.0,0.01
trainsplit,arm2,full,0 1 2 3 4 5 6 7 8 9,204,toolace_balanced,0.782651144488414,0.5463215258855586,0.1307901907356948,0.01
trainsplit,arm2,full,0 1 2 3 4 5 6 7 8 9,204,mean,0.8959197001631828,0.7477553904210154,0.24002958788064616,0.01
trainsplit,arm3,full,0 1 2 3 4 5 6 7 8 9,246,anthropic_hh_balanced,0.9503590193273869,0.8746648793565683,0.5475871313672922,0.01
trainsplit,arm3,full,0 1 2 3 4 5 6 7 8 9,246,mt_balanced,0.8345576948379457,0.706953642384106,0.0,0.01
trainsplit,arm3,full,0 1 2 3 4 5 6 7 8 9,246,mts_balanced,0.9356408869659275,0.8255813953488372,0.0,0.01
trainsplit,arm3,full,0 1 2 3 4 5 6 7 8 9,246,toolace_balanced,0.7713770241073881,0.5463215258855586,0.07084468664850137,0.01
trainsplit,arm3,full,0 1 2 3 4 5 6 7 8 9,246,mean,0.872983656309662,0.7383803607437676,0.1546079545039484,0.01
trainsplit,arm4,full,0 1 2 3 4 5 6 7 8 9,250,anthropic_hh_balanced,0.8798511633088718,0.6947050938337802,0.2620643431635389,0.01
trainsplit,arm4,full,0 1 2 3 4 5 6 7 8 9,250,mt_balanced,0.9440485066444454,0.8377483443708609,0.17549668874172186,0.01
trainsplit,arm4,full,0 1 2 3 4 5 6 7 8 9,250,mts_balanced,0.9675500270416441,0.8837209302325582,0.0,0.01
trainsplit,arm4,full,0 1 2 3 4 5 6 7 8 9,250,toolace_balanced,0.7384790146188627,0.5149863760217984,0.18528610354223432,0.01
trainsplit,arm4,full,0 1 2 3 4 5 6 7 8 9,250,mean,0.882482177903456,0.7327901861147494,0.15571178386187376,0.01
trainsplit,arm5,full,0 1 2 3 4 5 6 7 8 9,164,anthropic_hh_balanced,0.9400111587088242,0.8230563002680965,0.44906166219839144,0.01
trainsplit,arm5,full,0 1 2 3 4 5 6 7 8 9,164,mt_balanced,0.8995109863602473,0.7052980132450332,0.3079470198675497,0.01
trainsplit,arm5,full,0 1 2 3 4 5 6 7 8 9,164,mts_balanced,0.981611681990265,0.9302325581395349,0.0,0.01
trainsplit,arm5,full,0 1 2 3 4 5 6 7 8 9,164,toolace_balanced,0.8414495615826088,0.6430517711171662,0.25885558583106266,0.01
trainsplit,arm5,full,0 1 2 3 4 5 6 7 8 9,164,mean,0.9156458471604864,0.7754096606924576,0.25396606697425095,0.01
trainsplit,arm6,full,0 1 2 3 4 5 6 7 8 9,29,anthropic_hh_balanced,0.8939257811096177,0.6769436997319035,0.20107238605898123,0.01
trainsplit,arm6,full,0 1 2 3 4 5 6 7 8 9,29,mt_balanced,0.8869347835621246,0.6208609271523179,0.25496688741721857,0.01
trainsplit,arm6,full,0 1 2 3 4 5 6 7 8 9,29,mts_balanced,0.9570037858301784,0.8837209302325582,0.0,0.01
trainsplit,arm6,full,0 1 2 3 4 5 6 7 8 9,29,toolace_balanced,0.8616776425691778,0.5694822888283378,0.3024523160762943,0.01
trainsplit,arm6,full,0 1 2 3 4 5 6 7 8 9,29,mean,0.8998854982677746,0.6877519614862794,0.18962289738812352,0.01
trainsplit,arm7,full,0 1 2 3 4 5 6 7 8 9,357,anthropic_hh_balanced,0.9362769893408276,0.7717828418230563,0.35723860589812334,0.01
trainsplit,arm7,full,0 1 2 3 4 5 6 7 8 9,357,mt_balanced,0.7491612209990789,0.6986754966887417,0.0,0.01
trainsplit,arm7,full,0 1 2 3 4 5 6 7 8 9,357,mts_balanced,0.8144943212547324,0.6162790697674418,0.0,0.01
trainsplit,arm7,full,0 1 2 3 4 5 6 7 8 9,357,toolace_balanced,0.7521809501889538,0.5858310626702997,0.1008174386920981,0.01
trainsplit,arm7,full,0 1 2 3 4 5 6 7 8 9,357,mean,0.8130283704458982,0.668142117737385,0.11451401114755536,0.01
trainsplit,arm8,full,0 1 2 3 4 5 6 7 8 9,243,anthropic_hh_balanced,0.8967900293971781,0.7020777479892761,0.2687667560321716,0.01
trainsplit,arm8,full,0 1 2 3 4 5 6 7 8 9,243,mt_balanced,0.8414378755317748,0.7433774834437086,0.0,0.01
trainsplit,arm8,full,0 1 2 3 4 5 6 7 8 9,243,mts_balanced,0.9448350459707949,0.8255813953488372,0.0,0.01
trainsplit,arm8,full,0 1 2 3 4 5 6 7 8 9,243,toolace_balanced,0.7740127256123365,0.5681198910081744,0.1553133514986376,0.01
trainsplit,arm8,full,0 1 2 3 4 5 6 7 8 9,243,mean,0.8642689191280211,0.7097891294474992,0.10602002688270229,0.01
