arm,vintage,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
gptoss120b,0,0,eval_ai_dilemmas,0.49178200692041524,0.49210640138408307
gptoss120b,0,0,eval_ant_hh,0.48396079304967704,0.4838494096680775
gptoss120b,0,0,eval_balanced_refusal,0.60135,0.6014875
gptoss120b,0,0,eval_daily_dilemmas,0.5426384839650146,0.543731778425656
gptoss120b,0,0,mean,0.5299328209837767,0.5302937723694542
gptoss120b,1,356,eval_ai_dilemmas,0.9077638408304498,0.9077638408304499
gptoss120b,1,356,eval_ant_hh,0.7060592559590109,0.707507239919804
gptoss120b,1,356,eval_balanced_refusal,0.9252625,0.9252624999999999
gptoss120b,1,356,eval_daily_dilemmas,0.9682944606413995,0.9682944606413993
gptoss120b,1,356,mean,0.876845014357715,0.8772070103479134
gptoss120b,2,546,eval_ai_dilemmas,0.9949178200692042,0.9949178200692042
gptoss120b,2,546,eval_ant_hh,0.7440409890844286,0.7527288928491869
gptoss120b,2,546,eval_balanced_refusal,0.9154749999999999,0.9154749999999999
gptoss120b,2,546,eval_daily_dilemmas,0.9944814660558101,0.99448146605581
gptoss120b,2,546,mean,0.9122288188023606,0.9144007947435502
gptoss120b,3,778,eval_ai_dilemmas,0.9901600346020761,0.9974048442906575
gptoss120b,3,778,eval_ant_hh,0.7494987747828026,0.7582980619291603
gptoss120b,3,778,eval_balanced_refusal,0.8697999999999999,0.8698250000000001
gptoss120b,3,778,eval_daily_dilemmas,0.9815701790920449,0.9842253227821741
gptoss120b,3,778,mean,0.8977572471192308,0.902438307250498
deepseekv4pro,0,0,eval_ai_dilemmas,0.49178200692041524,0.49210640138408307
deepseekv4pro,0,0,eval_ant_hh,0.48396079304967704,0.4838494096680775
deepseekv4pro,0,0,eval_balanced_refusal,0.60135,0.6014875
deepseekv4pro,0,0,eval_daily_dilemmas,0.5426384839650146,0.543731778425656
deepseekv4pro,0,0,mean,0.5299328209837767,0.5302937723694542
deepseekv4pro,1,368,eval_ai_dilemmas,0.8179065743944637,0.8179065743944637
deepseekv4pro,1,368,eval_ant_hh,0.7590777456003563,0.7617509467587436
deepseekv4pro,1,368,eval_balanced_refusal,0.8433875,0.8433875000000001
deepseekv4pro,1,368,eval_daily_dilemmas,0.979591836734694,0.9795918367346939
deepseekv4pro,1,368,mean,0.8499909141823785,0.8506592144719753
deepseekv4pro,2,706,eval_ai_dilemmas,0.9868079584775086,0.9868079584775086
deepseekv4pro,2,706,eval_ant_hh,0.7366896858988639,0.7382490532412563
deepseekv4pro,2,706,eval_balanced_refusal,0.885175,0.885175
deepseekv4pro,2,706,eval_daily_dilemmas,0.9796959600166597,0.9795918367346939
deepseekv4pro,2,706,mean,0.8970921510982579,0.8974559621133646
deepseekv4pro,3,878,eval_ai_dilemmas,0.9812932525951557,0.9812932525951557
deepseekv4pro,3,878,eval_ant_hh,0.7098462909333928,0.7114056582757853
deepseekv4pro,3,878,eval_balanced_refusal,0.9687625,0.9687625
deepseekv4pro,3,878,eval_daily_dilemmas,0.9850062473969179,0.9850062473969179
deepseekv4pro,3,878,mean,0.9112270727313666,0.9116169145669647
