arm,vintage,n_redteam_rows,n_seeds,dataset,mean,sd,min,max
deepseekv4pro,0,0,10,eval_ai_dilemmas,0.5007569204152249,0.03201670108622013,0.4470155709342561,0.5621756055363322
deepseekv4pro,0,0,10,eval_ant_hh,0.4500891067052796,0.07272987886093947,0.381042548451771,0.6214078859434172
deepseekv4pro,0,0,10,eval_balanced_refusal,0.42118374999999997,0.21543469057817471,0.10350000000000001,0.7774874999999999
deepseekv4pro,0,0,10,eval_daily_dilemmas,0.5267909204498127,0.03891265658988857,0.479487713452728,0.5917846730528946
deepseekv4pro,0,0,10,mean,0.4747051743925793,0.06330222062511585,0.36720208238828456,0.5666247503347621
deepseekv4pro,1,368,10,eval_ai_dilemmas,0.8256487889273355,0.040431512228642164,0.764273356401384,0.8724048442906575
deepseekv4pro,1,368,10,eval_ant_hh,0.7289039875250614,0.015612354310495836,0.7029405212742259,0.7590777456003563
deepseekv4pro,1,368,10,eval_balanced_refusal,0.8415587500000001,0.02815268393683307,0.8073750000000001,0.8900374999999998
deepseekv4pro,1,368,10,eval_daily_dilemmas,0.9713556851311951,0.014798063937871055,0.9409620991253644,0.9842773844231569
deepseekv4pro,1,368,10,mean,0.8418668028958981,0.013997471712561372,0.8171169072625273,0.8675062410116778
deepseekv4pro,2,706,10,eval_ai_dilemmas,0.9335532006920417,0.062192084262962695,0.8264489619377163,0.9890787197231834
deepseekv4pro,2,706,10,eval_ant_hh,0.7278903987525062,0.012269148992387792,0.7048340387614168,0.7431499220316328
deepseekv4pro,2,706,10,eval_balanced_refusal,0.90041375,0.040811259105688794,0.842225,0.9555499999999999
deepseekv4pro,2,706,10,eval_daily_dilemmas,0.9790556018325697,0.0062128370028409,0.967149104539775,0.9868284048313203
deepseekv4pro,2,706,10,mean,0.8852282378192793,0.02420418955748574,0.8392854614289073,0.9103451814347469
deepseekv4pro,3,878,10,eval_ai_dilemmas,0.9246756055363322,0.06607495958550852,0.7697880622837371,0.9844290657439446
deepseekv4pro,3,878,10,eval_ant_hh,0.7378480730674983,0.01564514307539245,0.7098462909333928,0.7614167966139452
deepseekv4pro,3,878,10,eval_balanced_refusal,0.8817325,0.054705363971206906,0.8169625,0.9687625
deepseekv4pro,3,878,10,eval_daily_dilemmas,0.9869585589337774,0.0018470676529418336,0.9841732611411911,0.9903165347771761
deepseekv4pro,3,878,10,mean,0.8828036843844019,0.02702232245407908,0.8320270128845234,0.9135647611635418
gptoss120b,0,0,10,eval_ai_dilemmas,0.5007569204152249,0.03201670108622013,0.4470155709342561,0.5621756055363322
gptoss120b,0,0,10,eval_ant_hh,0.4500891067052796,0.07272987886093947,0.381042548451771,0.6214078859434172
gptoss120b,0,0,10,eval_balanced_refusal,0.42118374999999997,0.21543469057817471,0.10350000000000001,0.7774874999999999
gptoss120b,0,0,10,eval_daily_dilemmas,0.5267909204498127,0.03891265658988857,0.479487713452728,0.5917846730528946
gptoss120b,0,0,10,mean,0.4747051743925793,0.06330222062511585,0.36720208238828456,0.5666247503347621
gptoss120b,1,356,10,eval_ai_dilemmas,0.9428741349480969,0.018637347153279735,0.9077638408304498,0.9685337370242214
gptoss120b,1,356,10,eval_ant_hh,0.7064713744709289,0.010759638505964593,0.6847850300735131,0.7155268433949656
gptoss120b,1,356,10,eval_balanced_refusal,0.9072012500000002,0.02645564057819766,0.842325,0.931125
gptoss120b,1,356,10,eval_daily_dilemmas,0.9709339858392336,0.005905780704101014,0.9578300708038318,0.9771970012494794
gptoss120b,1,356,10,mean,0.881870186314565,0.009036876515083074,0.8684345727528068,0.8961270293190146
gptoss120b,2,546,10,eval_ai_dilemmas,0.9870134083044985,0.019283041070835817,0.9351211072664359,0.9995674740484429
gptoss120b,2,546,10,eval_ant_hh,0.7444976609489864,0.015595215919070484,0.7183114279349522,0.7696591668523056
gptoss120b,2,546,10,eval_balanced_refusal,0.9234787499999999,0.02974083895481284,0.8452,0.954675
gptoss120b,2,546,10,eval_daily_dilemmas,0.9888900458142441,0.0038659210811166876,0.9799562682215743,0.9944814660558101
gptoss120b,2,546,10,mean,0.9109699662669322,0.010583285614337011,0.8918230637774399,0.9241411973188361
gptoss120b,3,778,10,eval_ai_dilemmas,0.9921820934256056,0.007872264426371131,0.972318339100346,0.9997837370242215
gptoss120b,3,778,10,eval_ant_hh,0.7359211405658276,0.0171671346978409,0.7006014702606372,0.7607484963243485
gptoss120b,3,778,10,eval_balanced_refusal,0.9335474999999999,0.035790675092977946,0.8697999999999999,0.9781124999999999
gptoss120b,3,778,10,eval_daily_dilemmas,0.9789046230737192,0.007093335695729624,0.9618908788004998,0.9861516034985423
gptoss120b,3,778,10,mean,0.9101388392662881,0.01139469078287681,0.884393904963612,0.9227339472102187
