round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.49156574394463676,0.5,0.0,0.01
iter0,eval_ant_hh,0.48396079304967704,0.5,0.0,0.01
iter0,eval_balanced_refusal,0.60175,0.5,0.03,0.01
iter0,eval_daily_dilemmas,0.5424822990420658,0.5,0.01020408163265306,0.01
iter0,mean,0.5299397090090949,0.5,0.010051020408163264,0.01
iter1,eval_ai_dilemmas,0.865484429065744,0.5,0.0,0.01
iter1,eval_ant_hh,0.7423702383604367,0.6716417910447762,0.0,0.01
iter1,eval_balanced_refusal,0.887575,0.775,0.67,0.01
iter1,eval_daily_dilemmas,0.979487713452728,0.8214285714285714,0.7959183673469388,0.01
iter1,mean,0.8687293452197271,0.6920175906183368,0.36647959183673473,0.01
iter2,eval_ai_dilemmas,0.9748053633217993,0.6102941176470589,0.6323529411764706,0.01
iter2,eval_ant_hh,0.7052795722878146,0.6716417910447762,0.0,0.01
iter2,eval_balanced_refusal,0.8463375,0.75,0.715,0.01
iter2,eval_daily_dilemmas,0.9769887546855476,0.8061224489795918,0.6632653061224489,0.01
iter2,mean,0.8758527975737904,0.7095145894178567,0.5026545618247298,0.01
iter3,eval_ai_dilemmas,0.9738321799307958,0.5955882352941176,0.5147058823529411,0.01
iter3,eval_ant_hh,0.7311205168188906,0.6940298507462687,0.0,0.01
iter3,eval_balanced_refusal,0.8579499999999999,0.765,0.71,0.01
iter3,eval_daily_dilemmas,0.989067055393586,0.8367346938775511,0.6122448979591837,0.01
iter3,mean,0.8879924380358181,0.7228381949794844,0.4592376950780312,0.01
