round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.8946799307958477,0.5514705882352942,0.4117647058823529,0.01
iter1,eval_ant_hh,0.696257518378258,0.6716417910447762,0.0,0.01
iter1,eval_balanced_refusal,0.9032125,0.7825,0.655,0.01
iter1,eval_daily_dilemmas,0.9689712619741775,0.8520408163265306,0.6938775510204082,0.01
iter1,mean,0.8657803027870707,0.7144132989016503,0.4401605642256903,0.01
iter2,eval_ai_dilemmas,0.9727508650519031,0.7132352941176471,0.4264705882352941,0.01
iter2,eval_ant_hh,0.7302294497660949,0.7238805970149254,0.0,0.01
iter2,eval_balanced_refusal,0.9037749999999999,0.8075,0.62,0.01
iter2,eval_daily_dilemmas,0.9815701790920449,0.8673469387755102,0.6224489795918368,0.01
iter2,mean,0.8970813734775107,0.7779907074770207,0.41722989195678273,0.01
iter3,eval_ai_dilemmas,0.9969723183391004,0.9779411764705882,0.8382352941176471,0.01
iter3,eval_ant_hh,0.7315660503452884,0.664179104477612,0.0,0.01
iter3,eval_balanced_refusal,0.81685,0.75,0.66,0.01
iter3,eval_daily_dilemmas,0.9778738025822573,0.8928571428571429,0.6938775510204082,0.01
iter3,mean,0.8808155428166615,0.8212443559513357,0.5480282112845138,0.01
iter4,eval_ai_dilemmas,0.9878892733564013,0.9705882352941176,0.7352941176470589,0.01
iter4,eval_ant_hh,0.7425930051236356,0.7014925373134329,0.0,0.01
iter4,eval_balanced_refusal,0.8126999999999999,0.7875,0.57,0.01
iter4,eval_daily_dilemmas,0.9582465639316953,0.8673469387755102,0.673469387755102,0.01
iter4,mean,0.875357210602933,0.8317319278457652,0.4946908763505402,0.01
iter5,eval_ai_dilemmas,0.9905925605536332,0.8676470588235294,0.9264705882352942,0.01
iter5,eval_ant_hh,0.7287814658053019,0.664179104477612,0.0,0.01
iter5,eval_balanced_refusal,0.8171875,0.57,0.605,0.01
iter5,eval_daily_dilemmas,0.943304872969596,0.7091836734693877,0.0,0.01
iter5,mean,0.8699665998321328,0.7027524591926323,0.38286764705882353,0.01
