round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter2,eval_ai_dilemmas,0.9377162629757786,0.7279411764705882,0.47058823529411764,0.01
iter2,eval_ant_hh,0.7257741145021164,0.6791044776119403,0.14925373134328357,0.01
iter2,eval_balanced_refusal,0.8178500000000001,0.69,0.505,0.01
iter2,eval_daily_dilemmas,0.9720949604331528,0.8979591836734694,0.3673469387755102,0.01
iter2,mean,0.863358834477762,0.7487512094389994,0.37304722635322785,0.01
iter3,eval_ai_dilemmas,0.9098183391003459,0.6691176470588235,0.5441176470588235,0.01
iter3,eval_ant_hh,0.6882379149030964,0.6343283582089553,0.08955223880597014,0.01
iter3,eval_balanced_refusal,0.8994125,0.685,0.595,0.01
iter3,eval_daily_dilemmas,0.9574656393169514,0.8571428571428571,0.41836734693877553,0.01
iter3,mean,0.8637335983300984,0.711397215602659,0.41175930820089224,0.01
iter4,eval_ai_dilemmas,0.8977076124567474,0.6029411764705882,0.4411764705882353,0.01
iter4,eval_ant_hh,0.6830028959679216,0.6119402985074627,0.05970149253731343,0.01
iter4,eval_balanced_refusal,0.90075,0.655,0.7,0.01
iter4,eval_daily_dilemmas,0.9372657226155768,0.7755102040816326,0.22448979591836735,0.01
iter4,mean,0.8546815577600614,0.6613479197649208,0.356341939760979,0.01
iter5,eval_ai_dilemmas,0.7893598615916955,0.5588235294117647,0.2647058823529412,0.01
iter5,eval_ant_hh,0.6740922254399644,0.6194029850746269,0.1044776119402985,0.01
iter5,eval_balanced_refusal,0.887125,0.6625,0.46,0.01
iter5,eval_daily_dilemmas,0.9290920449812579,0.7295918367346939,0.17346938775510204,0.01
iter5,mean,0.8199172830032295,0.6425795878052714,0.25066322051208545,0.01
