round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.8414792387543253,0.5294117647058824,0.4411764705882353,0.01
iter1,eval_ant_hh,0.7277790153709066,0.664179104477612,0.08955223880597014,0.01
iter1,eval_balanced_refusal,0.9179,0.6875,0.68,0.01
iter1,eval_daily_dilemmas,0.9447105372761349,0.6683673469387755,0.46938775510204084,0.01
iter1,mean,0.8579671978503417,0.6373645540305675,0.42002911612406163,0.01
