round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.9969723183391004,0.7941176470588235,0.0,0.01
iter0,eval_ant_hh,0.6970372020494542,0.5895522388059702,0.0,0.01
iter0,eval_balanced_refusal,0.8985000000000001,0.855,0.735,0.01
iter0,eval_daily_dilemmas,0.9892753019575177,0.9693877551020408,0.9081632653061225,0.01
iter0,mean,0.8954462055865181,0.8020144102417086,0.4107908163265306,0.01
iter1,eval_ai_dilemmas,0.7567041522491349,0.5,0.08823529411764706,0.01
iter1,eval_ant_hh,0.6909111160614835,0.6567164179104478,0.19402985074626866,0.01
iter1,eval_balanced_refusal,0.8311625,0.79,0.745,0.01
iter1,eval_daily_dilemmas,0.9656393169512703,0.6785714285714286,0.7857142857142857,0.01
iter1,mean,0.8111042713154721,0.6563219616204692,0.45324485764455036,0.01
iter2,eval_ai_dilemmas,0.7176686851211073,0.5,0.014705882352941176,0.01
iter2,eval_ant_hh,0.6869013143239029,0.6791044776119403,0.13432835820895522,0.01
iter2,eval_balanced_refusal,0.8505,0.76,0.755,0.01
iter2,eval_daily_dilemmas,0.9614743856726363,0.6785714285714286,0.0,0.01
iter2,mean,0.8041360962794116,0.6544189765458422,0.2260085601404741,0.01
iter3,eval_ai_dilemmas,0.8877595155709344,0.5367647058823529,0.5,0.01
iter3,eval_ant_hh,0.7000445533526397,0.664179104477612,0.11940298507462686,0.01
iter3,eval_balanced_refusal,0.83065,0.74,0.6,0.01
iter3,eval_daily_dilemmas,0.9389837567680133,0.7653061224489796,0.7346938775510204,0.01
iter3,mean,0.8393594564228968,0.6765624832022361,0.4885242156564118,0.01
iter4,eval_ai_dilemmas,0.9619377162629758,0.6617647058823529,0.75,0.01
iter4,eval_ant_hh,0.6901314323902874,0.6194029850746269,0.19402985074626866,0.01
iter4,eval_balanced_refusal,0.8711625,0.73,0.68,0.01
iter4,eval_daily_dilemmas,0.985006247396918,0.8010204081632653,0.7448979591836735,0.01
iter4,mean,0.8770594740125452,0.7030470247800613,0.5922319524824855,0.01
iter5,eval_ai_dilemmas,0.8894896193771628,0.5735294117647058,0.6029411764705882,0.01
iter5,eval_ant_hh,0.7234350634885275,0.7014925373134329,0.0,0.01
iter5,eval_balanced_refusal,0.766675,0.7825,0.665,0.01
iter5,eval_daily_dilemmas,0.9583506872136609,0.7704081632653061,0.6224489795918368,0.01
iter5,mean,0.8344875925198377,0.7069825280858613,0.4725975390156063,0.01
iter6,eval_ai_dilemmas,0.9878892733564015,0.7132352941176471,0.0,0.01
iter6,eval_ant_hh,0.7177545110269548,0.6940298507462687,0.19402985074626866,0.01
iter6,eval_balanced_refusal,0.797175,0.7775,0.71,0.01
iter6,eval_daily_dilemmas,0.9843815077051229,0.9132653061224489,0.826530612244898,0.01
iter6,mean,0.8718000730221197,0.7745076127465911,0.43264011574779165,0.01
iter7,eval_ai_dilemmas,0.9835640138408305,0.75,0.7058823529411765,0.01
iter7,eval_ant_hh,0.7151926932501671,0.6940298507462687,0.19402985074626866,0.01
iter7,eval_balanced_refusal,0.9421750000000001,0.7975,0.82,0.01
iter7,eval_daily_dilemmas,0.9850062473969179,0.9081632653061225,0.6938775510204082,0.01
iter7,mean,0.906484488621979,0.7874232790130977,0.6034474386769633,0.01
iter8,eval_ai_dilemmas,0.9777249134948097,0.6102941176470589,0.5882352941176471,0.01
iter8,eval_ant_hh,0.7239919803965248,0.7388059701492538,0.16417910447761194,0.01
iter8,eval_balanced_refusal,0.92025,0.765,0.81,0.01
iter8,eval_daily_dilemmas,0.986359850062474,0.8622448979591837,0.0,0.01
iter8,mean,0.9020816859884522,0.744086246438874,0.39060359964881475,0.01
iter9,eval_ai_dilemmas,0.990484429065744,0.75,0.7058823529411765,0.01
iter9,eval_ant_hh,0.726219648028514,0.7388059701492538,0.08955223880597014,0.01
iter9,eval_balanced_refusal,0.9369999999999999,0.7775,0.775,0.01
iter9,eval_daily_dilemmas,0.9857351103706788,0.9081632653061225,0.7653061224489796,0.01
iter9,mean,0.9098597968662342,0.7936173088638441,0.5839351785490315,0.01
iter10,eval_ai_dilemmas,0.986159169550173,0.6911764705882353,0.5,0.01
iter10,eval_ant_hh,0.7332368010692805,0.7313432835820896,0.1044776119402985,0.01
iter10,eval_balanced_refusal,0.938625,0.76,0.745,0.01
iter10,eval_daily_dilemmas,0.9858392336526447,0.9183673469387755,0.7653061224489796,0.01
iter10,mean,0.9109650510680246,0.775221775277275,0.5286959335973195,0.01
