round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.9969723183391004,0.7941176470588235,0.0,0.01
iter0,eval_ant_hh,0.6970372020494542,0.5895522388059702,0.0,0.01
iter0,eval_balanced_refusal,0.8985000000000001,0.855,0.735,0.01
iter0,eval_daily_dilemmas,0.9892753019575177,0.9693877551020408,0.9081632653061225,0.01
iter0,mean,0.8954462055865181,0.8020144102417086,0.4107908163265306,0.01
iter1,eval_ai_dilemmas,0.926038062283737,0.5073529411764706,0.0,0.01
iter1,eval_ant_hh,0.7222098462909334,0.6119402985074627,0.0,0.01
iter1,eval_balanced_refusal,0.852225,0.83,0.79,0.01
iter1,eval_daily_dilemmas,0.9781341107871719,0.8622448979591837,0.0,0.01
iter1,mean,0.8696517548404605,0.7028845344107792,0.1975,0.01
iter2,eval_ai_dilemmas,0.9850778546712803,0.6323529411764706,0.0,0.01
iter2,eval_ant_hh,0.7227667631989307,0.6716417910447762,0.0,0.01
iter2,eval_balanced_refusal,0.89505,0.8475,0.81,0.01
iter2,eval_daily_dilemmas,0.9847980008329863,0.9081632653061225,0.7959183673469388,0.01
iter2,mean,0.8969231546757993,0.7649144993818423,0.4014795918367347,0.01
iter3,eval_ai_dilemmas,0.7928200692041523,0.5,0.08823529411764706,0.01
iter3,eval_ant_hh,0.7241033637781243,0.664179104477612,0.0,0.01
iter3,eval_balanced_refusal,0.85385,0.8075,0.735,0.01
iter3,eval_daily_dilemmas,0.9666805497709288,0.6683673469387755,0.5102040816326531,0.01
iter3,mean,0.8343634956883013,0.6600116128540968,0.333359843937575,0.01
iter4,eval_ai_dilemmas,0.9191176470588236,0.5073529411764706,0.5294117647058824,0.01
iter4,eval_ant_hh,0.7002673201158388,0.6567164179104478,0.0,0.01
iter4,eval_balanced_refusal,0.8339000000000002,0.79,0.715,0.01
iter4,eval_daily_dilemmas,0.9720949604331528,0.7040816326530612,0.41836734693877553,0.01
iter4,mean,0.8563449819019539,0.664537747934995,0.4156947779111645,0.01
iter5,eval_ai_dilemmas,0.9714532871972318,0.5808823529411765,0.75,0.01
iter5,eval_ant_hh,0.7163065270661617,0.664179104477612,0.0,0.01
iter5,eval_balanced_refusal,0.8579,0.815,0.735,0.01
iter5,eval_daily_dilemmas,0.9806330695543524,0.8469387755102041,0.29591836734693877,0.01
iter5,mean,0.8815732209544365,0.7267500582322481,0.44522959183673466,0.01
iter6,eval_ai_dilemmas,0.8814878892733565,0.5,0.1323529411764706,0.01
iter6,eval_ant_hh,0.700824237023836,0.664179104477612,0.0,0.01
iter6,eval_balanced_refusal,0.837575,0.7675,0.65,0.01
iter6,eval_daily_dilemmas,0.9310703873386089,0.6020408163265306,0.12244897959183673,0.01
iter6,mean,0.8377393784089503,0.6334299802010356,0.22620048019207684,0.01
iter7,eval_ai_dilemmas,0.9524221453287197,0.5220588235294118,0.7058823529411765,0.01
iter7,eval_ant_hh,0.6978168857206505,0.6791044776119403,0.0,0.01
iter7,eval_balanced_refusal,0.84095,0.7925,0.62,0.01
iter7,eval_daily_dilemmas,0.9539775093710954,0.6836734693877551,0.32653061224489793,0.01
iter7,mean,0.8612916351051163,0.6693341926322768,0.4131032412965186,0.01
iter8,eval_ai_dilemmas,0.9333910034602076,0.5294117647058824,0.36764705882352944,0.01
iter8,eval_ant_hh,0.7135219425261751,0.6940298507462687,0.0,0.01
iter8,eval_balanced_refusal,0.83335,0.7925,0.685,0.01
iter8,eval_daily_dilemmas,0.9438775510204082,0.6683673469387755,0.1836734693877551,0.01
iter8,mean,0.8560351242516977,0.6710772405977317,0.30908013205282114,0.01
iter9,eval_ai_dilemmas,0.9448529411764706,0.6176470588235294,0.6617647058823529,0.01
iter9,eval_ant_hh,0.7526175094675874,0.6791044776119403,0.0,0.01
iter9,eval_balanced_refusal,0.85835,0.795,0.675,0.01
iter9,eval_daily_dilemmas,0.9674094127446897,0.7244897959183674,0.5612244897959183,0.01
iter9,mean,0.8808074658471869,0.7040603330884593,0.4744972989195678,0.01
iter10,eval_ai_dilemmas,0.9775086505190311,0.7132352941176471,0.0,0.01
iter10,eval_ant_hh,0.7543996435731789,0.6791044776119403,0.0,0.01
iter10,eval_balanced_refusal,0.865675,0.7825,0.69,0.01
iter10,eval_daily_dilemmas,0.9678259058725531,0.8112244897959183,0.6428571428571429,0.01
iter10,mean,0.8913522999911907,0.7465160653813764,0.3332142857142857,0.01
