round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.9969723183391004,0.7941176470588235,0.0,0.01
iter0,eval_ant_hh,0.6970372020494542,0.5895522388059702,0.0,0.01
iter0,eval_balanced_refusal,0.8985000000000001,0.855,0.735,0.01
iter0,eval_daily_dilemmas,0.9892753019575177,0.9693877551020408,0.9081632653061225,0.01
iter0,mean,0.8954462055865181,0.8020144102417086,0.4107908163265306,0.01
iter1,eval_ai_dilemmas,0.8356401384083045,0.5147058823529411,0.04411764705882353,0.01
iter1,eval_ant_hh,0.7212073958565381,0.6940298507462687,0.0,0.01
iter1,eval_balanced_refusal,0.862475,0.7975,0.635,0.01
iter1,eval_daily_dilemmas,0.968554768846314,0.8214285714285714,0.6632653061224489,0.01
iter1,mean,0.8469693257777892,0.7069160761319453,0.3355957382953181,0.01
iter2,eval_ai_dilemmas,0.9907006920415224,0.8897058823529411,0.8382352941176471,0.01
iter2,eval_ant_hh,0.7582980619291602,0.664179104477612,0.0,0.01
iter2,eval_balanced_refusal,0.8745125,0.785,0.61,0.01
iter2,eval_daily_dilemmas,0.985630987088713,0.9642857142857143,0.6530612244897959,0.01
iter2,mean,0.9022855602648489,0.8257926752790669,0.5253241296518607,0.01
iter3,eval_ai_dilemmas,0.9922145328719723,0.8382352941176471,0.9264705882352942,0.01
iter3,eval_ant_hh,0.7491646246380039,0.6716417910447762,0.0,0.01
iter3,eval_balanced_refusal,0.9175875,0.78,0.57,0.01
iter3,eval_daily_dilemmas,0.9839129529362766,0.9591836734693877,0.6428571428571429,0.01
iter3,mean,0.9107199026115632,0.8122651896579528,0.5348319327731093,0.01
iter4,eval_ai_dilemmas,0.9954584775086506,0.8529411764705882,0.9411764705882353,0.01
iter4,eval_ant_hh,0.7356872354644686,0.7014925373134329,0.0,0.01
iter4,eval_balanced_refusal,0.9528750000000001,0.775,0.615,0.01
iter4,eval_daily_dilemmas,0.9851103706788839,0.9591836734693877,0.6938775510204082,0.01
iter4,mean,0.9172827709130007,0.8221543468133522,0.5625135054021608,0.01
iter5,eval_ai_dilemmas,0.9945934256055363,0.9191176470588235,0.9264705882352942,0.01
iter5,eval_ant_hh,0.7323457340164847,0.7014925373134329,0.0,0.01
iter5,eval_balanced_refusal,0.9531249999999999,0.8,0.73,0.01
iter5,eval_daily_dilemmas,0.9819866722199084,0.9540816326530612,0.7346938775510204,0.01
iter5,mean,0.9155127079604823,0.8436729542563293,0.5977911164465787,0.01
iter6,eval_ai_dilemmas,0.9932958477508651,0.9338235294117647,0.9411764705882353,0.01
iter6,eval_ant_hh,0.7321229672532859,0.7089552238805971,0.0,0.01
iter6,eval_balanced_refusal,0.9484125,0.815,0.71,0.01
iter6,eval_daily_dilemmas,0.9809975010412328,0.9642857142857143,0.6428571428571429,0.01
iter6,mean,0.913707204011346,0.855516116894519,0.5735084033613446,0.01
iter7,eval_ai_dilemmas,0.9941608996539792,0.9558823529411765,0.9558823529411765,0.01
iter7,eval_ant_hh,0.7497215415460013,0.6865671641791045,0.0,0.01
iter7,eval_balanced_refusal,0.95905,0.78,0.665,0.01
iter7,eval_daily_dilemmas,0.9791232819658475,0.9336734693877551,0.7346938775510204,0.01
iter7,mean,0.920513930791457,0.839030746627009,0.5888940576230492,0.01
iter8,eval_ai_dilemmas,0.9943771626297577,0.8382352941176471,0.9558823529411765,0.01
iter8,eval_ant_hh,0.7393628870572511,0.6567164179104478,0.0,0.01
iter8,eval_balanced_refusal,0.92845,0.705,0.6,0.01
iter8,eval_daily_dilemmas,0.984902124114952,0.9336734693877551,0.5816326530612245,0.01
iter8,mean,0.9117730434504903,0.7834062953539624,0.5343787515006002,0.01
iter9,eval_ai_dilemmas,0.988538062283737,0.7941176470588235,0.8382352941176471,0.01
iter9,eval_ant_hh,0.7594118957451548,0.664179104477612,0.0,0.01
iter9,eval_balanced_refusal,0.9131625,0.6775,0.565,0.01
iter9,eval_daily_dilemmas,0.980216576426489,0.9438775510204082,0.0,0.01
iter9,mean,0.9103322586138451,0.769918575639211,0.3508088235294118,0.01
iter10,eval_ai_dilemmas,0.9870242214532873,0.8014705882352942,0.8676470588235294,0.01
iter10,eval_ant_hh,0.7288928491869012,0.664179104477612,0.0,0.01
iter10,eval_balanced_refusal,0.9150999999999999,0.7225,0.69,0.01
iter10,eval_daily_dilemmas,0.9858392336526448,0.9336734693877551,0.5918367346938775,0.01
iter10,mean,0.9042140760732083,0.7804557905251653,0.5373709483793517,0.01
