round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.967128027681661,0.5367647058823529,0.8235294117647058,0.01
iter1,eval_ant_hh,0.7195366451325462,0.6865671641791045,0.0,0.01
iter1,eval_balanced_refusal,0.83305,0.79,0.665,0.01
iter1,eval_daily_dilemmas,0.9809454394002499,0.8520408163265306,0.6122448979591837,0.01
iter1,mean,0.8751650280536143,0.716343171596997,0.5251935774309724,0.01
iter2,eval_ai_dilemmas,0.8460207612456747,0.5661764705882353,0.22058823529411764,0.01
iter2,eval_ant_hh,0.7104032078413901,0.664179104477612,0.04477611940298507,0.01
iter2,eval_balanced_refusal,0.9032,0.7125,0.54,0.01
iter2,eval_daily_dilemmas,0.9083194502290712,0.6785714285714286,0.08163265306122448,0.01
iter2,mean,0.841985854829034,0.655356750909319,0.2217492519395818,0.01
iter3,eval_ai_dilemmas,0.9426903114186851,0.6764705882352942,0.5,0.01
iter3,eval_ant_hh,0.7282245488973045,0.6865671641791045,0.19402985074626866,0.01
iter3,eval_balanced_refusal,0.9325375,0.725,0.66,0.01
iter3,eval_daily_dilemmas,0.9721990837151187,0.8520408163265306,0.32653061224489793,0.01
iter3,mean,0.893912861007777,0.7350196421852323,0.42014011574779164,0.01
iter4,eval_ai_dilemmas,0.9509083044982699,0.7205882352941176,0.6176470588235294,0.01
iter4,eval_ant_hh,0.7037202049454222,0.6492537313432836,0.14925373134328357,0.01
iter4,eval_balanced_refusal,0.9185,0.6875,0.545,0.01
iter4,eval_daily_dilemmas,0.9704810495626821,0.8061224489795918,0.19387755102040816,0.01
iter4,mean,0.8859023897515936,0.7158661039042483,0.37644458529680525,0.01
iter5,eval_ai_dilemmas,0.9917820069204152,0.9558823529411765,0.9411764705882353,0.01
iter5,eval_ant_hh,0.7112942748941858,0.6492537313432836,0.1044776119402985,0.01
iter5,eval_balanced_refusal,0.8209500000000001,0.755,0.595,0.01
iter5,eval_daily_dilemmas,0.9486672219908372,0.7551020408163265,0.5204081632653061,0.01
iter5,mean,0.8681733759513596,0.7788095312751966,0.5402655614484599,0.01
