round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.9638840830449826,0.5514705882352942,0.7058823529411765,0.01
iter0,eval_ant_hh,0.7038315883270216,0.5746268656716418,0.0,0.01
iter0,eval_balanced_refusal,0.8604,0.8575,0.755,0.01
iter0,eval_daily_dilemmas,0.9841732611411912,0.9081632653061225,0.7959183673469388,0.01
iter0,mean,0.8780722331282989,0.7229401798032646,0.5642001800720289,0.01
iter1,eval_ai_dilemmas,0.7177768166089966,0.5,0.0,0.01
iter1,eval_ant_hh,0.6793272443751391,0.6194029850746269,0.0,0.01
iter1,eval_balanced_refusal,0.856275,0.8125,0.695,0.01
iter1,eval_daily_dilemmas,0.9776134943773427,0.8163265306122449,0.8367346938775511,0.01
iter1,mean,0.8077481388403696,0.6870573789217179,0.3829336734693878,0.01
iter2,eval_ai_dilemmas,0.7928200692041523,0.5,0.1323529411764706,0.01
iter2,eval_ant_hh,0.7112942748941858,0.6119402985074627,0.0,0.01
iter2,eval_balanced_refusal,0.8902749999999999,0.8325,0.73,0.01
iter2,eval_daily_dilemmas,0.9827155351936693,0.8979591836734694,0.8571428571428571,0.01
iter2,mean,0.8442762198230018,0.710599870545233,0.42987394957983194,0.01
iter3,eval_ai_dilemmas,0.8866782006920415,0.5073529411764706,0.4852941176470588,0.01
iter3,eval_ant_hh,0.7344620182668745,0.664179104477612,0.0,0.01
iter3,eval_balanced_refusal,0.86675,0.83,0.675,0.01
iter3,eval_daily_dilemmas,0.9845897542690545,0.8724489795918368,0.0,0.01
iter3,mean,0.8681199933069926,0.7184952563114798,0.29007352941176473,0.01
iter4,eval_ai_dilemmas,0.8998702422145328,0.5367647058823529,0.0,0.01
iter4,eval_ant_hh,0.7274448652261083,0.6567164179104478,0.0,0.01
iter4,eval_balanced_refusal,0.877825,0.8325,0.72,0.01
iter4,eval_daily_dilemmas,0.9871928363182008,0.8928571428571429,0.7857142857142857,0.01
iter4,mean,0.8730832359397105,0.7297095666624859,0.37642857142857145,0.01
iter5,eval_ai_dilemmas,0.9204152249134948,0.5588235294117647,0.6911764705882353,0.01
iter5,eval_ant_hh,0.7284473156605035,0.664179104477612,0.0,0.01
iter5,eval_balanced_refusal,0.879675,0.8325,0.715,0.01
iter5,eval_daily_dilemmas,0.986359850062474,0.8877551020408163,0.7857142857142857,0.01
iter5,mean,0.878724347659118,0.7358144339825483,0.5479726890756302,0.01
iter6,eval_ai_dilemmas,0.9204152249134948,0.5588235294117647,0.6911764705882353,0.01
iter6,eval_ant_hh,0.7284473156605035,0.664179104477612,0.0,0.01
iter6,eval_balanced_refusal,0.879675,0.8325,0.715,0.01
iter6,eval_daily_dilemmas,0.986359850062474,0.8877551020408163,0.7857142857142857,0.01
iter6,mean,0.878724347659118,0.7358144339825483,0.5479726890756302,0.01
iter7,eval_ai_dilemmas,0.9595588235294118,0.6176470588235294,0.8088235294117647,0.01
iter7,eval_ant_hh,0.731677433726888,0.664179104477612,0.0,0.01
iter7,eval_balanced_refusal,0.8824250000000001,0.845,0.71,0.01
iter7,eval_daily_dilemmas,0.9901082882132444,0.9183673469387755,0.8367346938775511,0.01
iter7,mean,0.890942386367386,0.7612983775599792,0.5888895558223289,0.01
iter8,eval_ai_dilemmas,0.9816176470588235,0.6470588235294118,0.8970588235294118,0.01
iter8,eval_ant_hh,0.7227667631989307,0.6865671641791045,0.0,0.01
iter8,eval_balanced_refusal,0.9212,0.8375,0.74,0.01
iter8,eval_daily_dilemmas,0.9908371511870054,0.9285714285714286,0.7755102040816326,0.01
iter8,mean,0.9041053903611899,0.7749243540699862,0.6031422569027611,0.01
iter9,eval_ai_dilemmas,0.9898356401384083,0.7720588235294118,0.7352941176470589,0.01
iter9,eval_ant_hh,0.750835375361996,0.664179104477612,0.0,0.01
iter9,eval_balanced_refusal,0.90105,0.8675,0.76,0.01
iter9,eval_daily_dilemmas,0.975478967097043,0.8979591836734694,0.673469387755102,0.01
iter9,mean,0.9042999956493618,0.8004242779201234,0.5421908763505402,0.01
iter10,eval_ai_dilemmas,0.9907006920415224,0.7867647058823529,0.7205882352941176,0.01
iter10,eval_ant_hh,0.7450434395188238,0.6940298507462687,0.0,0.01
iter10,eval_balanced_refusal,0.8967999999999999,0.835,0.735,0.01
iter10,eval_daily_dilemmas,0.980893377759267,0.8877551020408163,0.7653061224489796,0.01
iter10,mean,0.9033593773299032,0.8008874146673595,0.5552235894357743,0.01
