round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.9736159169550174,0.5,0.14705882352941177,0.01
iter1,eval_ant_hh,0.7251058142125196,0.6865671641791045,0.08955223880597014,0.01
iter1,eval_balanced_refusal,0.875825,0.7225,0.615,0.01
iter1,eval_daily_dilemmas,0.9623073719283631,0.6989795918367347,0.0,0.01
iter1,mean,0.884213525773975,0.6520116890039598,0.21290276558384547,0.01
iter2,eval_ai_dilemmas,0.8981401384083045,0.8088235294117647,0.3382352941176471,0.01
iter2,eval_ant_hh,0.776676319893072,0.7164179104477612,0.0,0.01
iter2,eval_balanced_refusal,0.874675,0.765,0.46,0.01
iter2,eval_daily_dilemmas,0.9538213244481467,0.8622448979591837,0.25510204081632654,0.01
iter2,mean,0.8758281956873808,0.7881215844546774,0.2633343337334934,0.01
iter3,eval_ai_dilemmas,0.9943771626297578,0.8602941176470589,0.8823529411764706,0.01
iter3,eval_ant_hh,0.7799064379594564,0.7089552238805971,0.0,0.01
iter3,eval_balanced_refusal,0.911775,0.7875,0.545,0.01
iter3,eval_daily_dilemmas,0.9716784673052895,0.8979591836734694,0.30612244897959184,0.01
iter3,mean,0.9144342669736258,0.8136771313002814,0.4333688475390156,0.01
iter4,eval_ai_dilemmas,0.9989186851211074,0.9632352941176471,0.9558823529411765,0.01
iter4,eval_ant_hh,0.789151258632212,0.7089552238805971,0.0,0.01
iter4,eval_balanced_refusal,0.8576,0.7775,0.435,0.01
iter4,eval_daily_dilemmas,0.9665764264889629,0.8928571428571429,0.22448979591836735,0.01
iter4,mean,0.9030615925605705,0.8356369152138468,0.40384303721488596,0.01
iter5,eval_ai_dilemmas,0.9991349480968859,0.9852941176470589,0.9558823529411765,0.01
iter5,eval_ant_hh,0.7905992425930052,0.7238805970149254,0.0,0.01
iter5,eval_balanced_refusal,0.91435,0.8525,0.62,0.01
iter5,eval_daily_dilemmas,0.9531445231153686,0.8979591836734694,0.2653061224489796,0.01
iter5,mean,0.914307178451315,0.8649084745838634,0.46029711884753904,0.01
