round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.8261245674740485,0.5,0.04411764705882353,0.01
iter1,eval_ant_hh,0.7244375139229225,0.6791044776119403,0.14925373134328357,0.01
iter1,eval_balanced_refusal,0.81315,0.745,0.705,0.01
iter1,eval_daily_dilemmas,0.9702207413577675,0.6989795918367347,0.6836734693877551,0.01
iter1,mean,0.8334832056886847,0.6557710173621688,0.3955112119474655,0.01
iter2,eval_ai_dilemmas,0.9850778546712803,0.8823529411764706,0.8823529411764706,0.01
iter2,eval_ant_hh,0.7457117398084206,0.664179104477612,0.0,0.01
iter2,eval_balanced_refusal,0.9205000000000001,0.8425,0.76,0.01
iter2,eval_daily_dilemmas,0.9643898375676802,0.9285714285714286,0.5102040816326531,0.01
iter2,mean,0.9039198580118454,0.8294008685563778,0.5381392557022809,0.01
iter3,eval_ai_dilemmas,0.9937283737024222,0.8602941176470589,0.0,0.01
iter3,eval_ant_hh,0.7517264424147917,0.6865671641791045,0.0,0.01
iter3,eval_balanced_refusal,0.885075,0.83,0.68,0.01
iter3,eval_daily_dilemmas,0.9654310703873386,0.9081632653061225,0.5408163265306123,0.01
iter3,mean,0.8989902216261381,0.8212561367830714,0.3052040816326531,0.01
iter4,eval_ai_dilemmas,0.9941608996539792,0.9117647058823529,0.0,0.01
iter4,eval_ant_hh,0.741256404544442,0.7164179104477612,0.0,0.01
iter4,eval_balanced_refusal,0.9380875000000001,0.8225,0.715,0.01
iter4,eval_daily_dilemmas,0.9778738025822574,0.9387755102040817,0.6836734693877551,0.01
iter4,mean,0.9128446516951696,0.847364531633549,0.34966836734693874,0.01
iter5,eval_ai_dilemmas,0.9900519031141868,0.875,0.9264705882352942,0.01
iter5,eval_ant_hh,0.7380262864780575,0.7089552238805971,0.0,0.01
iter5,eval_balanced_refusal,0.9431250000000001,0.835,0.69,0.01
iter5,eval_daily_dilemmas,0.9772490628904622,0.9336734693877551,0.6836734693877551,0.01
iter5,mean,0.9121130631206766,0.8381571733170881,0.5750360144057622,0.01
