round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.9809688581314878,0.5808823529411765,0.7058823529411765,0.01
iter1,eval_ant_hh,0.686233014034306,0.6716417910447762,0.08955223880597014,0.01
iter1,eval_balanced_refusal,0.974275,0.755,0.645,0.01
iter1,eval_daily_dilemmas,0.9687630154102458,0.8520408163265306,0.7040816326530612,0.01
iter1,mean,0.9025599718940098,0.7148912400781208,0.536129056100052,0.01
iter2,eval_ai_dilemmas,0.9812932525951558,0.8161764705882353,0.7794117647058824,0.01
iter2,eval_ant_hh,0.7070617063934062,0.6268656716417911,0.0,0.01
iter2,eval_balanced_refusal,0.97,0.815,0.715,0.01
iter2,eval_daily_dilemmas,0.9777176176593085,0.9132653061224489,0.5918367346938775,0.01
iter2,mean,0.9090181441619676,0.7928268620881189,0.52156212484994,0.01
iter3,eval_ai_dilemmas,0.9911332179930795,0.9338235294117647,0.8676470588235294,0.01
iter3,eval_ant_hh,0.7044998886166185,0.6119402985074627,0.0,0.01
iter3,eval_balanced_refusal,0.9784,0.835,0.79,0.01
iter3,eval_daily_dilemmas,0.9832882132444815,0.9540816326530612,0.6632653061224489,0.01
iter3,mean,0.9143303299635449,0.8337113651430721,0.5802280912364945,0.01
iter4,eval_ai_dilemmas,0.9699394463667822,0.8897058823529411,0.7794117647058824,0.01
iter4,eval_ant_hh,0.7070617063934062,0.6343283582089553,0.0,0.01
iter4,eval_balanced_refusal,0.9742500000000001,0.825,0.74,0.01
iter4,eval_daily_dilemmas,0.9764681382757183,0.9438775510204082,0.6530612244897959,0.01
iter4,mean,0.9069298227589766,0.8232279478955761,0.5431182472989196,0.01
iter5,eval_ai_dilemmas,0.9679930795847752,0.8529411764705882,0.0,0.01
iter5,eval_ant_hh,0.7115170416573847,0.6865671641791045,0.0,0.01
iter5,eval_balanced_refusal,0.9656875,0.8175,0.65,0.01
iter5,eval_daily_dilemmas,0.9836005830903789,0.9489795918367347,0.6428571428571429,0.01
iter5,mean,0.9071995510831348,0.8264969831216068,0.32321428571428573,0.01
iter6,eval_ai_dilemmas,0.9370674740484429,0.8308823529411765,0.4411764705882353,0.01
iter6,eval_ant_hh,0.7214301626197371,0.7164179104477612,0.0,0.01
iter6,eval_balanced_refusal,0.953225,0.8025,0.575,0.01
iter6,eval_daily_dilemmas,0.9798521449396085,0.9489795918367347,0.6326530612244898,0.01
iter6,mean,0.8978936954019471,0.824694963806418,0.41220738295318127,0.01
iter7,eval_ai_dilemmas,0.9506920415224914,0.7720588235294118,0.4117647058823529,0.01
iter7,eval_ant_hh,0.7307863666740921,0.6940298507462687,0.0,0.01
iter7,eval_balanced_refusal,0.9518249999999999,0.7675,0.435,0.01
iter7,eval_daily_dilemmas,0.9805810079133694,0.9285714285714286,0.3673469387755102,0.01
iter7,mean,0.9034711040274882,0.7905400257117772,0.30352791116446576,0.01
iter8,eval_ai_dilemmas,0.9641003460207612,0.8676470588235294,0.39705882352941174,0.01
iter8,eval_ant_hh,0.7311205168188906,0.7164179104477612,0.0,0.01
iter8,eval_balanced_refusal,0.95285,0.775,0.5,0.01
iter8,eval_daily_dilemmas,0.9819866722199083,0.9540816326530612,0.46938775510204084,0.01
iter8,mean,0.90751438376489,0.828286650481088,0.34161164465786314,0.01
iter9,eval_ai_dilemmas,0.9816176470588235,0.8529411764705882,0.5441176470588235,0.01
iter9,eval_ant_hh,0.7498329249276009,0.7164179104477612,0.0,0.01
iter9,eval_balanced_refusal,0.9593875,0.755,0.46,0.01
iter9,eval_daily_dilemmas,0.9847980008329862,0.9336734693877551,0.47959183673469385,0.01
iter9,mean,0.9189090182048526,0.8145081390765261,0.37092737094837935,0.01
iter10,eval_ai_dilemmas,0.9645328719723184,0.8823529411764706,0.5294117647058824,0.01
iter10,eval_ant_hh,0.7315660503452884,0.7089552238805971,0.0,0.01
iter10,eval_balanced_refusal,0.9501875,0.7725,0.22,0.01
iter10,eval_daily_dilemmas,0.9748542274052479,0.9336734693877551,0.37755102040816324,0.01
iter10,mean,0.9052851624307137,0.8243704086112057,0.2817406962785114,0.01
