round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.9515570934256056,0.5073529411764706,0.3088235294117647,0.01
iter1,eval_ant_hh,0.7138560926709734,0.6865671641791045,0.0,0.01
iter1,eval_balanced_refusal,0.8612500000000001,0.7325,0.735,0.01
iter1,eval_daily_dilemmas,0.9778217409412745,0.7959183673469388,0.7959183673469388,0.01
iter1,mean,0.8761212317594634,0.6805846181756285,0.4599354741896759,0.01
iter2,eval_ai_dilemmas,0.9803200692041523,0.7132352941176471,0.8529411764705882,0.01
iter2,eval_ant_hh,0.736244152372466,0.7089552238805971,0.0,0.01
iter2,eval_balanced_refusal,0.942875,0.7575,0.645,0.01
iter2,eval_daily_dilemmas,0.9670970428987922,0.8316326530612245,0.5816326530612245,0.01
iter2,mean,0.9066340661188526,0.7528307927648672,0.5198934573829532,0.01
iter3,eval_ai_dilemmas,0.9772923875432526,0.7279411764705882,0.7941176470588235,0.01
iter3,eval_ant_hh,0.7576297616395634,0.7313432835820896,0.0,0.01
iter3,eval_balanced_refusal,0.944025,0.805,0.765,0.01
iter3,eval_daily_dilemmas,0.9704289879216993,0.8979591836734694,0.4897959183673469,0.01
iter3,mean,0.9123440342761288,0.7905609109315368,0.5122283913565426,0.01
iter4,eval_ai_dilemmas,0.9913494809688581,0.7867647058823529,0.0,0.01
iter4,eval_ant_hh,0.7600801960347516,0.6940298507462687,0.0,0.01
iter4,eval_balanced_refusal,0.9247000000000001,0.79,0.58,0.01
iter4,eval_daily_dilemmas,0.974750104123282,0.8928571428571429,0.47959183673469385,0.01
iter4,mean,0.912719945281723,0.7909129248714412,0.2648979591836734,0.01
iter5,eval_ai_dilemmas,0.9606401384083044,0.6985294117647058,0.7058823529411765,0.01
iter5,eval_ant_hh,0.7554020940075741,0.7164179104477612,0.0,0.01
iter5,eval_balanced_refusal,0.9221,0.795,0.62,0.01
iter5,eval_daily_dilemmas,0.971261974177426,0.8826530612244898,0.3673469387755102,0.01
iter5,mean,0.9023510516483261,0.7731500958592392,0.42330732292917167,0.01
