round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.9294982698961938,0.5073529411764706,0.20588235294117646,0.01
iter1,eval_ant_hh,0.7310091334372912,0.7014925373134329,0.11940298507462686,0.01
iter1,eval_balanced_refusal,0.8998999999999999,0.735,0.665,0.01
iter1,eval_daily_dilemmas,0.9718867138692211,0.7704081632653061,0.826530612244898,0.01
iter1,mean,0.8830735293006765,0.6785634104388023,0.4542039875651753,0.01
iter2,eval_ai_dilemmas,0.9615051903114187,0.5808823529411765,0.6323529411764706,0.01
iter2,eval_ant_hh,0.7343506348852751,0.7089552238805971,0.14925373134328357,0.01
iter2,eval_balanced_refusal,0.933225,0.7575,0.69,0.01
iter2,eval_daily_dilemmas,0.9833402748854644,0.8367346938775511,0.7755102040816326,0.01
iter2,mean,0.9031052750205395,0.7210180676748312,0.5617792191503467,0.01
iter3,eval_ai_dilemmas,0.9130622837370242,0.5367647058823529,0.4117647058823529,0.01
iter3,eval_ant_hh,0.7546224103363777,0.7089552238805971,0.0,0.01
iter3,eval_balanced_refusal,0.9073875,0.79,0.68,0.01
iter3,eval_daily_dilemmas,0.9736568096626406,0.7908163265306123,0.826530612244898,0.01
iter3,mean,0.8871822509340106,0.7066340640733906,0.4795738295318127,0.01
iter4,eval_ai_dilemmas,0.9046280276816608,0.5147058823529411,0.4264705882352941,0.01
iter4,eval_ant_hh,0.7570728447315661,0.6940298507462687,0.0,0.01
iter4,eval_balanced_refusal,0.8884,0.8025,0.695,0.01
iter4,eval_daily_dilemmas,0.978134110787172,0.7704081632653061,0.0,0.01
iter4,mean,0.8820587458000998,0.695410974091129,0.2803676470588235,0.01
iter5,eval_ai_dilemmas,0.932742214532872,0.5882352941176471,0.6176470588235294,0.01
iter5,eval_ant_hh,0.7804633548674537,0.7164179104477612,0.0,0.01
iter5,eval_balanced_refusal,0.892025,0.785,0.465,0.01
iter5,eval_daily_dilemmas,0.9745939192003332,0.7806122448979592,0.0,0.01
iter5,mean,0.8949561221501647,0.7175663623658419,0.2706617647058824,0.01
iter6,eval_ai_dilemmas,0.9329584775086506,0.6323529411764706,0.5,0.01
iter6,eval_ant_hh,0.7558476275339719,0.7089552238805971,0.0,0.01
iter6,eval_balanced_refusal,0.9221249999999999,0.8,0.635,0.01
iter6,eval_daily_dilemmas,0.9628279883381925,0.826530612244898,0.6428571428571429,0.01
iter6,mean,0.8934397733452037,0.7419596943254915,0.44446428571428576,0.01
iter7,eval_ai_dilemmas,0.8912197231833909,0.5735294117647058,0.35294117647058826,0.01
iter7,eval_ant_hh,0.7519492091779906,0.7014925373134329,0.0,0.01
iter7,eval_balanced_refusal,0.9090499999999999,0.805,0.605,0.01
iter7,eval_daily_dilemmas,0.9557476051645148,0.7755102040816326,0.5510204081632653,0.01
iter7,mean,0.8769916343814741,0.7138830382899428,0.3772403961584634,0.01
iter8,eval_ai_dilemmas,0.9100346020761245,0.5882352941176471,0.4117647058823529,0.01
iter8,eval_ant_hh,0.7586322120739586,0.7014925373134329,0.0,0.01
iter8,eval_balanced_refusal,0.9062750000000002,0.78,0.52,0.01
iter8,eval_daily_dilemmas,0.9462723865056226,0.7551020408163265,0.37755102040816324,0.01
iter8,mean,0.8803035501639265,0.7062074680618515,0.32732893157262904,0.01
iter9,eval_ai_dilemmas,0.9913494809688581,0.7279411764705882,0.0,0.01
iter9,eval_ant_hh,0.7628647805747383,0.7089552238805971,0.0,0.01
iter9,eval_balanced_refusal,0.8243499999999999,0.7875,0.585,0.01
iter9,eval_daily_dilemmas,0.9577780091628489,0.8316326530612245,0.3673469387755102,0.01
iter9,mean,0.8840855676766113,0.7640072633531024,0.23808673469387753,0.01
iter10,eval_ai_dilemmas,0.8875432525951557,0.6323529411764706,0.4117647058823529,0.01
iter10,eval_ant_hh,0.7617509467587436,0.7238805970149254,0.0,0.01
iter10,eval_balanced_refusal,0.8995749999999999,0.79,0.61,0.01
iter10,eval_daily_dilemmas,0.9489795918367347,0.8010204081632653,0.5408163265306123,0.01
iter10,mean,0.8744621977976584,0.7368134865886653,0.3906452581032413,0.01
