round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.8429930795847751,0.5220588235294118,0.08823529411764706,0.01
iter0,eval_ant_hh,0.7392515036756516,0.6940298507462687,0.08955223880597014,0.01
iter0,eval_balanced_refusal,0.8780375,0.77,0.465,0.01
iter0,eval_daily_dilemmas,0.9224281549354435,0.8163265306122449,0.6428571428571429,0.01
iter0,mean,0.8456775595489676,0.7006038012219813,0.32141116894519006,0.01
iter1,eval_ai_dilemmas,0.5689878892733564,0.5,0.0,0.01
iter1,eval_ant_hh,0.7366896858988639,0.6716417910447762,0.26865671641791045,0.01
iter1,eval_balanced_refusal,0.9145,0.76,0.69,0.01
iter1,eval_daily_dilemmas,0.9070179092044981,0.5561224489795918,0.41836734693877553,0.01
iter1,mean,0.7817988710941796,0.621941060006092,0.3442560158391715,0.01
iter2,eval_ai_dilemmas,0.5395761245674741,0.5,0.0,0.01
iter2,eval_ant_hh,0.762307863666741,0.7089552238805971,0.373134328358209,0.01
iter2,eval_balanced_refusal,0.9154749999999998,0.8,0.69,0.01
iter2,eval_daily_dilemmas,0.8751561849229488,0.5816326530612245,0.47959183673469385,0.01
iter2,mean,0.773128793289291,0.6476469692354554,0.3856815412732257,0.01
iter3,eval_ai_dilemmas,0.5761245674740485,0.5,0.0,0.01
iter3,eval_ant_hh,0.7806861216306528,0.6940298507462687,0.0,0.01
iter3,eval_balanced_refusal,0.94795,0.8225,0.73,0.01
iter3,eval_daily_dilemmas,0.9026447313619325,0.6938775510204082,0.6122448979591837,0.01
iter3,mean,0.8018513551166584,0.6776018504416691,0.3355612244897959,0.01
iter4,eval_ai_dilemmas,0.7013408304498271,0.5367647058823529,0.08823529411764706,0.01
iter4,eval_ant_hh,0.7664290487859211,0.6567164179104478,0.34328358208955223,0.01
iter4,eval_balanced_refusal,0.944225,0.8275,0.695,0.01
iter4,eval_daily_dilemmas,0.9631403581840899,0.8163265306122449,0.7755102040816326,0.01
iter4,mean,0.8437838093549596,0.7093269136012614,0.47550727007220794,0.01
iter5,eval_ai_dilemmas,0.8538062283737023,0.5882352941176471,0.4411764705882353,0.01
iter5,eval_ant_hh,0.7898195589218089,0.7164179104477612,0.208955223880597,0.01
iter5,eval_balanced_refusal,0.9084,0.83,0.68,0.01
iter5,eval_daily_dilemmas,0.9836526447313618,0.8979591836734694,0.8163265306122449,0.01
iter5,mean,0.8839196080067182,0.7581530970597194,0.5366145562702693,0.01
iter6,eval_ai_dilemmas,0.9463667820069205,0.6544117647058824,0.6764705882352942,0.01
iter6,eval_ant_hh,0.8122076186233013,0.746268656716418,0.373134328358209,0.01
iter6,eval_balanced_refusal,0.801225,0.8425,0.69,0.01
iter6,eval_daily_dilemmas,0.9890670553935861,0.9081632653061225,0.7551020408163265,0.01
iter6,mean,0.887216614005952,0.7878359216821057,0.6236767393524574,0.01
iter7,eval_ai_dilemmas,0.9515570934256056,0.7647058823529411,0.7058823529411765,0.01
iter7,eval_ant_hh,0.800400980173758,0.746268656716418,0.0,0.01
iter7,eval_balanced_refusal,0.9060874999999999,0.8375,0.655,0.01
iter7,eval_daily_dilemmas,0.9895876718034152,0.923469387755102,0.8163265306122449,0.01
iter7,mean,0.9119083113506947,0.8179859817061153,0.5443022208883553,0.01
iter8,eval_ai_dilemmas,0.8109861591695502,0.5441176470588235,0.0,0.01
iter8,eval_ant_hh,0.7821341055914457,0.7238805970149254,0.34328358208955223,0.01
iter8,eval_balanced_refusal,0.942325,0.8125,0.71,0.01
iter8,eval_daily_dilemmas,0.9800083298625573,0.8316326530612245,0.673469387755102,0.01
iter8,mean,0.8788633986558883,0.7280327242837433,0.43168824246116355,0.01
iter9,eval_ai_dilemmas,0.7391868512110726,0.5147058823529411,0.20588235294117646,0.01
iter9,eval_ant_hh,0.7746714190242816,0.7238805970149254,0.0,0.01
iter9,eval_balanced_refusal,0.938175,0.8025,0.715,0.01
iter9,eval_daily_dilemmas,0.9588713036234903,0.7755102040816326,0.6836734693877551,0.01
iter9,mean,0.8527261434647111,0.7041491708623747,0.4011389555822329,0.01
iter10,eval_ai_dilemmas,0.846885813148789,0.5514705882352942,0.2647058823529412,0.01
iter10,eval_ant_hh,0.742704388505235,0.7014925373134329,0.1791044776119403,0.01
iter10,eval_balanced_refusal,0.95425,0.7875,0.59,0.01
iter10,eval_daily_dilemmas,0.9801124531445231,0.8010204081632653,0.7346938775510204,0.01
iter10,mean,0.8809881636996368,0.710370883427998,0.4421260593789754,0.01
