round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter9,eval_ai_dilemmas,0.8159602076124567,0.5147058823529411,0.25,0.01
iter9,eval_ant_hh,0.7584094453107597,0.7089552238805971,0.0,0.01
iter9,eval_balanced_refusal,0.851425,0.8,0.625,0.01
iter9,eval_daily_dilemmas,0.9764681382757184,0.8673469387755102,0.7346938775510204,0.01
iter9,mean,0.8505656977997337,0.7227520112522621,0.4024234693877551,0.01
iter10,eval_ai_dilemmas,0.8267733564013839,0.5661764705882353,0.3088235294117647,0.01
iter10,eval_ant_hh,0.7611940298507464,0.664179104477612,0.0,0.01
iter10,eval_balanced_refusal,0.8349375,0.8225,0.565,0.01
iter10,eval_daily_dilemmas,0.9720949604331528,0.8979591836734694,0.7244897959183674,0.01
iter10,mean,0.8487499616713208,0.7377036896848292,0.399578331332533,0.01
