round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.9195501730103807,0.6029411764705882,0.0,0.01
iter0,eval_ant_hh,0.7004900868790377,0.5149253731343284,0.0,0.01
iter0,eval_balanced_refusal,0.9324250000000001,0.8675,0.78,0.01
iter0,eval_daily_dilemmas,0.9847980008329863,0.9387755102040817,0.7857142857142857,0.01
iter0,mean,0.8843158151806011,0.7310355149522496,0.39142857142857146,0.01
iter1,eval_ai_dilemmas,0.9602076124567475,0.6691176470588235,0.6911764705882353,0.01
iter1,eval_ant_hh,0.6826687458231232,0.5447761194029851,0.0,0.01
iter1,eval_balanced_refusal,0.8612750000000001,0.8425,0.715,0.01
iter1,eval_daily_dilemmas,0.9887546855476885,0.9387755102040817,0.7959183673469388,0.01
iter1,mean,0.8732265109568899,0.7487923191664726,0.5505237094837936,0.01
iter2,eval_ai_dilemmas,0.9768598615916955,0.8382352941176471,0.8970588235294118,0.01
iter2,eval_ant_hh,0.6984851860102472,0.6492537313432836,0.0,0.01
iter2,eval_balanced_refusal,0.8497999999999999,0.8325,0.56,0.01
iter2,eval_daily_dilemmas,0.9890670553935859,0.9591836734693877,0.7346938775510204,0.01
iter2,mean,0.878553025748882,0.8197931747325796,0.547938175270108,0.01
iter3,eval_ai_dilemmas,0.9943771626297577,0.9485294117647058,0.0,0.01
iter3,eval_ant_hh,0.7098462909333928,0.664179104477612,0.0,0.01
iter3,eval_balanced_refusal,0.8815999999999999,0.81,0.555,0.01
iter3,eval_daily_dilemmas,0.987661391087047,0.9693877551020408,0.7551020408163265,0.01
iter3,mean,0.8933712111625493,0.8480240678360896,0.3275255102040816,0.01
iter4,eval_ai_dilemmas,0.9976211072664359,0.9852941176470589,0.0,0.01
iter4,eval_ant_hh,0.7004900868790377,0.664179104477612,0.0,0.01
iter4,eval_balanced_refusal,0.904975,0.8575,0.635,0.01
iter4,eval_daily_dilemmas,0.9853706788837984,0.9642857142857143,0.0,0.01
iter4,mean,0.897114218257318,0.8678147341025964,0.15875,0.01
iter5,eval_ai_dilemmas,0.9967560553633218,0.9191176470588235,0.0,0.01
iter5,eval_ant_hh,0.705613722432613,0.6865671641791045,0.0,0.01
iter5,eval_balanced_refusal,0.90165,0.8225,0.7,0.01
iter5,eval_daily_dilemmas,0.9883902540608079,0.9642857142857143,0.7551020408163265,0.01
iter5,mean,0.8981025079641857,0.8481176313809107,0.3637755102040816,0.01
iter6,eval_ai_dilemmas,0.993295847750865,0.9779411764705882,0.0,0.01
iter6,eval_ant_hh,0.6994876364446425,0.6791044776119403,0.0,0.01
iter6,eval_balanced_refusal,0.8582249999999999,0.8375,0.65,0.01
iter6,eval_daily_dilemmas,0.9846938775510203,0.9642857142857143,0.0,0.01
iter6,mean,0.883925590436632,0.8647078420920608,0.1625,0.01
iter7,eval_ai_dilemmas,0.9928633217993079,0.9705882352941176,0.0,0.01
iter7,eval_ant_hh,0.7077300066830029,0.6716417910447762,0.0,0.01
iter7,eval_balanced_refusal,0.84425,0.8375,0.685,0.01
iter7,eval_daily_dilemmas,0.9837567680133278,0.9540816326530612,0.0,0.01
iter7,mean,0.8821500241239096,0.8584529147479887,0.17125,0.01
iter8,eval_ai_dilemmas,0.9872404844290658,0.9852941176470589,0.0,0.01
iter8,eval_ant_hh,0.7349075517932724,0.6940298507462687,0.0,0.01
iter8,eval_balanced_refusal,0.8544999999999999,0.815,0.605,0.01
iter8,eval_daily_dilemmas,0.9865680966264057,0.9336734693877551,0.8775510204081632,0.01
iter8,mean,0.8908040332121859,0.8569993594452706,0.3706377551020408,0.01
iter9,eval_ai_dilemmas,0.9865916955017301,0.9558823529411765,0.0,0.01
iter9,eval_ant_hh,0.7046112719982178,0.6417910447761194,0.0,0.01
iter9,eval_balanced_refusal,0.8621999999999999,0.805,0.595,0.01
iter9,eval_daily_dilemmas,0.9805289462723865,0.9030612244897959,0.0,0.01
iter9,mean,0.8834829784430835,0.826433655551773,0.14875,0.01
iter10,eval_ai_dilemmas,0.9967560553633218,0.9779411764705882,0.0,0.01
iter10,eval_ant_hh,0.7363555357540654,0.7164179104477612,0.0,0.01
iter10,eval_balanced_refusal,0.882575,0.835,0.575,0.01
iter10,eval_daily_dilemmas,0.9884943773427738,0.9081632653061225,0.9081632653061225,0.01
iter10,mean,0.9010452421150402,0.8593805880561179,0.3707908163265306,0.01
