round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.9195501730103807,0.6029411764705882,0.0,0.01
iter0,eval_ant_hh,0.7004900868790377,0.5149253731343284,0.0,0.01
iter0,eval_balanced_refusal,0.9324250000000001,0.8675,0.78,0.01
iter0,eval_daily_dilemmas,0.9847980008329863,0.9387755102040817,0.7857142857142857,0.01
iter0,mean,0.8843158151806011,0.7310355149522496,0.39142857142857146,0.01
iter1,eval_ai_dilemmas,0.8700259515570933,0.6323529411764706,0.6617647058823529,0.01
iter1,eval_ant_hh,0.7138560926709735,0.6940298507462687,0.0,0.01
iter1,eval_balanced_refusal,0.878775,0.805,0.62,0.01
iter1,eval_daily_dilemmas,0.9878175760099959,0.9030612244897959,0.7857142857142857,0.01
iter1,mean,0.8626186550595156,0.7586110041031338,0.5168697478991596,0.01
iter2,eval_ai_dilemmas,0.9433391003460208,0.6838235294117647,0.75,0.01
iter2,eval_ant_hh,0.7072844731566051,0.6865671641791045,0.0,0.01
iter2,eval_balanced_refusal,0.8651375,0.8025,0.6,0.01
iter2,eval_daily_dilemmas,0.9876093294460642,0.923469387755102,0.6836734693877551,0.01
iter2,mean,0.8758426007371725,0.7740900203364928,0.5084183673469388,0.01
iter3,eval_ai_dilemmas,0.9993512110726644,0.9338235294117647,0.0,0.01
iter3,eval_ant_hh,0.7110715081309869,0.6716417910447762,0.0,0.01
iter3,eval_balanced_refusal,0.91605,0.795,0.725,0.01
iter3,eval_daily_dilemmas,0.9891191170345689,0.9387755102040817,0.6836734693877551,0.01
iter3,mean,0.903897959059555,0.8348102076651557,0.3521683673469388,0.01
iter4,eval_ai_dilemmas,0.9989186851211073,0.9264705882352942,0.0,0.01
iter4,eval_ant_hh,0.7036088215638228,0.664179104477612,0.0,0.01
iter4,eval_balanced_refusal,0.905125,0.7875,0.58,0.01
iter4,eval_daily_dilemmas,0.9859433569346105,0.9540816326530612,0.6938775510204082,0.01
iter4,mean,0.8983989659048851,0.8330578313414918,0.31846938775510203,0.01
iter5,eval_ai_dilemmas,0.9997837370242215,0.9485294117647058,0.9852941176470589,0.01
iter5,eval_ant_hh,0.7092893740253954,0.6417910447761194,0.0,0.01
iter5,eval_balanced_refusal,0.9268875,0.8125,0.625,0.01
iter5,eval_daily_dilemmas,0.9888067471886713,0.9489795918367347,0.8061224489795918,0.01
iter5,mean,0.906191839559572,0.83795001209439,0.6041041416566627,0.01
iter6,eval_ai_dilemmas,1.0,0.9191176470588235,0.0,0.01
iter6,eval_ant_hh,0.707284473156605,0.7014925373134329,0.0,0.01
iter6,eval_balanced_refusal,0.91135,0.8075,0.655,0.01
iter6,eval_daily_dilemmas,0.9857871720116618,0.9285714285714286,0.6224489795918368,0.01
iter6,mean,0.9011054112920667,0.8391704032359213,0.31936224489795917,0.01
iter7,eval_ai_dilemmas,0.9963235294117647,0.8897058823529411,0.0,0.01
iter7,eval_ant_hh,0.716863443974159,0.6865671641791045,0.0,0.01
iter7,eval_balanced_refusal,0.9028124999999999,0.805,0.62,0.01
iter7,eval_daily_dilemmas,0.9857871720116618,0.9336734693877551,0.6836734693877551,0.01
iter7,mean,0.9004466613493964,0.8287366289799502,0.3259183673469388,0.01
iter8,eval_ai_dilemmas,0.985294117647059,0.8676470588235294,0.9117647058823529,0.01
iter8,eval_ant_hh,0.7322343506348853,0.7089552238805971,0.0,0.01
iter8,eval_balanced_refusal,0.8702125,0.81,0.635,0.01
iter8,eval_daily_dilemmas,0.9896397334443982,0.9540816326530612,0.8163265306122449,0.01
iter8,mean,0.8943451754315856,0.8351709788392969,0.5907728091236495,0.01
iter9,eval_ai_dilemmas,0.9907006920415226,0.8823529411764706,0.8970588235294118,0.01
iter9,eval_ant_hh,0.7441523724660281,0.6940298507462687,0.0,0.01
iter9,eval_balanced_refusal,0.8717374999999999,0.8075,0.555,0.01
iter9,eval_daily_dilemmas,0.9846938775510203,0.9387755102040817,0.6530612244897959,0.01
iter9,mean,0.8978211105146428,0.8306645755317053,0.5262800120048019,0.01
iter10,eval_ai_dilemmas,0.9863754325259515,0.8382352941176471,0.9411764705882353,0.01
iter10,eval_ant_hh,0.752283359322789,0.7014925373134329,0.0,0.01
iter10,eval_balanced_refusal,0.853575,0.79,0.55,0.01
iter10,eval_daily_dilemmas,0.9920345689296126,0.9540816326530612,0.6836734693877551,0.01
iter10,mean,0.8960670901945883,0.8209523660210354,0.5437124849939976,0.01
