round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.509083044982699,0.5,0.014705882352941176,0.01
iter0,eval_ant_hh,0.6437959456449097,0.6119402985074627,0.0,0.01
iter0,eval_balanced_refusal,0.7951625,0.7025,0.24,0.01
iter0,eval_daily_dilemmas,0.5220220741357767,0.5153061224489796,0.0,0.01
iter0,mean,0.6175158911908464,0.5824366052391106,0.06367647058823529,0.01
iter1,eval_ai_dilemmas,0.8327205882352942,0.5,0.29411764705882354,0.01
iter1,eval_ant_hh,0.6373357095121408,0.5970149253731343,0.0,0.01
iter1,eval_balanced_refusal,0.9524125000000001,0.6975,0.665,0.01
iter1,eval_daily_dilemmas,0.5664306538942108,0.5,0.01020408163265306,0.01
iter1,mean,0.7472248629104115,0.5736287313432835,0.24233043217286918,0.01
iter2,eval_ai_dilemmas,0.8023356401384083,0.5073529411764706,0.07352941176470588,0.01
iter2,eval_ant_hh,0.6616172867008242,0.5895522388059702,0.05970149253731343,0.01
iter2,eval_balanced_refusal,0.90795,0.6425,0.38,0.01
iter2,eval_daily_dilemmas,0.671438983756768,0.5153061224489796,0.01020408163265306,0.01
iter2,mean,0.7608354776490001,0.5636778256078551,0.1308587464836681,0.01
iter3,eval_ai_dilemmas,0.6513840830449827,0.5,0.0,0.01
iter3,eval_ant_hh,0.6855647137447093,0.5895522388059702,0.0,0.01
iter3,eval_balanced_refusal,0.49182499999999996,0.5425,0.03,0.01
iter3,eval_daily_dilemmas,0.5561224489795918,0.49489795918367346,0.0,0.01
iter3,mean,0.596224061442321,0.5317375494974109,0.0075,0.01
