round,dataset,auroc,accuracy,tpr_at_fpr,fpr
iter0,eval_ai_dilemmas,0.5143814878892733,0.5,0.014705882352941176,0.01
iter0,eval_ant_hh,0.6422365783025171,0.5970149253731343,0.0,0.01
iter0,eval_balanced_refusal,0.7977624999999999,0.6975,0.0,0.01
iter0,eval_daily_dilemmas,0.5291024573094544,0.5306122448979592,0.02040816326530612,0.01
iter0,mean,0.6208707558753112,0.5812817925677733,0.008778511404561824,0.01
iter1,eval_ai_dilemmas,0.5976427335640139,0.5588235294117647,0.07352941176470588,0.01
iter1,eval_ant_hh,0.7343506348852752,0.6716417910447762,0.1044776119402985,0.01
iter1,eval_balanced_refusal,0.8698750000000001,0.695,0.245,0.01
iter1,eval_daily_dilemmas,0.5496147438567263,0.5153061224489796,0.02040816326530612,0.01
iter1,mean,0.6878707780765039,0.6101928607263801,0.11085379674257763,0.01
iter2,eval_ai_dilemmas,0.523356401384083,0.5073529411764706,0.014705882352941176,0.01
iter2,eval_ant_hh,0.7483849409668077,0.6343283582089553,0.11940298507462686,0.01
iter2,eval_balanced_refusal,0.86345,0.66,0.145,0.01
iter2,eval_daily_dilemmas,0.4807371928363182,0.5102040816326531,0.02040816326530612,0.01
iter2,mean,0.6539821337968021,0.5779713452545198,0.07487925767321854,0.01
iter3,eval_ai_dilemmas,0.5282223183391004,0.5073529411764706,0.0,0.01
iter3,eval_ant_hh,0.7856983738026286,0.6567164179104478,0.0,0.01
iter3,eval_balanced_refusal,0.809375,0.6975,0.11,0.01
iter3,eval_daily_dilemmas,0.5529987505206164,0.5459183673469388,0.0,0.01
iter3,mean,0.6690736106655863,0.6018719316084643,0.0275,0.01
